,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
288,Pier x-,117,maxFx,C53p289,53,QD ULS B env.,350.6024282226563,-52.548445546875,915.2074093295934,324.2129580831691,1171.6125353906252,-72.57012295642087
7870,Pier x-,117,minFx,C53p7871,53,QD ULS B env.,-130.21969087402346,-24.767723671875,250.5610578335419,137.98755931633832,-525.534591685547,-35.57525460984292
389,Pier x-,117,maxFy,C53p390,53,QD ULS B env.,267.097332890625,2.3728659301757817,771.6961233920932,-369.9499955789398,923.1623428125,61.656407434204134
3484,Pier x-,117,minFy,C53p3485,53,QD ULS B env.,230.82798767578126,-111.28894715332032,610.1726818295933,794.1639403585604,808.8916666406251,-180.2416104954834
144,Pier x-,117,maxFz,C53p145,53,QD ULS B env.,346.5716449584961,-52.548445546875,1101.6834366733435,324.2129659933253,1178.3019488671873,-72.57012284312435
3262,Pier x-,117,minFz,C53p3263,53,QD ULS B env.,29.412168029785153,-24.767723671875,175.86513554138182,137.98755880923554,90.63846741601562,-35.575256529848495
5364,Pier x-,117,maxMxx,C53p5365,53,QD ULS B env.,79.0832258544922,-111.28894715332032,378.686395703125,794.1639439600676,251.39334495507813,-180.24161351075747
407,Pier x-,117,minMxx,C53p408,53,QD ULS B env.,56.474259374999995,2.3728659301757817,719.4678233951936,-369.94999822728414,107.30545921874996,61.656405818481396
144,Pier x-,117,maxMyy,C53p145,53,QD ULS B env.,346.5716449584961,-52.548445546875,1101.6834366733435,324.2129659933253,1178.3019488671873,-72.57012284312435
7894,Pier x-,117,minMyy,C53p7895,53,QD ULS B env.,-128.6073775683594,-24.767723671875,175.97064689604187,137.98755615227583,-528.2103570761719,-35.57525465516152
831,Pier x-,117,maxMzz,C53p832,53,QD ULS B env.,223.50969164062502,2.3728659301757817,580.7366089389683,-369.9499951431488,785.19785109375,61.65640775244144
5084,Pier x-,117,minMzz,C53p5085,53,QD ULS B env.,110.74946476074219,-111.28894715332032,517.41766328125,794.1639418104094,351.6239608925781,-180.24161371913152
20158,Pier x+,118,maxFx,C53p7871,53,QD ULS B env.,130.21969100585937,-24.747514921875002,253.64681344401552,138.31680551557866,525.2853558007813,35.8309399034989
12576,Pier x+,118,minFx,C53p289,53,QD ULS B env.,-350.60245388671876,-52.4789090625,915.2984628452182,324.9349688968906,-1171.613490234375,73.41833934173577
12677,Pier x+,118,maxFy,C53p390,53,QD ULS B env.,-267.097340625,2.3411262634277348,771.6051420639682,-370.41768855428137,-923.1514450781252,-62.162191544494675
15772,Pier x+,118,minFy,C53p3485,53,QD ULS B env.,-230.82798591796873,-111.15956105224608,610.1111094077182,795.8412555082186,-808.884285234375,181.88872482269284
12384,Pier x+,118,maxFz,C53p97,53,QD ULS B env.,-346.45923269531255,-52.4789090625,1109.5072269077182,324.9349608548986,-1178.4898556396486,73.41833918724053
15598,Pier x+,118,minFz,C53p3311,53,QD ULS B env.,-29.5246056274414,-24.747514921875002,175.8606468644409,138.31681138898279,-91.07626666015624,35.83093474482342
17652,Pier x+,118,maxMxx,C53p5365,53,QD ULS B env.,-79.08323042480468,-111.15956105224608,378.646091828125,795.8412607005586,-251.38851848632808,181.8887263599396
12695,Pier x+,118,minMxx,C53p408,53,QD ULS B env.,-56.47426359374999,2.3411262634277348,719.3830201920686,-370.417690675282,-107.29529976562507,-62.16218666033933
20190,Pier x+,118,maxMyy,C53p7903,53,QD ULS B env.,128.5624025292969,-24.747514921875002,175.9633078190155,138.31680873237548,528.0359019628906,35.830939965297
12384,Pier x+,118,minMyy,C53p97,53,QD ULS B env.,-346.45923269531255,-52.4789090625,1109.5072269077182,324.9349608548986,-1178.4898556396486,73.41833918724053
15893,Pier x+,118,maxMzz,C53p3606,53,QD ULS B env.,7.735885019531255,-111.15956105224608,435.49351566081856,795.8412568149524,95.40890039062499,181.8887300891724
15701,Pier x+,118,minMzz,C53p3414,53,QD ULS B env.,-245.69176286621095,2.3411262634277348,662.5356552983432,-370.4176874491819,-855.0886073925782,-62.162191621322684
24576,Abutment x-,123,maxFx,C53p1,53,QD ULS B env.,0.0,-11.63624780273396,219.4974123559781,0.0,0.0,0.0
24576,Abutment x-,123,minFx,C53p1,53,QD ULS B env.,0.0,-11.63624780273396,219.4974123559781,0.0,0.0,0.0
24917,Abutment x-,123,maxFy,C53p342,53,QD ULS B env.,0.0,2.3729094360351564,152.3216073938581,0.0,0.0,0.0
28064,Abutment x-,123,minFy,C53p3489,53,QD ULS B env.,0.0,-24.972559692382813,125.4937439954206,0.0,0.0,0.0
24720,Abutment x-,123,maxFz,C53p145,53,QD ULS B env.,0.0,-11.636247802734376,219.49741235597816,0.0,0.0,0.0
