,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
3297,P3/4 Canopy_Found1,91,maxFx,C9p3298,9,SLS,2.369938208443245,-1.4968246199754531,69.65470587098301,1.076798531584395,10.154967592889374,-0.00012698477434610426
3762,P3/4 Canopy_Found1,91,minFx,C9p3763,9,SLS,-2.719646665275097,6.681034426116943,-17.741295251407475,-29.663428381347654,-11.653185180115699,0.000183219410473248
3811,P3/4 Canopy_Found1,91,maxFy,C9p3812,9,SLS,-1.8926131090044975,22.900371965789798,-2.5872996232487266,-75.71017273559572,-8.109448596024514,4.810894615366124e-05
1812,P3/4 Canopy_Found1,91,minFy,C9p1813,9,SLS,1.2282556860390512,-4.120250407328968,87.57246534674913,-21.27538606924568,5.263426845437591,-8.300368366913346e-05
1805,P3/4 Canopy_Found1,91,maxFz,C9p1806,9,SLS,-2.2439639675673635,-0.8718036772874648,108.30584579211622,-3.3986134496167755,-9.61431733714908,2.0903457420305924e-05
3822,P3/4 Canopy_Found1,91,minFz,C9p3823,9,SLS,1.5734737323880195,20.461104921722413,-17.765812170741707,-88.61548606567384,6.7419145597219465,-3.972479589865543e-05
2458,P3/4 Canopy_Found1,91,maxMxx,C9p2459,9,SLS,1.2121115489542484,1.2522614959716798,17.718135481055082,24.735875228881834,5.193602874922751,-1.2218037480488418e-05
3511,P3/4 Canopy_Found1,91,minMxx,C9p3512,9,SLS,-1.8783866806146297,18.660533808216687,86.00789569920973,-110.23364053396737,-8.04794661504596,-8.870585805610173e-06
3297,P3/4 Canopy_Found1,91,maxMyy,C9p3298,9,SLS,2.369938208443245,-1.4968246199754531,69.65470587098301,1.076798531584395,10.154967592889374,-0.00012698477434610426
3762,P3/4 Canopy_Found1,91,minMyy,C9p3763,9,SLS,-2.719646665275097,6.681034426116943,-17.741295251407475,-29.663428381347654,-11.653185180115699,0.000183219410473248
2838,P3/4 Canopy_Found1,91,maxMzz,C9p2839,9,SLS,-2.359874028885365,6.971075763702393,-2.948925570376962,-31.77592631225586,-10.111633856129647,0.00020335373822017572
3325,P3/4 Canopy_Found1,91,minMzz,C9p3326,9,SLS,1.6727547405782548,13.077869609150524,69.65233964027166,-61.34359953970466,7.167667132073944,-0.00018969881835078297
19957,P3/4 Canopy_Found2,7,maxFx,C9p3494,9,SLS,3.9336410135704836,8.837880623989225,91.78011758022606,-31.944186810878687,16.855427476316247,-0.00014385055933806117
20030,P3/4 Canopy_Found2,7,minFx,C9p3567,9,SLS,-4.490129095155001,0.6897799564361573,8.079768018832803,-14.551959992980958,-19.239732735538485,0.00015525305150076746
19968,P3/4 Canopy_Found2,7,maxFy,C9p3505,9,SLS,-3.6413548699896965,22.61723148611081,84.24898206698299,-98.65730777035134,-15.602551851076331,2.1951738403113553e-05
18971,P3/4 Canopy_Found2,7,minFy,C9p2508,9,SLS,3.5106198431193825,-2.393373332595825,17.290254834406078,5.422024418640137,15.042683332824707,-0.0001066866412293166
18787,P3/4 Canopy_Found2,7,maxFz,C9p2324,9,SLS,3.141760467334446,15.23836355855954,116.33038241493104,-69.51223983822244,13.46226802578524,-7.534971920966173e-05
20024,P3/4 Canopy_Found2,7,minFz,C9p3561,9,SLS,-4.466929743081331,1.8283831180572512,0.5652706555515529,-6.875444758605957,-19.140310871219633,0.00011049449695274235
18979,P3/4 Canopy_Found2,7,maxMxx,C9p2516,9,SLS,3.4943671781718733,-0.45282596015930165,37.928395801202946,31.675069584655763,14.973036616516113,-9.42622262518853e-05
19976,P3/4 Canopy_Found2,7,minMxx,C9p3513,9,SLS,-3.6274689124625357,21.32364656789792,99.38095433260798,-118.49824038753884,-15.543089804262365,9.225935519607737e-06
19957,P3/4 Canopy_Found2,7,maxMyy,C9p3494,9,SLS,3.9336410135704836,8.837880623989225,91.78011758022606,-31.944186810878687,16.855427476316247,-0.00014385055933806117
20030,P3/4 Canopy_Found2,7,minMyy,C9p3567,9,SLS,-4.490129095155001,0.6897799564361573,8.079768018832803,-14.551959992980958,-19.239732735538485,0.00015525305150076746
19302,P3/4 Canopy_Found2,7,maxMzz,C9p2839,9,SLS,-4.102239557147026,10.14172596244812,43.814400173832475,-61.354929208374024,-17.577559901165962,0.0001856225062125304
19789,P3/4 Canopy_Found2,7,minMzz,C9p3326,9,SLS,3.1834513326067295,10.957185006313445,75.48554946599006,-38.407772649196566,13.640962482004914,-0.0002043331625993957
36421,P3/4 Canopy_Found3,8,maxFx,C9p3494,9,SLS,5.558870932690035,7.071517669743043,89.74352159082926,-5.8197167777279395,23.81528896674855,-0.00020577121713014036
36494,P3/4 Canopy_Found3,8,minFx,C9p3567,9,SLS,-6.3113407823622225,-0.9721389429569245,-7.151316905266046,-23.72778956155777,-27.042326790952686,0.00018429946731775997
36453,P3/4 Canopy_Found3,8,maxFy,C9p3526,9,SLS,4.7737852841533535,17.649981233280645,81.63646693413891,-89.90009686805998,20.45198722457631,-0.00017480481044204624
35428,P3/4 Canopy_Found3,8,minFy,C9p2501,9,SLS,-5.1389234280407425,-2.4294809506893156,20.589044133517145,25.851903313302998,-22.019426135778428,8.765451144427061e-05
35153,P3/4 Canopy_Found3,8,maxFz,C9p2226,9,SLS,-5.733663245447744,5.9343855919537365,109.08902179149128,-27.09950073597226,-24.57147003984706,3.767182057908087e-05
36560,P3/4 Canopy_Found3,8,minFz,C9p3633,9,SLS,4.667375019639731,11.256135872411729,-22.78877483665943,-49.9886792222023,20.00012867245674,-0.0001779346002265811
35597,P3/4 Canopy_Found3,8,maxMxx,C9p2670,9,SLS,-5.068374495869874,-0.8155553810596466,72.40448695578276,37.4717161693573,-21.719685185480117,9.511948050931113e-06
36370,P3/4 Canopy_Found3,8,minMxx,C9p3443,9,SLS,4.718314640728366,16.456390610378723,8.218506045467034,-98.40902507040296,20.217347337529496,-0.00011138019273804218
36421,P3/4 Canopy_Found3,8,maxMyy,C9p3494,9,SLS,5.558870932690035,7.071517669743043,89.74352159082926,-5.8197167777279395,23.81528896674855,-0.00020577121713014036
36494,P3/4 Canopy_Found3,8,minMyy,C9p3567,9,SLS,-6.3113407823622225,-0.9721389429569245,-7.151316905266046,-23.72778956155777,-27.042326790952686,0.00018429946731775997
35374,P3/4 Canopy_Found3,8,maxMzz,C9p2447,9,SLS,-5.951379231148958,-1.3974039395809172,31.650468684890868,-31.38960138640404,-25.501709333562854,0.00020974684823304413
35245,P3/4 Canopy_Found3,8,minMzz,C9p2318,9,SLS,4.823480511037242,12.479099750202641,71.10918839052356,-19.503132310984473,20.665386569115952,-0.00025438120351919626
