,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
2369,FN,69,maxFx,C36p2370,36,ULS B,32.64297122257708,9.874762595245557e-07,886.6967632495117,0.7710829991018024,193.02830663752172,-0.09779500836821417
7420,FN,69,minFx,C36p7421,36,ULS B,-74.64294555732118,6.251476705529058e-07,843.7902406518554,0.6423755029927937,-617.1368695100834,0.2239783762637182
2043,FN,69,maxFy,C36p2044,36,ULS B,-19.119995431475658,51.274490751956854,886.6967688037109,-395.27845432019603,-207.7822364815268,2.6329115257547224
8335,FN,69,minFy,C36p8336,36,ULS B,-19.119994838327038,-51.274469911160615,843.7902380737304,396.69188173651327,-177.31638089977073,-2.518301042240148
1958,FN,69,maxFz,C36p1959,36,ULS B,-22.879996677610297,1.5040014369027317,1131.321001623535,-14.74163625298864,-213.60301007146262,-2.356559490802088
10013,FN,69,minFz,C36p10014,36,ULS B,-68.83358162666848,0.8121245883341134,616.8871447686768,-3.6217669382227204,-591.2810042655699,0.2065007509701075
2724,FN,69,maxMxx,C36p2725,36,ULS B,-22.879999535276312,-51.27446910264805,902.1192628320312,396.8668710907613,-213.60302603146243,2.493782688747025
7647,FN,69,minMxx,C36p7648,36,ULS B,-19.119995439116227,51.27449074666694,828.3677443896485,-395.45344183850654,-210.50560603733513,2.6329116961347374
2459,FN,69,maxMyy,C36p2460,36,ULS B,30.482966925011258,5.174617468583165e-07,879.2500177978516,0.8718653140508389,236.34788332697488,-0.09131441028172735
7342,FN,69,minMyy,C36p7343,36,ULS B,-74.64294531094241,6.26236945436176e-07,828.3677335717773,0.5961079826604571,-650.3261031526616,0.22397845729988677
6027,FN,69,maxMzz,C36p6028,36,ULS B,-17.49999443019169,3.5694000558112564,924.6486873468018,-32.32174804135688,-163.56814691129307,4.896363777486205
151,FN,69,minMzz,C36p152,36,ULS B,-17.49999204296895,-3.569398441096097,982.977711609497,33.89726459414117,-160.84477048275295,-4.791366220469493
11998,FN,69,maxFx,C37p791,37,SLS,30.942922305679325,4.359945654641706e-07,788.2469502441406,0.655036806488045,238.56768076229577,-0.09275046114835823
11815,FN,69,minFx,C37p608,37,SLS,-51.942908259171254,2.978816628456116e-07,671.3190068603516,0.6822564576398581,-441.578982811923,0.15585814215376628
11891,FN,69,maxFy,C37p684,37,SLS,-20.199996798324584,29.91675889417976,662.2469503662109,-229.77645843074208,-211.90471167446077,1.1565711502810203
12120,FN,69,minFy,C37p913,37,SLS,0.8000013965904714,-29.916746756266058,797.3190085449219,231.11373340911868,25.493376963444753,-1.0984359409013424
11862,FN,69,maxFz,C37p655,37,SLS,-0.7999993724524975,0.6400006070151926,932.1435607910156,-5.931268934631333,8.893378906827,-1.029600455410931
11745,FN,69,minFz,C37p538,37,SLS,-50.078577845000545,0.47772016851752996,628.8818919494629,-1.8260612467516213,-442.4814192949297,0.15023628249116444
12118,FN,69,maxMxx,C37p911,37,SLS,-0.8000006053626538,-29.916746414469184,797.3190086914062,231.11373419036866,8.893370713444753,1.0343657192549076
