,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
12625,C3/4B,142,maxFx,C9p12626,9,SLS,3.868638547277451,0.16037895622253404,75.24170089263916,-58.734263438415525,22.113418041849133,-0.003527821614593268
12125,C3/4B,142,minFx,C9p12126,9,SLS,-3.930404380926676,6.278987391779571,130.33591286170483,-44.10523616554048,-22.241229593609276,-0.0027596479265886644
12268,C3/4B,142,maxFy,C9p12269,9,SLS,-0.026108371529169377,23.425879490015657,95.01061708667278,-170.6778978171518,-0.07647776923030608,-0.009837160428886422
9955,C3/4B,142,minFy,C9p9956,9,SLS,-1.983802195119858,-3.3410648956298834,70.22039892082213,44.708329759216305,-11.291877049493792,-0.005761651077121495
7867,C3/4B,142,maxFz,C9p7868,9,SLS,1.8419983072785666,8.184491735575348,162.46446503112315,-52.63060174781587,10.65190292353779,-0.0009618651655438633
12408,C3/4B,142,minFz,C9p12409,9,SLS,-3.7931966905593875,1.5295785800933839,42.35479815139771,-6.622106886291504,-21.633234000444414,0.005762697727233172
9963,C3/4B,142,maxMxx,C9p9964,9,SLS,-1.9632190355420112,-1.5249762199401855,90.86006815910339,68.82976052093505,-11.183745278215408,-0.0009615356110036366
12276,C3/4B,142,minMxx,C9p12277,9,SLS,-0.008774665340967488,22.193936909601838,110.15648227221968,-188.92335411597992,0.09096793704181909,-0.013644239887123117
12625,C3/4B,142,maxMyy,C9p12626,9,SLS,3.868638547277451,0.16037895622253404,75.24170089263916,-58.734263438415525,22.113418041849133,-0.003527821614593268
12293,C3/4B,142,minMyy,C9p12294,9,SLS,-3.9166298829408364,4.481103114435821,98.98629274451733,-2.1370995688607946,-22.319832773540917,-0.003990828689460764
9586,C3/4B,142,maxMzz,C9p9587,9,SLS,-1.8846837597846984,1.801927607727051,78.3798455860138,-52.35745872039796,-10.696293674230576,0.012732211021333933
12369,C3/4B,142,minMzz,C9p12370,9,SLS,-0.12097060584742576,18.194793059656767,106.56465612704754,-67.8815910758188,-0.6754472529873251,-0.024750956633214957
106819,C3/4C,143,maxFx,C9p12180,9,SLS,6.905048934016377,6.525085227449239,150.59241913330234,-38.6384462890001,37.99361336972862,-0.0021508840155318922
107052,C3/4C,143,minFx,C9p12413,9,SLS,-7.093510189628602,-0.5023696504592895,28.114988344192504,15.906998997497558,-39.78575999269486,0.005209388512372969
107731,C3/4C,143,maxFy,C9p13092,9,SLS,2.7047559207439424,14.881940217781068,56.091727689072314,-29.57738010253907,14.83176631093025,-0.022312025906704364
