,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
3526,MC5/6,2628,maxFx,C31p3527,31,ULS B (full envelope),161.92225783135834,5.865476105791331,768.524809534931,-66.02713436414719,846.9350750698371,12.277304685305356
6143,MC5/6,2628,minFx,C31p6144,31,ULS B (full envelope),-80.33999131666721,-8.015912147992848,584.6107837930485,76.4053660191536,-656.2127354361445,-1.4090013397037975
2601,MC5/6,2628,maxFy,C31p2602,31,ULS B (full envelope),31.660817414692044,61.26147945065498,650.1630842693329,-483.234306930542,52.84787288506925,11.450674698179961
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),33.79001288409531,-40.76083126864433,670.9354847564698,314.44013320007326,56.28369818085134,-1.6412213002026066
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),91.42938786689105,12.377791475343704,953.7081153804016,-129.80254501098634,223.26254815575064,12.117011040724513
7810,MC5/6,2628,minFz,C31p7811,31,ULS B (full envelope),13.998345264951224,-39.65420187717819,401.80618338621906,313.1090023786621,26.334733370273586,-4.040779591888427
5218,MC5/6,2628,maxMxx,C31p5219,31,ULS B (full envelope),16.982419018509983,-39.88314520602226,557.8602948699952,337.95191220397953,28.148472471699115,-3.526547079926728
2598,MC5/6,2628,minMxx,C31p2599,31,ULS B (full envelope),34.70684878027737,61.14669163022041,671.8351085308076,-483.65656718444825,57.480812656721476,11.821324940794707
3526,MC5/6,2628,maxMyy,C31p3527,31,ULS B (full envelope),161.92225783135834,5.865476105791331,768.524809534931,-66.02713436414719,846.9350750698371,12.277304685305356
6149,MC5/6,2628,minMyy,C31p6150,31,ULS B (full envelope),-72.96337506659091,-7.724123045819997,687.6217394403265,69.47445454942704,-681.0724101205928,0.5141273298823841
2605,MC5/6,2628,maxMzz,C31p2606,31,ULS B (full envelope),41.026083517411344,31.263920489168168,692.7973296550753,-277.19770469055175,74.84081599663199,15.763978177946807
5211,MC5/6,2628,minMzz,C31p5212,31,ULS B (full envelope),10.663184281376004,-10.00037406497002,536.8980737457275,131.493049710083,10.788469131788606,-7.469200317078827
38515,MC3/4,2629,maxFx,C31p7340,31,ULS B (full envelope),75.06459878543139,1.11071819491148,898.4912298158647,-1.214073337298929,258.8511213676643,6.678113388569952
35628,MC3/4,2629,minFx,C31p4453,31,ULS B (full envelope),-81.73222991531136,27.32725121002674,1029.3336439351658,-226.08149844421388,-297.1702507595826,-6.727430005476475
33780,MC3/4,2629,maxFy,C31p2605,31,ULS B (full envelope),-14.412013943421837,70.54185282166004,789.6837797439575,-582.8672795410156,-24.115263316154476,-3.2627380158066748
38987,MC3/4,2629,minFy,C31p7812,31,ULS B (full envelope),-2.5376383925457,-45.48243128894138,467.2108187999878,389.83659990081793,-16.796840970422746,0.1071788939056396
33688,MC3/4,2629,maxFz,C31p2513,31,ULS B (full envelope),21.454109096043112,19.594963351924424,1264.370574534569,-197.21451037770416,154.4960964491082,2.153192887967229
38985,MC3/4,2629,minFz,C31p7810,31,ULS B (full envelope),-3.2047855330486295,-24.37189070056247,465.4526311931763,242.42804921112065,-10.197177400018692,-3.258418259757996
36389,MC3/4,2629,maxMxx,C31p5214,31,ULS B (full envelope),12.36509481626749,-44.231249927210804,665.1655184707643,402.2903167175293,4.7541379777908315,1.9148714113593102
33780,MC3/4,2629,minMxx,C31p2605,31,ULS B (full envelope),-14.412013943421837,70.54185282166004,789.6837797439575,-582.8672795410156,-24.115263316154476,-3.2627380158066748
36400,MC3/4,2629,maxMyy,C31p5225,31,ULS B (full envelope),56.89694987188578,-1.767721648859977,697.2968088111877,19.445304986572264,324.1774708536148,3.915169139611721
36038,MC3/4,2629,minMyy,C31p4863,31,ULS B (full envelope),-61.16619877627136,5.1483894674944874,1181.8484703277209,-74.42243434132726,-338.34471616609574,-1.2137640814846762
38560,MC3/4,2629,maxMzz,C31p7385,31,ULS B (full envelope),59.94020216723679,0.1997120321917539,891.3377620557786,10.142330855816308,166.17319323442462,7.682580122693182
