,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
3526,MC5/6,2628,maxFx,C31p3527,31,ULS B (full envelope),197.42457106231396,7.845526583082678,768.8811235214002,-79.71895480771066,1069.3614512324507,13.331278711617589
6143,MC5/6,2628,minFx,C31p6144,31,ULS B (full envelope),-99.13282738350213,-9.323541688096526,584.7543982365947,85.7555433758831,-773.6026806839008,-1.5892142415302997
5199,MC5/6,2628,maxFy,C31p5200,31,ULS B (full envelope),20.78744964888543,63.774591936397556,557.1911147930147,-473.9306031005859,47.776678291967514,10.929026398283243
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),41.481297963266066,-41.98181971445083,672.1646910026552,324.4915270751953,104.70200087278187,-2.0823396964967253
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),108.31310872937173,13.28398158361435,953.6446398222354,-136.3369600061035,328.3171149021703,13.30702043068528
7809,MC5/6,2628,minFz,C31p7810,31,ULS B (full envelope),16.347213524557592,-10.015162208206172,402.70374536054607,108.40247495031736,38.281823503410344,-7.846130073635102
5218,MC5/6,2628,maxMxx,C31p5219,31,ULS B (full envelope),21.036698311929406,-41.166437379550935,559.0637578033449,348.40778781738277,53.72221102788747,-4.18401133956313
2598,MC5/6,2628,minMxx,C31p2599,31,ULS B (full envelope),41.909973494558024,63.627882648372655,670.4745203372958,-502.91090954589845,102.64787038295566,13.56235147152543
3526,MC5/6,2628,maxMyy,C31p3527,31,ULS B (full envelope),197.42457106231396,7.845526583082678,768.8811235214002,-79.71895480771066,1069.3614512324507,13.331278711617589
6149,MC5/6,2628,minMyy,C31p6150,31,ULS B (full envelope),-88.98019234833062,-9.124817485826018,687.7504407509382,79.44963246767999,-780.5576456327838,0.6994605297404528
2605,MC5/6,2628,maxMzz,C31p2606,31,ULS B (full envelope),49.22276402466743,32.35680530996322,692.1061346012118,-285.93481384277345,126.9487086963445,17.444414055639506
5211,MC5/6,2628,minMzz,C31p5212,31,ULS B (full envelope),13.723907781820001,-9.89536004114151,537.4321435394288,131.43169211425777,29.42137271449864,-8.066073923677207
38515,MC3/4,2629,maxFx,C31p7340,31,ULS B (full envelope),87.02411697591724,0.8138720625746246,898.6055374063873,0.7859519556140913,332.13581682495135,7.005260882506369
35628,MC3/4,2629,minFx,C31p4453,31,ULS B (full envelope),-94.47860212329927,29.917920194969177,1029.152169259014,-243.8816672024536,-374.79687792629244,-7.248443670177463
33780,MC3/4,2629,maxFy,C31p2605,31,ULS B (full envelope),-17.798903306999804,75.76272824306488,788.5333940017699,-619.949406288147,-45.90800581951141,-3.3858270048141477
38987,MC3/4,2629,minFy,C31p7812,31,ULS B (full envelope),-2.464878343917847,-48.76027983251953,468.19744926812746,413.45418667837527,-15.889799157749177,0.012613842861175499
33382,MC3/4,2629,maxFz,C31p2207,31,ULS B (full envelope),-34.87899175256789,20.88080777630448,1264.2520767213248,-206.70805906489366,-220.98925150405876,0.008718859944343195
38985,MC3/4,2629,minFz,C31p7810,31,ULS B (full envelope),-3.1952695392150887,-26.167693254150386,466.0608720586548,255.45855535360718,-10.544686868320467,-3.2140359660224913
36389,MC3/4,2629,maxMxx,C31p5214,31,ULS B (full envelope),15.72272382617891,-47.35986619129181,666.2121319717407,424.9490946411133,26.243709922981253,2.074574578475952
33780,MC3/4,2629,minMxx,C31p2605,31,ULS B (full envelope),-17.798903306999804,75.76272824306488,788.5333940017699,-619.949406288147,-45.90800581951141,-3.3858270048141477
36400,MC3/4,2629,maxMyy,C31p5225,31,ULS B (full envelope),62.062144888266936,-2.882614355659485,697.2938496780396,26.890853784179686,353.6231451128006,3.7383358437538146
35630,MC3/4,2629,minMyy,C31p4455,31,ULS B (full envelope),-93.74821092800202,7.325333616600037,1031.2887464684868,-85.88603587768553,-380.14199021572114,-4.021793861293796
38560,MC3/4,2629,maxMzz,C31p7385,31,ULS B (full envelope),70.72703033925953,0.13655370350480053,891.5327390912629,10.68006095219612,233.1461943696595,8.294731127409934
35652,MC3/4,2629,minMzz,C31p4477,31,ULS B (full envelope),-78.35854121997895,33.03324294857025,1008.4234488126946,-262.7861847122192,-275.84161203563684,-9.46434320158005
65893,MC1/2,2630,maxFx,C31p3542,31,ULS B (full envelope),98.06958654878736,5.758885718402863,593.1149839671613,-69.33090157867433,765.9819341517522,6.4805016250562675
