,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
4987,MC5/6,2628,maxFx,C31p4988,31,ULS B (full envelope),197.6490185691572,-5.587813996701241,1051.441955169467,149.38085861547472,958.7601460719741,18.462065117149052
6143,MC5/6,2628,minFx,C31p6144,31,ULS B (full envelope),-94.64849548813545,-5.467710630908011,639.0982302376049,119.00189263568878,-772.0372221595125,1.1576802946883429
7797,MC5/6,2628,maxFy,C31p7798,31,ULS B (full envelope),24.176565801055553,79.20080058675003,435.0540209837354,-592.1786677653351,53.91189280817125,11.890384670242785
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),43.68912888170221,-56.13590139119625,737.4631849225045,496.3193204883575,106.35711412462987,-0.2905268899738803
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),113.50789165204982,13.110682100777625,1074.5071303136287,-0.4395173595428423,352.3757183010366,16.82269324804187
7809,MC5/6,2628,minFz,C31p7810,31,ULS B (full envelope),17.04192881584895,-15.803767479656214,427.1909987089551,176.91667539872736,37.02415031702135,-8.037024071517468
5215,MC5/6,2628,maxMxx,C31p5216,31,ULS B (full envelope),26.462062475452203,-55.79292884480953,645.6780255475045,521.8946134571075,62.87358131212983,-2.044614145833254
7797,MC5/6,2628,minMxx,C31p7798,31,ULS B (full envelope),24.176565801055553,79.20080058675003,435.0540209837354,-592.1786677653351,53.91189280817125,11.890384670242785
3526,MC5/6,2628,maxMyy,C31p3527,31,ULS B (full envelope),197.3976612477044,-3.705534455370902,857.9748999406926,99.57869681537629,1076.8191237589142,15.857130996554494
6149,MC5/6,2628,minMyy,C31p6150,31,ULS B (full envelope),-84.84068352524481,-6.003626955065726,767.8522400424736,146.53603384662625,-787.0048957821015,4.16790079838097
5110,MC5/6,2628,maxMzz,C31p5111,31,ULS B (full envelope),122.84965323476084,5.286878698153495,1074.4246486000234,53.72257320775986,418.20835571781754,21.44471036706895
