,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
4987,MC5/6,2628,maxFx,C31p4988,31,ULS B (full envelope),196.92622493171982,-12.07510438599467,1051.2914871545104,197.7357557659912,956.9914028073465,16.131374274712208
6143,MC5/6,2628,minFx,C31p6144,31,ULS B (full envelope),-95.35954421292284,-11.914728492401837,638.9533411925087,167.04407274993898,-773.7543460967906,-1.1629512961259485
7797,MC5/6,2628,maxFy,C31p7798,31,ULS B (full envelope),24.175458936010838,79.18744245577814,435.0201908181721,-592.1155100574341,53.90996949907756,11.888898830683827
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),42.95993253598054,-62.56894746128916,737.3110414382935,544.2658564651489,104.54103534034304,-2.6201944943472744
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),112.79036710808593,6.634161334944965,1074.355817151486,47.844811565246566,350.6392281774096,14.483064252448381
7809,MC5/6,2628,minFz,C31p7810,31,ULS B (full envelope),17.039326347815038,-15.808091455354683,427.1492477822834,176.91798896600335,37.01961718393779,-8.046093556706309
5215,MC5/6,2628,maxMxx,C31p5216,31,ULS B (full envelope),25.730974723480546,-62.22595415074229,645.5259101882936,569.8403783401488,61.04526815284304,-4.374071252159775
7797,MC5/6,2628,minMxx,C31p7798,31,ULS B (full envelope),24.175458936010838,79.18744245577814,435.0201908181721,-592.1155100574341,53.90996949907756,11.888898830683827
3526,MC5/6,2628,maxMyy,C31p3527,31,ULS B (full envelope),196.65779054255503,-10.16769993801951,857.8293788751706,147.74266343109133,1074.9299249446217,13.531470967439114
6149,MC5/6,2628,minMyy,C31p6150,31,ULS B (full envelope),-85.55535668156604,-12.464394023560287,767.7044698408947,194.6867861288452,-788.7371161784253,1.8400112890180944
5110,MC5/6,2628,maxMzz,C31p5111,31,ULS B (full envelope),122.13192001594832,-1.1986427272117106,1074.2732643892036,102.0627578240967,416.4749529028665,19.11348833416045
5211,MC5/6,2628,minMzz,C31p5212,31,ULS B (full envelope),13.788616954277362,-23.752034991806738,588.7713509624483,289.2889268997192,26.180678190455954,-9.718677921776473
38515,MC3/4,2629,maxFx,C31p7340,31,ULS B (full envelope),96.88629157393679,1.1467057816964388,1007.716265283212,103.55045001928332,383.1576584814304,13.616234133319558
