,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
4988,MC5/6,2628,maxFx,C31p4989,31,ULS B (full envelope),167.32810076096692,-12.899339760880471,1051.3051537498873,205.23609653150558,764.7162030902477,17.70744065914556
6142,MC5/6,2628,minFx,C31p6143,31,ULS B (full envelope),-79.48682694090226,-13.21520802523613,638.965455097922,177.53109377941135,-670.1801916753094,3.367029159493296
7797,MC5/6,2628,maxFy,C31p7798,31,ULS B (full envelope),19.246738714687346,63.854793163734435,436.8353357925892,-481.22038490991207,22.886215215347278,12.561746560600278
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),31.557151430199667,-63.026905169773094,737.2056954497338,548.831874810791,28.73729172515701,0.3736809817872927
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),98.54506652453713,4.667302203655245,1074.40341674451,63.075771081542975,261.2390104716475,17.703415131643865
7809,MC5/6,2628,minFz,C31p7810,31,ULS B (full envelope),12.39748937539291,-32.08900747103118,428.7078562820912,293.7399748557129,8.591522845504755,-5.312290011665345
5215,MC5/6,2628,maxMxx,C31p5216,31,ULS B (full envelope),17.323977211449666,-62.65268186655044,645.4198141997337,574.194289654541,4.374097193907018,-1.2041331295408308
7797,MC5/6,2628,minMxx,C31p7798,31,ULS B (full envelope),19.246738714687346,63.854793163734435,436.8353357925892,-481.22038490991207,22.886215215347278,12.561746560600278
3527,MC5/6,2628,maxMyy,C31p3528,31,ULS B (full envelope),162.97697616296435,-11.16306174498558,857.8495066598401,156.4291972764206,854.8306378495319,15.096017316841934
6148,MC5/6,2628,minMyy,C31p6149,31,ULS B (full envelope),-72.59911451330524,-13.537755675230027,767.7156510243022,203.61949612804415,-704.5976378633587,5.961115327248424
5110,MC5/6,2628,maxMzz,C31p5111,31,ULS B (full envelope),101.83357252602737,-1.3152460711526857,1074.3241850861125,104.7852287617302,285.36011785297353,20.37812178291723
7809,MC5/6,2628,minMzz,C31p7810,31,ULS B (full envelope),12.39748937539291,-32.08900747103118,428.7078562820912,293.7399748557129,8.591522845504755,-5.312290011665345
38516,MC3/4,2629,maxFx,C31p7341,31,ULS B (full envelope),84.47926161171762,17.488174180576063,1072.3512436187943,54.222500839889065,302.9683794416979,14.493319135151806
35629,MC3/4,2629,minFx,C31p4454,31,ULS B (full envelope),-88.86884119905623,26.382864622621536,1263.8587338318061,19.592786681518557,-369.8006492505475,5.9098895359441626
33780,MC3/4,2629,maxFy,C31p2605,31,ULS B (full envelope),-14.341735413877107,97.23314504818917,945.0564144340515,-615.4739787719727,-33.017520379774275,4.004815241377056
38987,MC3/4,2629,minFy,C31p7812,31,ULS B (full envelope),-0.40990697693634004,-50.61632397823333,554.9059995448913,514.3572146888428,-5.068915839401244,4.251423700145722
33688,MC3/4,2629,maxFz,C31p2513,31,ULS B (full envelope),23.39241470322456,43.49864786854908,1501.7829250536092,-124.7480802358556,152.64858049051077,11.699335424776969
38985,MC3/4,2629,minFz,C31p7810,31,ULS B (full envelope),-3.4474077742080684,-32.93124368648529,548.8646817958679,385.49536117321776,-17.956374446121217,0.7944856431999205
36386,MC3/4,2629,maxMxx,C31p5211,31,ULS B (full envelope),15.844457871492763,-40.72769404482842,883.7870407646178,560.2639286560059,17.53976772218496,9.342786094991864
38979,MC3/4,2629,minMxx,C31p7804,31,ULS B (full envelope),-2.7857322935562134,85.91357139225006,601.255716964325,-627.6775900047608,-14.443014878860474,1.489496889499664
36401,MC3/4,2629,maxMyy,C31p5226,31,ULS B (full envelope),69.27568476930465,11.723874756288533,855.2398815569878,81.30261280212403,412.3305391378954,9.556765163461865
33811,MC3/4,2629,minMyy,C31p2636,31,ULS B (full envelope),-67.96278656858597,21.06139089093208,910.9285727344036,-0.15706681213378942,-435.57588830351085,9.531477254144848
38542,MC3/4,2629,maxMzz,C31p7367,31,ULS B (full envelope),48.77246483193246,19.704401869174692,1072.3749295208797,39.73069525883437,45.26052991655145,15.50236071142286
39015,MC3/4,2629,minMzz,C31p7840,31,ULS B (full envelope),-49.837524102256765,37.58634833850861,583.6904760489789,-186.32454132617187,-360.19642433778375,-3.582699133010865
71090,MC1/2,2630,maxFx,C31p8739,31,ULS B (full envelope),74.22094608745863,-2.6973974367218014,526.6933376480874,-58.46836840281677,642.3508142239191,6.890367809706689
64639,MC1/2,2630,minFx,C31p2288,31,ULS B (full envelope),-173.60858372331498,-3.349691987413168,1179.727345529596,-193.13740521805764,-811.2378894336204,11.55005334372908
70152,MC1/2,2630,maxFy,C31p7801,31,ULS B (full envelope),-24.172704423405644,55.667260437728885,533.4340880409088,-522.6272185764618,-51.49347286384581,-6.748678352364539
64967,MC1/2,2630,minFy,C31p2616,31,ULS B (full envelope),-23.19356359935403,-55.807558871597045,721.4354815892221,250.8786305969238,-41.40241578054242,18.183664325337112
64688,MC1/2,2630,maxFz,C31p2337,31,ULS B (full envelope),-47.26576254106403,-18.692662494376894,1202.8660664482404,-65.98366280594826,96.3569118074531,17.659475249284807
70149,MC1/2,2630,minFz,C31p7798,31,ULS B (full envelope),-15.848551841618535,55.193770557357794,484.05170576551814,-515.554915121872,-36.143812439041135,-7.310324923333169
70163,MC1/2,2630,maxMxx,C31p7812,31,ULS B (full envelope),-21.95147868831348,-48.90824543995666,491.56217836995984,320.17688735615536,-40.22869268348693,13.091132240668296
64956,MC1/2,2630,minMxx,C31p2605,31,ULS B (full envelope),-25.41478933444619,48.76794700608849,763.3073912601709,-591.9254753356934,-52.66719596090131,-1.6561462676957226
71102,MC1/2,2630,maxMyy,C31p8751,31,ULS B (full envelope),66.05279724672128,-1.1614859757690432,656.87979713248,-90.28966779393387,661.4642285689357,8.395848087725403
63277,MC1/2,2630,minMyy,C31p926,31,ULS B (full envelope),-169.2160423957646,-3.1936782164800173,984.081573113963,-164.56126407648088,-893.470034352339,9.153047215698658
67567,MC1/2,2630,maxMzz,C31p5216,31,ULS B (full envelope),-48.2645908149302,-52.26701456198096,862.9412640068472,250.94682887573245,-103.7891501799565,19.205022986607254
70191,MC1/2,2630,minMzz,C31p7840,31,ULS B (full envelope),-65.13017710254383,-6.420431786392212,507.12273647484443,-45.03218708232116,-386.09623263710023,-9.26482764168644
98758,S3/4,2631,maxFx,C31p5231,31,ULS B (full envelope),25.274881341689827,4.0055914183318615,473.65682849515974,-91.61176813949346,-13.070448889257008,42.57108591162032
96164,S3/4,2631,minFx,C31p2637,31,ULS B (full envelope),-65.1144439177096,6.5188887968719005,460.4026835306078,-94.68106854423286,-179.83106223764568,-44.06802030722432
96165,S3/4,2631,maxFy,C31p2638,31,ULS B (full envelope),-61.02037670808435,7.100305974453688,495.68482235831317,-95.23781551765205,-207.39820991068038,-44.04236525638037
101342,S3/4,2631,minFy,C31p7815,31,ULS B (full envelope),-21.819403679016112,-6.2628500216827385,250.04433870475722,-30.458609086776733,-63.87491848803711,-0.1630316747138425
101187,S3/4,2631,maxFz,C31p7660,31,ULS B (full envelope),-7.243704327365162,1.564978956039101,640.337432921834,-88.01636466958534,-68.70800026724012,12.355458075978712
101362,S3/4,2631,minFz,C31p7835,31,ULS B (full envelope),-56.00169642880249,6.057206919254304,233.0983029304309,-45.311196713615416,-235.64506055422973,-43.66149236649686
101342,S3/4,2631,maxMxx,C31p7815,31,ULS B (full envelope),-21.819403679016112,-6.2628500216827385,250.04433870475722,-30.458609086776733,-63.87491848803711,-0.1630316747138425
