,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
3527,MC5/6,2628,maxFx,C31p3528,31,ULS B (full envelope),211.43804927005706,-11.791117757792472,866.3161248836498,161.62151173351293,1203.478865427261,15.880438869239391
6142,MC5/6,2628,minFx,C31p6143,31,ULS B (full envelope),-139.82066049312652,-9.256625327677725,647.4740187994173,150.27908628917692,-1115.6680282509465,1.811004090301096
7797,MC5/6,2628,maxFy,C31p7798,31,ULS B (full envelope),15.31417424187469,64.19316634179688,442.74021944196267,-483.13547266027825,-9.30934659117317,14.682213083053588
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),23.686966809601152,-61.034137739288795,745.8110546702385,534.9788289886474,-34.5797838625567,-1.9356464572235936
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),82.23248685762819,5.884400284087659,1082.8819852476552,55.74480998107911,131.53452842868398,16.692701006460492
7809,MC5/6,2628,minFz,C31p7810,31,ULS B (full envelope),8.930910752532956,-31.042573501953115,434.8657312980418,285.9911810506592,-19.439279406438825,-7.3015654737701405
5215,MC5/6,2628,maxMxx,C31p5216,31,ULS B (full envelope),12.381190247101152,-60.747266895782936,654.0313796702386,560.9880836761475,-34.98590065943171,-3.2347504611298437
7797,MC5/6,2628,minMxx,C31p7798,31,ULS B (full envelope),15.31417424187469,64.19316634179688,442.74021944196267,-483.13547266027825,-9.30934659117317,14.682213083053588
8723,MC5/6,2628,maxMyy,C31p8724,31,ULS B (full envelope),201.43860721521668,-8.515243516794683,610.4918838306171,110.64596703038787,1203.5067458068218,13.7093489611218
6148,MC5/6,2628,minMyy,C31p6149,31,ULS B (full envelope),-136.01433503170077,-9.48776025809765,776.2472692250897,175.90451576183315,-1176.2576154711767,4.270048750335276
2605,MC5/6,2628,maxMzz,C31p2606,31,ULS B (full envelope),30.509273926872577,35.114934453094,753.696895736599,-241.04280440979008,-22.03776608635355,20.57763078124076
7809,MC5/6,2628,minMzz,C31p7810,31,ULS B (full envelope),8.930910752532956,-31.042573501953115,434.8657312980418,285.9911810506592,-19.439279406438825,-7.3015654737701405
38516,MC3/4,2629,maxFx,C31p7341,31,ULS B (full envelope),71.96692626145739,15.809957594622079,1080.7919203342049,69.07060676759183,207.98964887268303,13.564728431016952
35629,MC3/4,2629,minFx,C31p4454,31,ULS B (full envelope),-78.26590378431422,23.339950677432416,1272.2937933936685,43.72358526489256,-284.6892158969284,8.348750889483243
33780,MC3/4,2629,maxFy,C31p2605,31,ULS B (full envelope),-11.545373530655914,96.59421677537858,953.3234799304962,-609.7473120178222,-8.201532481305582,4.455528136206418
38987,MC3/4,2629,minFy,C31p7812,31,ULS B (full envelope),-1.0970020491142263,-52.811102277429576,561.0832746444855,532.1280736982422,-8.839625874799728,4.714003996734619
33688,MC3/4,2629,maxFz,C31p2513,31,ULS B (full envelope),22.702188063539456,41.46783941930622,1510.2032234583369,-107.77031367186133,154.23066017011888,11.975124737236051
38985,MC3/4,2629,minFz,C31p7810,31,ULS B (full envelope),-3.81786704125595,-34.867464963586805,555.012944245926,401.2493078901367,-19.859476709646223,0.8270940502929689
36386,MC3/4,2629,maxMxx,C31p5211,31,ULS B (full envelope),11.564560512465427,-43.993783149090405,892.3376864276887,587.0734766784668,-14.864659190480689,9.686281542635708
38979,MC3/4,2629,minMxx,C31p7804,31,ULS B (full envelope),-2.211384920360564,86.60826864694786,607.1635400222931,-632.7748460527345,-9.408885689062117,1.5732213178443908
33803,MC3/4,2629,maxMyy,C31p2628,31,ULS B (full envelope),41.22351253005881,11.108952626284955,878.5768215674641,64.69351856689454,382.3379456789803,6.629376330614835
36409,MC3/4,2629,minMyy,C31p5234,31,ULS B (full envelope),-41.829598334199005,17.62158965707719,904.4312103213312,50.05828920288084,-415.96751787082434,14.28790905232504
38542,MC3/4,2629,maxMzz,C31p7367,31,ULS B (full envelope),37.58422903184314,17.959109567583504,1080.811917338449,54.92720507569729,-44.71575395995855,15.65821755745128
39003,MC3/4,2629,minMzz,C31p7828,31,ULS B (full envelope),46.550037850330355,29.813038717214585,589.6402118197833,-134.4379811845703,368.19383625650977,-5.4488163527679445
71090,MC1/2,2630,maxFx,C31p8739,31,ULS B (full envelope),134.8164555607796,-4.60203241736889,532.7597431032949,-47.513183422210695,1090.2383737028235,3.6239770356979366
63277,MC1/2,2630,minFx,C31p926,31,ULS B (full envelope),-216.8032021562408,-1.0793508429467675,992.4760408292763,-183.53621482118606,-1237.928063420297,14.50678657583684
70155,MC1/2,2630,maxFy,C31p7804,31,ULS B (full envelope),-16.63522683244705,55.181492319416996,512.1655949705885,-516.7021713842469,-11.162258148181914,-9.279059478889465
64964,MC1/2,2630,minFy,C31p2613,31,ULS B (full envelope),-21.289852253763563,-54.55703284386992,757.1853127962114,233.8327778991699,-7.984426441498846,21.775430570279063
64790,MC1/2,2630,maxFz,C31p2439,31,ULS B (full envelope),-91.80751480391731,-19.092261996186966,1211.2530590538258,-68.00016733082771,-202.29895584283932,19.074386932440106
70149,MC1/2,2630,minFz,C31p7798,31,ULS B (full envelope),-12.521993202075958,54.86812310631275,490.22146704090096,-514.5421563024597,-10.080595275867461,-9.518058737312316
70163,MC1/2,2630,maxMxx,C31p7812,31,ULS B (full envelope),-17.891535300312036,-48.49268091437816,497.5095845568941,314.7402776819153,-7.956975121868134,15.758517697013854
64956,MC1/2,2630,minMxx,C31p2605,31,ULS B (full envelope),-20.033543785898576,49.11714038992524,771.8413232099057,-597.6096711669923,-11.189709467812628,-3.262146605624255
65906,MC1/2,2630,maxMyy,C31p3555,31,ULS B (full envelope),128.71445983472597,-9.493612707875968,895.1906867657899,-153.9634261642647,1134.5379689918125,10.807841329254806
