,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
4988,MC5/6,2628,maxFx,C31p4989,31,ULS B (full envelope),197.10558710343997,-12.383013552124503,1052.752102098535,201.934677927227,954.0758036511744,17.72595584458545
6142,MC5/6,2628,minFx,C31p6143,31,ULS B (full envelope),-97.50412071163798,-15.971071910687687,640.3738392001394,197.05504753246313,-781.9145081033948,3.4936771424402298
7797,MC5/6,2628,maxFy,C31p7798,31,ULS B (full envelope),23.015521887393948,62.90572516455461,437.66936504366225,-474.78601340112306,47.81746283464051,14.060387409378052
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),38.81246967075801,-63.76858587865233,738.7605006032946,554.729834503174,77.80802523789927,-0.48096712241396244
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),114.92061793560484,3.5508036702978627,1075.788662475988,71.03750158813476,366.2536689038234,18.61186527458921
7809,MC5/6,2628,minFz,C31p7810,31,ULS B (full envelope),15.70229437503433,-32.14190320458602,429.797890135215,294.6562492941895,30.534474156661986,-5.848561847518918
5215,MC5/6,2628,maxMxx,C31p5216,31,ULS B (full envelope),21.647468108258025,-63.416852175039054,646.9753224782945,580.2496720031739,34.478401800399276,-2.259715901710837
7797,MC5/6,2628,minMxx,C31p7798,31,ULS B (full envelope),23.015521887393948,62.90572516455461,437.66936504366225,-474.78601340112306,47.81746283464051,14.060387409378052
3527,MC5/6,2628,maxMyy,C31p3528,31,ULS B (full envelope),196.94944537799216,-10.461239301434759,859.288635706716,151.8448974763107,1072.3992813823843,15.11606144329205
6148,MC5/6,2628,minMyy,C31p6149,31,ULS B (full envelope),-87.80139359661723,-16.560169162884954,769.1254142496448,224.9668380598069,-797.1494135297252,6.5567874433435485
5110,MC5/6,2628,maxMzz,C31p5111,31,ULS B (full envelope),117.96554241059937,-2.3680803352665922,1075.72515211925,112.27622760251998,389.58978210790053,21.300391341597585
7809,MC5/6,2628,minMzz,C31p7810,31,ULS B (full envelope),15.70229437503433,-32.14190320458602,429.797890135215,294.6562492941895,30.534474156661986,-5.848561847518918
38516,MC3/4,2629,maxFx,C31p7341,31,ULS B (full envelope),96.213382860804,19.765314079242494,1073.7385639881675,39.95687208013714,375.6666988923749,15.614281418749837
35629,MC3/4,2629,minFx,C31p4454,31,ULS B (full envelope),-100.54050756404837,30.766750380219218,1265.2456552933015,-8.739052838134763,-438.4227810945408,6.517374624830037
33780,MC3/4,2629,maxFy,C31p2605,31,ULS B (full envelope),-17.450085568580217,102.42325751149058,946.2659870975497,-649.4593481567383,-52.962419670056555,4.771865381415934
38987,MC3/4,2629,minFy,C31p7812,31,ULS B (full envelope),-0.16613881224823035,-50.90383927931213,556.0439359553372,517.0864879232179,-2.639809886215211,4.588167593587486
33382,MC3/4,2629,maxFz,C31p2207,31,ULS B (full envelope),-40.04604548907239,48.275395592342186,1503.1309200037624,-155.80366643243607,-283.82313427893564,11.01602948276937
38985,MC3/4,2629,minFz,C31p7810,31,ULS B (full envelope),-3.3097907554550177,-32.70837498487854,549.9636278803861,384.75038855798346,-16.788444537399293,1.3260429063926626
36386,MC3/4,2629,maxMxx,C31p5211,31,ULS B (full envelope),19.527993213692124,-39.474619532424214,885.313879391861,553.0233304626465,42.28027235875204,10.35176232095659
38979,MC3/4,2629,minMxx,C31p7804,31,ULS B (full envelope),-3.487046500770569,89.45135743623352,602.080793661026,-650.977318430542,-18.854898790023807,1.9191612058046454
36401,MC3/4,2629,maxMyy,C31p5226,31,ULS B (full envelope),73.26760549549145,12.636105554169415,856.627228823185,76.22067365112304,431.1830025757321,9.669776771665365
