,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
3526,MC5/6,2628,maxFx,C31p3527,31,ULS B (full envelope),185.66420114850231,6.898240655047895,767.9591856171346,-74.08926745347978,990.3392731580461,14.66459720494807
6143,MC5/6,2628,minFx,C31p6144,31,ULS B (full envelope),-90.19327591471487,-7.174751610577107,583.4452899351433,68.8147467896843,-718.8571920387925,-2.945887538933159
5199,MC5/6,2628,maxFy,C31p5200,31,ULS B (full envelope),20.901705862259867,63.447442952823636,556.1594239418984,-472.97577604370116,46.50171151215434,10.891812322705983
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),40.925496098208434,-39.99698638906479,671.1871945610047,309.29382331848143,97.89945088478925,-2.872933512026071
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),103.92618228122235,12.861697765598297,953.2197243806362,-133.8446003451538,295.5272536391534,14.38597627229095
7810,MC5/6,2628,minFz,C31p7811,31,ULS B (full envelope),17.748479541314126,-39.080535539096836,402.51916452201465,309.98018058422855,47.88055304499817,-5.599689750038146
5218,MC5/6,2628,maxMxx,C31p5219,31,ULS B (full envelope),21.230795672488213,-39.099179077053066,557.6453693916321,332.1960781280518,52.76910101525188,-5.114489630800485
2598,MC5/6,2628,minMxx,C31p2599,31,ULS B (full envelope),41.24818932020665,63.24781964960098,669.8916786156656,-501.03215038452146,95.2842367723167,13.681488399976493
3526,MC5/6,2628,maxMyy,C31p3527,31,ULS B (full envelope),185.66420114850231,6.898240655047895,767.9591856171346,-74.08926745347978,990.3392731580461,14.66459720494807
6149,MC5/6,2628,minMyy,C31p6150,31,ULS B (full envelope),-80.13495419573599,-6.8015518559384365,686.7478072428823,61.66535983655929,-727.7094524877061,-0.7174686712878952
2605,MC5/6,2628,maxMzz,C31p2606,31,ULS B (full envelope),48.967417554163944,32.944188024997715,691.2702398896218,-291.17062257995605,121.3740247323692,17.607823461240528
5211,MC5/6,2628,minMzz,C31p5212,31,ULS B (full envelope),13.511567438530921,-8.7955474524498,536.2668081176759,122.33455032348633,26.679313055199387,-9.040824692064522
38515,MC3/4,2629,maxFx,C31p7340,31,ULS B (full envelope),83.57343051217678,1.4315671185350416,899.1445777187039,-3.622405509198904,307.2341360115743,7.354991422582866
35628,MC3/4,2629,minFx,C31p4453,31,ULS B (full envelope),-86.38222364324926,27.875469554729463,1029.3115841228678,-229.5836978314209,-323.7226427048182,-8.395241737260818
33780,MC3/4,2629,maxFy,C31p2605,31,ULS B (full envelope),-16.308038087981938,73.51840525007248,788.2020548294068,-604.4549729492187,-36.220836842048165,-4.055628244066238
38987,MC3/4,2629,minFy,C31p7812,31,ULS B (full envelope),-2.476616766363144,-47.17991002584076,468.15505760607897,402.3233180095215,-17.21433328483963,-0.16140356593704222
33688,MC3/4,2629,maxFz,C31p2513,31,ULS B (full envelope),22.216692281051877,20.094066298527718,1265.5918888065223,-200.16681495194794,156.28264455523734,1.6150124116194247
38985,MC3/4,2629,minFz,C31p7810,31,ULS B (full envelope),-2.7869316333827974,-25.208413748985294,466.3634672740477,248.96479518237302,-8.511018137439725,-3.858674645954132
36389,MC3/4,2629,maxMxx,C31p5214,31,ULS B (full envelope),15.031776238495112,-45.77066838655472,665.3593903564454,412.95468448486326,19.715683613884448,1.9572093784809113
33780,MC3/4,2629,minMxx,C31p2605,31,ULS B (full envelope),-16.308038087981938,73.51840525007248,788.2020548294068,-604.4549729492187,-36.220836842048165,-4.055628244066238
38719,MC3/4,2629,maxMyy,C31p7544,31,ULS B (full envelope),60.450307452331785,3.7759257107591635,1160.6754611511876,-37.31618275529266,324.11605126483204,3.91206649887681
35630,MC3/4,2629,minMyy,C31p4455,31,ULS B (full envelope),-86.07190877622962,5.903973277873994,1031.1031744548989,-76.22517500427246,-332.4259578522181,-4.697970657243728
38560,MC3/4,2629,maxMzz,C31p7385,31,ULS B (full envelope),69.17727755048396,0.4795978677415844,891.7998020473934,8.100450711504218,218.57560986289266,8.239177880712749
35652,MC3/4,2629,minMzz,C31p4477,31,ULS B (full envelope),-74.06313041029334,31.451585159130097,1008.6644835740472,-251.5629014050293,-247.37961638798475,-10.495658357667923
65893,MC1/2,2630,maxFx,C31p3542,31,ULS B (full envelope),90.19549767728688,3.533197136516571,591.7187370545387,-52.37462658416749,717.3142611753154,4.889246757301241
63278,MC1/2,2630,minFx,C31p927,31,ULS B (full envelope),-186.11062713800075,2.4119551610088337,783.4239843199063,-0.7724979976463374,-998.4691333925558,-6.1842575193014735
62358,MC1/2,2630,maxFy,C31p7,31,ULS B (full envelope),-40.166730901318786,47.568459129810336,686.0331832504272,-375.74620728149415,-94.98681981660128,-14.114617091059683
64967,MC1/2,2630,minFy,C31p2616,31,ULS B (full envelope),-24.62116151655316,-36.59653145475387,562.2573850978373,277.1917477630615,-66.59582762948274,9.991899769330024
64688,MC1/2,2630,maxFz,C31p2337,31,ULS B (full envelope),-60.12840214388727,-2.7806884382200256,972.3709756558322,57.08779532357215,-26.122281205866326,2.6368025587604946
70149,MC1/2,2630,minFz,C31p7798,31,ULS B (full envelope),-14.22692047291136,45.462017868173604,402.81432776502606,-364.09120799208074,-32.54691536312102,-14.048827898807525
70163,MC1/2,2630,maxMxx,C31p7812,31,ULS B (full envelope),-24.80685552234984,-34.58264029527855,422.11512482728006,289.5851642704925,-67.51212437229155,9.314458835964203
64956,MC1/2,2630,minMxx,C31p2605,31,ULS B (full envelope),-23.297034807568785,44.20034536027909,586.8388301254272,-379.9379933166505,-54.059826066601275,-13.398031934809685
65893,MC1/2,2630,maxMyy,C31p3542,31,ULS B (full envelope),90.19549767728688,3.533197136516571,591.7187370545387,-52.37462658416749,717.3142611753154,4.889246757301241
63278,MC1/2,2630,minMyy,C31p927,31,ULS B (full envelope),-186.11062713800075,2.4119551610088337,783.4239843199063,-0.7724979976463374,-998.4691333925558,-6.1842575193014735
64972,MC1/2,2630,maxMzz,C31p2621,31,ULS B (full envelope),-26.318324388867612,-35.164631859874724,583.7698312637328,267.6239485961914,-53.307705290615544,10.11899251900092
62352,MC1/2,2630,minMzz,C31p1,31,ULS B (full envelope),-34.35640918501019,47.19083803071976,664.2932761215209,-373.3453693115235,-80.87462758027317,-14.152898812365532
98759,S3/4,2631,maxFx,C31p5232,31,ULS B (full envelope),49.47220949257612,1.3661212539672856,1015.2582792037964,-161.7677703590393,243.45886761682033,9.605491332495214
96163,S3/4,2631,minFx,C31p2636,31,ULS B (full envelope),-65.51173472892046,4.000935842895508,989.8182393356324,-111.3593719581604,-332.920269538331,34.18574428964853
101325,S3/4,2631,maxFy,C31p7798,31,ULS B (full envelope),-7.004245290811539,21.03637810597992,620.9733932393797,184.6040166966553,-43.47215431472015,17.46170924684143
98744,S3/4,2631,minFy,C31p5217,31,ULS B (full envelope),-4.35105249196291,-24.1092087852478,1019.2378668258667,-141.60370194854735,18.098379067778588,7.0741921484589545
95991,S3/4,2631,maxFz,C31p2464,31,ULS B (full envelope),4.47260790611029,2.6494509165501596,1247.0983710569428,-129.27987795914296,-15.407869579911251,-6.907835967080595
101362,S3/4,2631,minFz,C31p7835,31,ULS B (full envelope),-63.48756097369957,4.45562170262909,558.5846292424925,32.34783920413208,-332.67839639311984,28.037226614776614
101361,S3/4,2631,maxMxx,C31p7834,31,ULS B (full envelope),-59.71194986682701,10.227713736015321,600.9479143987425,198.02895297366334,-259.9298060649033,19.815822495285037
96023,S3/4,2631,minMxx,C31p2496,31,ULS B (full envelope),-10.06004573768854,1.7613007723546021,1196.7746247300386,-297.31646775940544,-16.357239926438343,-10.108019945733554
101357,S3/4,2631,maxMyy,C31p7830,31,ULS B (full envelope),47.44093146557045,2.8051045410690305,598.1055771428831,-28.571122917449962,244.40124608124543,16.80888513223267
