,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
3526,MC5/6,2628,maxFx,C31p3527,31,ULS B (full envelope),173.85475955645146,6.033311796565057,768.2119826370001,-67.74235646736145,918.9850498791589,15.720047322497962
6143,MC5/6,2628,minFx,C31p6144,31,ULS B (full envelope),-84.82187106160583,-6.837994250187874,583.8286865339422,66.94130223136901,-686.9828462454142,-3.236695134472252
5199,MC5/6,2628,maxFy,C31p5200,31,ULS B (full envelope),19.5243691571787,62.717940454101566,556.5617213395119,-467.28447432250977,38.11617209543586,11.275462161958218
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),37.91715153771192,-39.904861791229244,671.4390507034302,308.8447468109131,79.32008778337837,-2.8183856426835074
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),97.34086322296886,12.4924877734375,953.7002181208513,-130.681245633545,255.47568294191723,15.219756847550869
7810,MC5/6,2628,minFz,C31p7811,31,ULS B (full envelope),16.4038917695508,-38.881720395496366,402.6532695379028,308.63861296069337,39.57752838560295,-5.723404955902099
5218,MC5/6,2628,maxMxx,C31p5219,31,ULS B (full envelope),19.639311525733767,-38.99354257965088,557.8625240859985,331.6219462982178,42.922828683227294,-5.193955491316317
2598,MC5/6,2628,minMxx,C31p2599,31,ULS B (full envelope),38.40403564620763,62.58131784896851,670.3497422623634,-495.7209945129395,77.88612904714942,14.195493265473841
3526,MC5/6,2628,maxMyy,C31p3527,31,ULS B (full envelope),173.85475955645146,6.033311796565057,768.2119826370001,-67.74235646736145,918.9850498791589,15.720047322497962
6149,MC5/6,2628,minMyy,C31p6150,31,ULS B (full envelope),-75.86081011517945,-6.442967498784065,687.1935274189519,59.71476211906431,-702.798267244865,-0.9510143202632683
5110,MC5/6,2628,maxMzz,C31p5111,31,ULS B (full envelope),106.68891059987294,7.529259009234904,952.5067669777561,-97.03338568225861,325.97227482279425,18.508889211142364
5211,MC5/6,2628,minMzz,C31p5212,31,ULS B (full envelope),12.345937227399643,-9.014878955078123,536.5370950653077,124.05692479858396,19.588842333549255,-9.429236586821078
38515,MC3/4,2629,maxFx,C31p7340,31,ULS B (full envelope),78.883722566514,1.5194964528882504,899.6898254248525,-3.6323502214622496,279.2832826051903,7.911372971565725
35628,MC3/4,2629,minFx,C31p4453,31,ULS B (full envelope),-81.48298919072629,27.321618540353775,1029.8802079815675,-225.34645628234864,-294.7505371441841,-8.789232429714204
33780,MC3/4,2629,maxFy,C31p2605,31,ULS B (full envelope),-14.981329000258444,72.37629279503821,788.665015940094,-596.3831976776123,-27.9420147816658,-4.252843414020538
38987,MC3/4,2629,minFy,C31p7812,31,ULS B (full envelope),-2.4973050631885525,-46.4895767958622,468.4182144120178,398.00068718524176,-17.568390158805848,-0.10526875442504877
33688,MC3/4,2629,maxFz,C31p2513,31,ULS B (full envelope),22.11789177706242,19.96232459192634,1266.333053405199,-198.59025993886948,156.3535050366784,2.020983426811695
38985,MC3/4,2629,minFz,C31p7810,31,ULS B (full envelope),-2.762587531030655,-24.877177824304578,466.6468964875183,247.07406011004642,-8.323855433616638,-4.101580640258788
36389,MC3/4,2629,maxMxx,C31p5214,31,ULS B (full envelope),13.719050707268716,-45.1642002110958,665.7401150550843,409.3222458770752,11.448660869121555,2.0969107972145076
33780,MC3/4,2629,minMxx,C31p2605,31,ULS B (full envelope),-14.981329000258444,72.37629279503821,788.665015940094,-596.3831976776123,-27.9420147816658,-4.252843414020538
38719,MC3/4,2629,maxMyy,C31p7544,31,ULS B (full envelope),58.41943379183293,3.9826498025739197,1161.394247146311,-37.97088133718491,313.0243787149621,4.420973349983691
36038,MC3/4,2629,minMyy,C31p4863,31,ULS B (full envelope),-58.10610573773861,4.607130493034125,1183.4774044884973,-69.39806151906969,-319.41272679529186,-2.019198159606457
38560,MC3/4,2629,maxMzz,C31p7385,31,ULS B (full envelope),64.90286652090549,0.48767688471198106,892.3230833585072,8.597756994113922,192.79893782796862,8.722098052437307
35652,MC3/4,2629,minMzz,C31p4477,31,ULS B (full envelope),-69.53584288205624,30.861750288705824,1009.23342918911,-247.0971594610596,-220.28162302553173,-10.942552441577911
65893,MC1/2,2630,maxFx,C31p3542,31,ULS B (full envelope),84.89096502687336,3.106987027692795,592.1676974165058,-49.87354139923096,685.9631658469667,4.348332110300065
63278,MC1/2,2630,minFx,C31p927,31,ULS B (full envelope),-174.2042666966021,3.2010690652012808,783.7049106180478,-6.442732799530025,-926.7266079201997,-4.7720956972003
62358,MC1/2,2630,maxFy,C31p7,31,ULS B (full envelope),-37.08349411934019,47.502942785215374,686.2885444477081,-375.2816966430664,-76.1537160517514,-14.33655420589447
64967,MC1/2,2630,minFy,C31p2616,31,ULS B (full envelope),-23.067875073319673,-36.212695475053785,562.6528150190354,274.005935426712,-57.11773157375455,10.565309414672852
64688,MC1/2,2630,maxFz,C31p2337,31,ULS B (full envelope),-54.29540388990284,-2.4437969829213624,972.8570076458697,54.21509979457855,10.824035975202321,3.418668661109209
70149,MC1/2,2630,minFz,C31p7798,31,ULS B (full envelope),-13.01378302825212,45.30371567255973,402.93248836244624,-362.85200430791474,-25.2409114386177,-14.535209027526856
70163,MC1/2,2630,maxMxx,C31p7812,31,ULS B (full envelope),-23.255995442802902,-34.26797381756783,422.40916220525787,286.9619041595688,-57.994882942066184,9.918086553527832
64956,MC1/2,2630,minMxx,C31p2605,31,ULS B (full envelope),-21.41260622871518,44.13864551959038,587.073978822708,-379.4651843383789,-42.67380745800136,-13.82379531917572
65905,MC1/2,2630,maxMyy,C31p3554,31,ULS B (full envelope),75.40701954546333,5.244963627502918,697.3942839696026,-58.9166942150116,691.4202785202303,4.724402428648473
63278,MC1/2,2630,minMyy,C31p927,31,ULS B (full envelope),-174.2042666966021,3.2010690652012808,783.7049106180478,-6.442732799530025,-926.7266079201997,-4.7720956972003
67570,MC1/2,2630,maxMzz,C31p5219,31,ULS B (full envelope),-38.81021821601987,-31.52995769848823,676.6502004627228,270.1159545959473,-73.25157173488735,10.826500061464309
70146,MC1/2,2630,minMzz,C31p7795,31,ULS B (full envelope),-16.211029540092945,45.684579643507,425.08372429994625,-363.95653538701634,-32.025991443500516,-14.565242361877441
98759,S3/4,2631,maxFx,C31p5232,31,ULS B (full envelope),50.31124783079625,1.5364252840995796,1014.8042667884827,-159.3178719680786,246.00246400779486,9.628936464512346
96163,S3/4,2631,minFx,C31p2636,31,ULS B (full envelope),-66.30351879365443,4.03605364408493,989.4428168777466,-108.61121546783444,-335.28659924904105,34.312259682285784
