,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
3526,MC5/6,2628,maxFx,C31p3527,31,ULS B (full envelope),197.21507116876694,7.654508165900708,769.5207615826135,-77.67676560576436,1068.9754883156413,13.527003743797541
6143,MC5/6,2628,minFx,C31p6144,31,ULS B (full envelope),-99.58940760694416,-9.36919501219988,585.4034828541282,86.83856381562235,-774.7871975678427,-1.5725120061290268
5199,MC5/6,2628,maxFy,C31p5200,31,ULS B (full envelope),20.690345243087407,63.6965090183258,557.8133945263863,-472.67186842651364,47.52897226553858,10.970833505302666
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),40.92341147004665,-42.173618829727175,672.7957531829835,326.55560576477046,103.37286078215537,-1.8986436402738092
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),107.87633694451871,13.303698765182498,954.3442822923183,-135.7002049517822,327.4159702201743,13.376986833282707
7809,MC5/6,2628,minFz,C31p7810,31,ULS B (full envelope),16.000965171889305,-10.146135159309386,403.1227558148498,109.79382497460936,37.39377464244461,-7.717080163673399
5218,MC5/6,2628,maxMxx,C31p5219,31,ULS B (full envelope),20.62444869920313,-41.34200605354309,559.6942852172853,350.35860757141114,52.73700394736232,-4.031732849258184
2598,MC5/6,2628,minMxx,C31p2599,31,ULS B (full envelope),41.67075479127468,63.567000539016725,671.1050556988716,-501.7735358581543,102.05502929564415,13.633263778740165
3526,MC5/6,2628,maxMyy,C31p3527,31,ULS B (full envelope),197.21507116876694,7.654508165900708,769.5207615826135,-77.67676560576436,1068.9754883156413,13.527003743797541
6149,MC5/6,2628,minMyy,C31p6150,31,ULS B (full envelope),-89.62063549383075,-9.21608809600115,688.4034570827964,80.85354843476294,-782.2428106882651,0.7754489660084245
2605,MC5/6,2628,maxMzz,C31p2606,31,ULS B (full envelope),48.900910895362514,32.275947234725955,692.7470347851754,-284.64202714538567,126.20927978850304,17.534895371872185
5211,MC5/6,2628,minMzz,C31p5212,31,ULS B (full envelope),13.3942925951153,-10.05095274925232,538.0523061309816,133.22709885864256,28.582753454503425,-7.933364442390203
38515,MC3/4,2629,maxFx,C31p7340,31,ULS B (full envelope),86.78186822201492,0.7199978145635121,899.2570549438,2.087657136216165,332.3153084093762,7.093765787026286
35628,MC3/4,2629,minFx,C31p4453,31,ULS B (full envelope),-94.59942717179536,30.17145777903557,1029.890489443817,-244.8668857410812,-375.9867522567845,-7.117372610545159
33780,MC3/4,2629,maxFy,C31p2605,31,ULS B (full envelope),-17.761179518520834,75.8186101676464,789.1923715713501,-619.6646403089525,-45.838623382997525,-3.324339551329613
38987,MC3/4,2629,minFy,C31p7812,31,ULS B (full envelope),-2.469605440477371,-48.6767896468029,468.6827013040161,413.3807063030395,-16.00876514569092,0.052943923362731994
33382,MC3/4,2629,maxFz,C31p2207,31,ULS B (full envelope),-35.17913538516284,21.037016524509188,1264.9865490268994,-207.03288544007785,-221.87986197350497,0.1297255477017161
38985,MC3/4,2629,minFz,C31p7810,31,ULS B (full envelope),-3.303170111040115,-26.083959446607587,466.5336618676758,255.36723951474758,-10.865193978698732,-3.156206888786316
36389,MC3/4,2629,maxMxx,C31p5214,31,ULS B (full envelope),15.581267435824866,-47.27099620366096,666.9078444137575,425.0571458641052,25.807039638853066,2.1422022364854816
33780,MC3/4,2629,minMxx,C31p2605,31,ULS B (full envelope),-17.761179518520834,75.8186101676464,789.1923715713501,-619.6646403089525,-45.838623382997525,-3.324339551329613
36400,MC3/4,2629,maxMyy,C31p5225,31,ULS B (full envelope),62.80944889487027,-3.1328321381092072,697.9044445048334,29.190578243255615,357.7948572261333,3.6650410762071606
35630,MC3/4,2629,minMyy,C31p4455,31,ULS B (full envelope),-93.7658625012326,7.578627578840256,1032.0395288801574,-86.85341895278927,-381.13032342377664,-3.908221798396111
38560,MC3/4,2629,maxMzz,C31p7385,31,ULS B (full envelope),70.19154511364701,0.14900584740042655,892.2051221696759,11.287063925766947,231.91406955897335,8.42736664258659
35754,MC3/4,2629,minMzz,C31p4579,31,ULS B (full envelope),-41.69397400864839,32.62839966410637,1009.0105665753939,-259.2274164954757,-36.12432699341775,-9.373388510050773
65893,MC1/2,2630,maxFx,C31p3542,31,ULS B (full envelope),98.49659676533342,5.674220011863708,593.8035244169903,-69.47087910644532,767.0991159625579,6.518021543202401
63278,MC1/2,2630,minFx,C31p927,31,ULS B (full envelope),-198.9825225827825,0.9198898103022567,785.1725106488705,6.954827471752163,-1083.6074138060046,-7.58836151783705
62358,MC1/2,2630,maxFy,C31p7,31,ULS B (full envelope),-42.1837922660768,48.77627713871002,687.9502477535246,-386.85036577453616,-110.86919463055136,-13.016610318922995
64967,MC1/2,2630,minFy,C31p2616,31,ULS B (full envelope),-25.147781353372338,-37.09985124988557,564.658620141697,278.4661897460938,-71.25660555927756,9.773323018860818
64688,MC1/2,2630,maxFz,C31p2337,31,ULS B (full envelope),-60.70117550340533,-2.822250992227793,973.3860731898928,55.11301980975151,-37.87562003015995,3.3028309487187864
70149,MC1/2,2630,minFz,C31p7798,31,ULS B (full envelope),-15.420801890621275,46.62038821055031,404.02883161147975,-373.8221121369018,-41.03623078147125,-13.045592921871187
70163,MC1/2,2630,maxMxx,C31p7812,31,ULS B (full envelope),-25.31123694654474,-35.06878047574425,423.1113966754332,291.83482546380617,-72.15173333617402,9.009389098697662
64956,MC1/2,2630,minMxx,C31p2605,31,ULS B (full envelope),-24.795704375451802,45.37325936527252,589.2413977535249,-390.77036675109866,-65.19001338055133,-12.319167814040185
65893,MC1/2,2630,maxMyy,C31p3542,31,ULS B (full envelope),98.49659676533342,5.674220011863708,593.8035244169903,-69.47087910644532,767.0991159625579,6.518021543202401
63278,MC1/2,2630,minMyy,C31p927,31,ULS B (full envelope),-198.9825225827825,0.9198898103022567,785.1725106488705,6.954827471752163,-1083.6074138060046,-7.58836151783705
64972,MC1/2,2630,maxMzz,C31p2621,31,ULS B (full envelope),-27.89232028464675,-35.1648139535904,585.9396393528939,265.4815323242188,-65.4124290578127,9.897786214852335
