,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
3526,MC5/6,2628,maxFx,C31p3527,31,ULS B (full envelope),195.59717988671883,7.556827560586932,768.0436749479323,-78.60164357822417,1051.501685859576,14.947061120321749
6143,MC5/6,2628,minFx,C31p6144,31,ULS B (full envelope),-95.21574842382805,-7.519980740499498,583.4275903480941,71.18879689052584,-749.6753561243721,-2.97844925317526
5199,MC5/6,2628,maxFy,C31p5200,31,ULS B (full envelope),21.927208899319172,64.10295125484467,555.8527560897828,-477.99599281005857,52.827664946377276,11.340874566709994
19,MC5/6,2628,minFy,C31p20,31,ULS B (full envelope),43.21301494060753,-40.19937836780549,671.4269508728028,311.03193570251466,112.03056871644257,-3.066931537568568
4496,MC5/6,2628,maxFz,C31p4497,31,ULS B (full envelope),108.88633206108334,13.135483222541811,953.1775654691504,-135.8201934976196,325.94497253899823,14.764128053038124
7810,MC5/6,2628,minFz,C31p7811,31,ULS B (full envelope),18.782465705458637,-39.34755171538163,402.73997287443547,312.15381599584964,54.232496638343825,-5.8518825162429815
5218,MC5/6,2628,maxMxx,C31p5219,31,ULS B (full envelope),22.447020914423465,-39.32251505298615,557.8801508766176,334.0705575775147,60.271845070660106,-5.371774271333218
2598,MC5/6,2628,minMxx,C31p2599,31,ULS B (full envelope),43.38258073312043,63.87233986873627,669.5734080818178,-505.8489414428711,108.45725929528476,14.230545767271519
3526,MC5/6,2628,maxMyy,C31p3527,31,ULS B (full envelope),195.59717988671883,7.556827560586932,768.0436749479323,-78.60164357822417,1051.501685859576,14.947061120321749
6149,MC5/6,2628,minMyy,C31p6150,31,ULS B (full envelope),-84.3309921542968,-7.16651015151024,686.7217551076154,64.16431881923675,-753.2913271116158,-0.6397746026015275
2605,MC5/6,2628,maxMzz,C31p2606,31,ULS B (full envelope),51.406315401995165,33.25518784313201,691.0970499404909,-293.62244046936036,136.59159540063143,18.160645183622837
5211,MC5/6,2628,minMzz,C31p5212,31,ULS B (full envelope),14.423286245548725,-8.7053630273819,536.3565090179445,121.84405660400394,32.13750896531342,-9.301873687684536
38515,MC3/4,2629,maxFx,C31p7340,31,ULS B (full envelope),87.11821159059642,1.3793985189628606,899.1255806503202,-3.3161856436705595,328.58382374209646,7.484420894533396
35628,MC3/4,2629,minFx,C31p4453,31,ULS B (full envelope),-90.06403155247571,28.43861895567894,1029.2258623280622,-233.48698794342042,-345.83632306900745,-8.627867216844558
33780,MC3/4,2629,maxFy,C31p2605,31,ULS B (full envelope),-17.29435051466822,74.7553784635067,787.9283567695618,-613.20219609375,-42.46846437786817,-4.13616773133278
38987,MC3/4,2629,minFy,C31p7812,31,ULS B (full envelope),-2.453292712677001,-47.9563387058487,468.33595742959596,407.8365404866944,-16.941987685039525,-0.19586412559127803
33688,MC3/4,2629,maxFz,C31p2513,31,ULS B (full envelope),22.295675780068628,20.350328155956273,1265.4943411818983,-202.03500219091177,156.34688390319107,1.4743845610487458
38985,MC3/4,2629,minFz,C31p7810,31,ULS B (full envelope),-2.777678891647338,-25.628736349891668,466.4643494584045,251.95569984948736,-8.57091274531174,-3.887305875164032
36389,MC3/4,2629,maxMxx,C31p5214,31,ULS B (full envelope),16.029256373530625,-46.493326903009425,665.5448455604552,418.11143206176763,25.981941389191153,2.0102385221958157
33780,MC3/4,2629,minMxx,C31p2605,31,ULS B (full envelope),-17.29435051466822,74.7553784635067,787.9283567695618,-613.20219609375,-42.46846437786817,-4.13616773133278
38719,MC3/4,2629,maxMyy,C31p7544,31,ULS B (full envelope),61.98968925678371,3.658845359630585,1160.6235449247265,-36.61000132970573,332.7679388809132,3.8479803427755828
35630,MC3/4,2629,minMyy,C31p4455,31,ULS B (full envelope),-89.73964537350537,6.111016599721909,1031.0974702992537,-77.60614730621337,-354.2073980087352,-4.936425467271805
38560,MC3/4,2629,maxMzz,C31p7385,31,ULS B (full envelope),72.40227058496595,0.48586290830612233,891.8003841207029,8.045026211798188,238.19442252444506,8.46752066122651
35652,MC3/4,2629,minMzz,C31p4477,31,ULS B (full envelope),-77.45272430508494,32.0508870043087,1008.5614198783493,-255.73061900512695,-267.9802368574596,-10.808309563646315
65893,MC1/2,2630,maxFx,C31p3542,31,ULS B (full envelope),95.16033089719535,3.888486012077332,591.6785687983703,-54.80920631683349,747.6982671065164,5.693247024598122
63278,MC1/2,2630,minFx,C31p927,31,ULS B (full envelope),-196.1602460367227,1.7783496801948542,783.5621647562695,3.45160474373341,-1060.0262646998192,-7.619626420516372
62358,MC1/2,2630,maxFy,C31p7,31,ULS B (full envelope),-42.565120291864865,47.71939278697967,686.3475121204376,-377.2745731384277,-109.49022692493202,-14.807572780644893
64967,MC1/2,2630,minFy,C31p2616,31,ULS B (full envelope),-25.771813629305363,-36.96120865688324,562.065283270979,280.0065491241455,-73.70615437091588,10.25688263452947
64688,MC1/2,2630,maxFz,C31p2337,31,ULS B (full envelope),-64.55167347105265,-3.0797269999408727,972.4051335497571,59.17122208913087,-54.02359274566411,2.300017285523713
70149,MC1/2,2630,minFz,C31p7798,31,ULS B (full envelope),-15.206153162632287,45.68473163353824,403.10007576074884,-366.0835379560089,-38.291350749542225,-14.559695817597031
70163,MC1/2,2630,maxMxx,C31p7812,31,ULS B (full envelope),-25.954411667309103,-34.909338403922085,421.92617283902456,292.1472125658417,-74.6474545627136,9.50395932575929
64956,MC1/2,2630,minMxx,C31p2605,31,ULS B (full envelope),-24.786280057489876,44.361943958854674,587.1310433704376,-381.5278641540527,-62.90836911243199,-13.898766359746457
65893,MC1/2,2630,maxMyy,C31p3542,31,ULS B (full envelope),95.16033089719535,3.888486012077332,591.6785687983703,-54.80920631683349,747.6982671065164,5.693247024598122
63278,MC1/2,2630,minMyy,C31p927,31,ULS B (full envelope),-196.1602460367227,1.7783496801948542,783.5621647562695,3.45160474373341,-1060.0262646998192,-7.619626420516372
64972,MC1/2,2630,maxMzz,C31p2621,31,ULS B (full envelope),-27.67679755874872,-35.537170359992984,583.5893546020509,270.4768743530273,-61.77420070880652,10.364833487284182
62352,MC1/2,2630,minMzz,C31p1,31,ULS B (full envelope),-36.43631669079065,47.358710391807556,664.6016508411407,-374.9839158996582,-93.41307292102576,-14.808497502723336
98756,S3/4,2631,maxFx,C31p5229,31,ULS B (full envelope),48.81787216746211,1.1208713636398315,1030.6980586566926,-174.69197451324462,241.14297865140438,9.266925331449507
96166,S3/4,2631,minFx,C31p2639,31,ULS B (full envelope),-64.9100851811707,4.159865847587586,974.4037755084993,-98.04625986366271,-330.82073784449096,34.41184485354424
101325,S3/4,2631,maxFy,C31p7798,31,ULS B (full envelope),-7.0551747560806275,20.311906126319883,621.2429340595397,187.40917311224365,-43.76412948688507,17.41613508070755
98744,S3/4,2631,minFy,C31p5217,31,ULS B (full envelope),-4.400145805197955,-23.63079993839264,1019.0538441181184,-143.40741637268067,18.43823452146053,7.510042956876754
95991,S3/4,2631,maxFz,C31p2464,31,ULS B (full envelope),4.586176245583294,2.387196996262074,1247.1911691509636,-128.22624540933612,-14.784254162831301,-6.525074234514239
101362,S3/4,2631,minFz,C31p7835,31,ULS B (full envelope),-62.98036530049515,4.471254605781556,558.5607617527161,32.43113572477723,-330.6349551628494,28.456832022083283
101361,S3/4,2631,maxMxx,C31p7834,31,ULS B (full envelope),-59.25587971432877,10.031699918281557,601.0025638157043,198.93350999235537,-258.0289380958938,20.399624737155914
96023,S3/4,2631,minMxx,C31p2496,31,ULS B (full envelope),-9.681398750678301,1.7605153767704966,1196.76556739193,-297.2382546166039,-14.73688431602955,-9.676852573060984
101357,S3/4,2631,maxMyy,C31p7830,31,ULS B (full envelope),46.89777558085251,2.721734764778138,598.155749667755,-28.400607000976553,242.12173862071987,16.21819645994949
98761,S3/4,2631,minMyy,C31p5234,31,ULS B (full envelope),-61.06026871388555,2.870391204643249,991.1030707416536,-113.86023178749083,-331.61371513216494,21.5055608935833
98671,S3/4,2631,maxMzz,C31p5144,31,ULS B (full envelope),4.213169166496991,-1.81665477284193,1191.3729113055044,-270.23939808446886,-24.558489501194927,56.64876161150933
98768,S3/4,2631,minMzz,C31p5241,31,ULS B (full envelope),-15.430912231951952,2.0763119596481316,1029.745159682083,-173.63634141883847,-22.382939707970632,-55.34315513730049
127330,S1/2,2632,maxFx,C31p2627,31,ULS B (full envelope),51.81491947083474,-3.1368803467750546,948.575881513405,171.7820683013916,228.53452489542963,-10.247929135322572
124746,S1/2,2632,minFx,C31p43,31,ULS B (full envelope),-55.0842532731533,-3.6565582161903376,1012.2891640335083,217.44159606895445,-189.25630184407234,-27.81577297382355
127311,S1/2,2632,maxFy,C31p2608,31,ULS B (full envelope),-7.937426750326156,18.614557407951352,973.3200845191956,177.1695894908905,-15.32923998208046,-18.438628344917298
129914,S1/2,2632,minFy,C31p5211,31,ULS B (full envelope),-0.3232481706142428,-11.27875951590538,998.8660547784806,181.26066077690126,7.510319469213488,-0.9471654207229604
129474,S1/2,2632,maxFz,C31p4771,31,ULS B (full envelope),-12.330519071139097,0.537183232460022,1180.904963337021,315.32161948886875,-7.120149734358074,-24.61081719691276
132527,S1/2,2632,minFz,C31p7824,31,ULS B (full envelope),50.91258745335388,-4.186031379972457,532.1428610301306,46.67208590626907,222.58581500185014,-6.985071068397519
126993,S1/2,2632,maxMxx,C31p2290,31,ULS B (full envelope),-13.952743278464078,-5.059347007541656,1171.7276359696962,322.4116393602396,11.110021360803344,-78.18580568869591
133436,S1/2,2632,minMxx,C31p8733,31,ULS B (full envelope),-22.342546482192994,10.604537690462113,568.683199482279,34.20410465932083,-172.23450111753465,102.74678642061616
127330,S1/2,2632,maxMyy,C31p2627,31,ULS B (full envelope),51.81491947083474,-3.1368803467750546,948.575881513405,171.7820683013916,228.53452489542963,-10.247929135322572
125628,S1/2,2632,minMyy,C31p925,31,ULS B (full envelope),-33.576779658639424,11.65893450811386,1074.071354677124,218.83625618643285,-207.25142569224906,90.83337453092577
128216,S1/2,2632,maxMzz,C31p3513,31,ULS B (full envelope),-23.457795268201828,11.353962293643953,1001.1958821069718,166.1874321541834,-181.60986742413522,108.92395266254425
125664,S1/2,2632,minMzz,C31p961,31,ULS B (full envelope),11.047523427298072,-8.85492619943619,1061.3201404132078,257.5414199169779,163.70309493275101,-132.48362551301958
155912,S5/6,2633,maxFx,C31p33,31,ULS B (full envelope),51.708684748533365,4.258936920166015,1026.6582625471115,-163.99278493881226,241.33750402984984,0.7692937072336681
161116,S5/6,2633,minFx,C31p5237,31,ULS B (full envelope),-61.13809318573176,0.9692856018066409,976.5168099401474,-92.85007430572506,-334.72379151916135,20.765711579090357
163677,S5/6,2633,maxFy,C31p7798,31,ULS B (full envelope),-9.54250660373211,17.17837151016617,624.1978798832398,185.2830028119583,-57.60463316374969,20.0208949648552
161095,S5/6,2633,minFy,C31p5216,31,ULS B (full envelope),-4.13358524505794,-19.198723301696777,1012.6881128728867,-122.8539957168579,-108.61950886077517,7.053550305134057
163665,S5/6,2633,maxFz,C31p7786,31,ULS B (full envelope),-12.575046633489357,4.664486835274398,1241.4907982740904,-99.56862825905206,-81.55348257254059,17.45738556282103
163703,S5/6,2633,minFz,C31p7824,31,ULS B (full envelope),49.593956452832224,4.0102492651405335,558.3347246990661,37.58500378775787,241.88878579605867,8.300874215572357
164610,S5/6,2633,maxMxx,C31p8731,31,ULS B (full envelope),13.427780510220527,-3.445196689754486,628.589618790863,206.07563899359894,119.70484921997836,120.54238499934009
158476,S5/6,2633,minMxx,C31p2597,31,ULS B (full envelope),-9.216843784787876,1.6670351626822355,1194.0246964293028,-275.8017405216253,-184.18111578512602,-44.52270671047151
163709,S5/6,2633,maxMyy,C31p7830,31,ULS B (full envelope),49.809771732983585,5.234706741947173,594.9080581951599,-19.750358321617124,242.28513201798248,7.303744437282563
155917,S5/6,2633,minMyy,C31p38,31,ULS B (full envelope),-58.97261238586604,1.3593391143798828,991.7497969709395,-108.46178831329343,-335.003464848324,14.138097997242207
161998,S5/6,2633,maxMzz,C31p6119,31,ULS B (full envelope),11.331916092315467,-12.763615758550763,1020.1848312395143,-103.85864056092973,55.326683778603154,130.49530681990626
156839,S5/6,2633,minMzz,C31p960,31,ULS B (full envelope),-18.726735717834682,6.895450948373678,1082.1136348991822,-206.9857174048782,-151.93977303017374,-118.77187926911357
13918,MC5/6,2628,maxFx,C41p3527,41,ULS C (full envelope),164.34300260979697,6.2516578003788,607.7340433232553,-65.22859943714143,883.5763974699942,12.612253642911915
16535,MC5/6,2628,minFx,C41p6144,41,ULS C (full envelope),-79.97091326300578,-6.349776632299424,452.0421575587136,60.02277874645233,-629.4322325248181,-2.5035905249881742
15591,MC5/6,2628,maxFy,C41p5200,41,ULS C (full envelope),18.261036303520203,54.86626597442626,428.2800853645325,-409.196278048706,44.127698896551145,9.625707801961898
10411,MC5/6,2628,minFy,C41p20,41,ULS C (full envelope),36.14490309723853,-34.34808944572449,525.3658553788758,266.0824379031372,94.02263639357565,-2.661338715448379
14888,MC5/6,2628,maxFz,C41p4497,41,ULS C (full envelope),92.06907527266505,11.154414347953796,765.4030714005376,-115.10643728469846,275.9543781180096,12.502037900152205
15604,MC5/6,2628,minFz,C41p5213,41,ULS C (full envelope),13.317106323862076,-33.39223129882813,411.6376752487183,284.1264515411377,37.855944049978255,-5.258245376062393
15610,MC5/6,2628,maxMxx,C41p5219,41,ULS C (full envelope),18.71446475892067,-33.6144275920868,430.0186724655152,285.2991163406372,50.59288777556419,-4.596854944086075
12990,MC5/6,2628,minMxx,C41p2599,41,ULS C (full envelope),36.26595614818572,54.67114739471435,523.7721449411013,-432.4248954510498,90.78317310050011,12.048581086263658
13918,MC5/6,2628,maxMyy,C41p3527,41,ULS C (full envelope),164.34300260979697,6.2516578003788,607.7340433232553,-65.22859943714143,883.5763974699942,12.612253642911915
16541,MC5/6,2628,minMyy,C41p6150,41,ULS C (full envelope),-70.69871347784954,-6.04867205649376,540.0334830946024,54.03896409313201,-632.512504106544,-0.5113861930179596
12997,MC5/6,2628,maxMzz,C41p2606,41,ULS C (full envelope),43.11978922003745,28.291663068923945,542.139883956299,-249.5577785031128,114.89584796336175,15.433068321905138
15603,MC5/6,2628,minMzz,C41p5212,41,ULS C (full envelope),11.860631687068938,-7.234943266296388,411.65093345031744,102.4319993927002,26.480212912702562,-7.981342179727555
48907,MC3/4,2629,maxFx,C41p7340,41,ULS C (full envelope),73.89998503735065,1.1059159331417083,718.5728208019638,-2.4816972801280026,279.45858751116754,6.368372862282992
46020,MC3/4,2629,minFx,C41p4453,41,ULS C (full envelope),-76.46118408380984,24.35188247200012,829.0755888808585,-199.52891942703246,-293.91148365906713,-7.350069585380555
44172,MC3/4,2629,maxFy,C41p2605,41,ULS C (full envelope),-14.457215727391242,63.85993986820221,623.5479074302673,-523.4407207330323,-35.39752635113716,-3.5233921878242493
49379,MC3/4,2629,minFy,C41p7812,41,ULS C (full envelope),-2.2768537866973886,-40.65602385284424,500.2022755726623,344.63269121215825,-15.659103824844362,-0.18903823044776913
44080,MC3/4,2629,maxFz,C41p2513,41,ULS C (full envelope),18.94403991972447,17.290814918279647,1029.087014468002,-171.53629276566267,133.31307647322654,1.2839301327431203
49377,MC3/4,2629,minFz,C41p7810,41,ULS C (full envelope),-2.5619051525497443,-21.419516177673344,498.57949195755003,210.32147978637698,-8.447562572708131,-3.3667898402500156
46781,MC3/4,2629,maxMxx,C41p5214,41,ULS C (full envelope),13.319604828524591,-39.73911752758027,519.0248807289124,357.0763622497559,21.372799647092823,1.6887786464214325
44172,MC3/4,2629,minMxx,C41p2605,41,ULS C (full envelope),-14.457215727391242,63.85993986820221,623.5479074302673,-523.4407207330323,-35.39752635113716,-3.5233921878242493
49111,MC3/4,2629,maxMyy,C41p7544,41,ULS C (full envelope),52.49420675299168,3.0476669455623626,941.3303459246065,-30.84309582749128,283.0228337405301,3.270664244118929
46022,MC3/4,2629,minMyy,C41p4455,41,ULS C (full envelope),-76.17613271795749,5.115374796829224,830.6983724959708,-65.21770800125121,-301.12302491120334,-4.172317975578308
48952,MC3/4,2629,maxMzz,C41p7385,41,ULS C (full envelope),61.33924850159168,0.3837261469173435,712.2752301929473,6.88779431166887,202.3307154713726,7.185148964501619
46044,MC3/4,2629,minMzz,C41p4477,41,ULS C (full envelope),-65.69501276381015,27.390463010139467,811.5028074111558,-218.16016137207032,-227.47182815125467,-9.186731881523132
76285,MC1/2,2630,maxFx,C41p3542,41,ULS C (full envelope),79.98547635855674,3.2988133343505863,459.01252960540774,-46.09450653900147,628.168761345129,4.7876752411270145
73670,MC1/2,2630,minFx,C41p927,41,ULS C (full envelope),-164.81758607195854,1.5083599008750908,620.8022457387876,2.8377647650384907,-890.5844949131109,-6.388472126609685
72750,MC1/2,2630,maxFy,C41p7,41,ULS C (full envelope),-35.52303796618461,40.69199635780334,537.8941562532807,-321.8294110491943,-91.2960218000889,-12.650373130155801
75359,MC1/2,2630,minFy,C41p2616,41,ULS C (full envelope),-21.533420535039898,-31.519587899780273,433.54127854716785,239.22250509338377,-61.73002287125587,8.758459002242981
75080,MC1/2,2630,maxFz,C41p2337,41,ULS C (full envelope),-54.29779924921988,-2.6856755085086825,781.6087600670195,50.779547082579136,-44.25406595868112,1.9878107650932666
75345,MC1/2,2630,minFz,C41p2602,41,ULS C (full envelope),-12.330430329465868,37.267201309204104,417.47262868003844,-322.54208623352054,-30.547931028604502,-11.813293749679625
