,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
1175,MC5/6,2628,maxFx,C31p1176,31,ULS B (full envelope),383.0414881891226,28.392844208604096,778.0123029160453,-232.37926131053925,2337.8926466691305,12.27741470283866
2047,MC5/6,2628,minFx,C31p2048,31,ULS B (full envelope),-261.55058066941984,-21.45424225532413,623.0976713852835,169.62941866138462,-1921.6928209937196,-3.373773880687953
1734,MC5/6,2628,maxFy,C31p1735,31,ULS B (full envelope),39.012513937951255,30.1344526974678,634.1326201560021,-246.5887052810669,97.25833959817736,17.141882482191924
2603,MC5/6,2628,minFy,C31p2604,31,ULS B (full envelope),23.877015180350124,-30.311824745738985,430.79251478610996,246.14764527529908,60.67405912262298,-11.173394750656128
1498,MC5/6,2628,maxFz,C31p1499,31,ULS B (full envelope),105.18091516080727,13.327758085279468,934.7370832362652,-138.87474448379515,338.721647509192,12.509565093275906
2603,MC5/6,2628,minFz,C31p2604,31,ULS B (full envelope),23.877015180350124,-30.311824745738985,430.79251478610996,246.14764527529908,60.67405912262298,-11.173394750656128
1737,MC5/6,2628,maxMxx,C31p1738,31,ULS B (full envelope),22.12556958219968,-28.645722548389433,575.0134650817871,255.63358953247072,53.504757464693476,-11.515103324845432
868,MC5/6,2628,minMxx,C31p869,31,ULS B (full envelope),58.72219628658406,29.27331776704788,726.2577764761926,-268.61794741973875,152.94634907083366,19.558342638441925
1175,MC5/6,2628,maxMyy,C31p1176,31,ULS B (full envelope),383.0414881891226,28.392844208604096,778.0123029160453,-232.37926131053925,2337.8926466691305,12.27741470283866
2049,MC5/6,2628,minMyy,C31p2050,31,ULS B (full envelope),-254.5516744378305,-20.754422195509672,706.6855011467887,160.8548725725174,-1930.316349190245,-1.4431633650934699
868,MC5/6,2628,maxMzz,C31p869,31,ULS B (full envelope),58.72219628658406,29.27331776704788,726.2577764761926,-268.61794741973875,152.94634907083366,19.558342638441925
1737,MC5/6,2628,minMzz,C31p1738,31,ULS B (full envelope),22.12556958219968,-28.645722548389433,575.0134650817871,255.63358953247072,53.504757464693476,-11.515103324845432
12838,MC3/4,2629,maxFx,C31p2447,31,ULS B (full envelope),75.02486289617183,1.7907229863467822,880.9960904202367,-9.223801488909714,297.8146009796572,2.799000112196207
11876,MC3/4,2629,minFx,C31p1485,31,ULS B (full envelope),-81.40003675930382,6.42350078813076,1014.0730907385256,-81.46799190826417,-340.65839281715864,-2.7749436433315293
12126,MC3/4,2629,maxFy,C31p1735,31,ULS B (full envelope),17.37308499608636,49.5707792438507,811.8821796165466,-416.196855279541,38.12727096168993,1.6995910021305085
12995,MC3/4,2629,minFy,C31p2604,31,ULS B (full envelope),-1.0667045325469968,-44.025495370273596,503.0406014732665,374.9624021560669,-7.2620879194602965,-0.1048984915046691
