,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
1,MC5/6,2628,maxFx,C23p2,23,ULS B Dead,48.82796535906046,1.829002053451538,321.3425816894531,30.90781684570312,127.30768748832196,-4.364532565891742
2,MC5/6,2628,minFx,C23p3,23,ULS B Dead,29.1081489283964,2.6002829372406007,229.26131340179444,35.90478076171875,71.59634305472821,-3.091613266575336
2,MC5/6,2628,maxFy,C23p3,23,ULS B Dead,29.1081489283964,2.6002829372406007,229.26131340179444,35.90478076171875,71.59634305472821,-3.091613266575336
3,MC5/6,2628,minFy,C23p4,23,ULS B Dead,30.867362573949574,0.9277133174591063,193.51756385323333,19.550574053375243,78.7878339745159,-3.0488829368686674
1,MC5/6,2628,maxFz,C23p2,23,ULS B Dead,48.82796535906046,1.829002053451538,321.3425816894531,30.90781684570312,127.30768748832196,-4.364532565891742
3,MC5/6,2628,minFz,C23p4,23,ULS B Dead,30.867362573949574,0.9277133174591063,193.51756385323333,19.550574053375243,78.7878339745159,-3.0488829368686674
2,MC5/6,2628,maxMxx,C23p3,23,ULS B Dead,29.1081489283964,2.6002829372406007,229.26131340179444,35.90478076171875,71.59634305472821,-3.091613266575336
3,MC5/6,2628,minMxx,C23p4,23,ULS B Dead,30.867362573949574,0.9277133174591063,193.51756385323333,19.550574053375243,78.7878339745159,-3.0488829368686674
1,MC5/6,2628,maxMyy,C23p2,23,ULS B Dead,48.82796535906046,1.829002053451538,321.3425816894531,30.90781684570312,127.30768748832196,-4.364532565891742
2,MC5/6,2628,minMyy,C23p3,23,ULS B Dead,29.1081489283964,2.6002829372406007,229.26131340179444,35.90478076171875,71.59634305472821,-3.091613266575336
3,MC5/6,2628,maxMzz,C23p4,23,ULS B Dead,30.867362573949574,0.9277133174591063,193.51756385323333,19.550574053375243,78.7878339745159,-3.0488829368686674
0,MC5/6,2628,minMzz,C23p1,23,ULS B Dead,48.19517900652139,1.6753923854827881,321.27376027679446,32.27840302734375,123.55050242972821,-4.85138001462221
2612,MC3/4,2629,maxFx,C23p3,23,ULS B Dead,17.35251650058031,5.486940863800049,379.7004172851563,43.69724742736817,38.46459210786223,-2.109693345952034
2611,MC3/4,2629,minFx,C23p2,23,ULS B Dead,-20.159066311919688,5.171439722442627,395.99825009765624,26.87583727111816,-57.37196882963777,2.1541616833448405
2612,MC3/4,2629,maxFy,C23p3,23,ULS B Dead,17.35251650058031,5.486940863800049,379.7004172851563,43.69724742736817,38.46459210786223,-2.109693345952034
2613,MC3/4,2629,minFy,C23p4,23,ULS B Dead,-1.1933073829345706,2.798372391986846,283.6196433249512,24.637353471710203,-7.642467232288358,-0.3702322278280257
2610,MC3/4,2629,maxFz,C23p1,23,ULS B Dead,-1.8002288119196892,4.919893476104736,459.40618916015626,40.39255406799317,-11.47768289213777,-0.6216867541551587
2613,MC3/4,2629,minFz,C23p4,23,ULS B Dead,-1.1933073829345706,2.798372391986846,283.6196433249512,24.637353471710203,-7.642467232288358,-0.3702322278280257
2612,MC3/4,2629,maxMxx,C23p3,23,ULS B Dead,17.35251650058031,5.486940863800049,379.7004172851563,43.69724742736817,38.46459210786223,-2.109693345952034
2613,MC3/4,2629,minMxx,C23p4,23,ULS B Dead,-1.1933073829345706,2.798372391986846,283.6196433249512,24.637353471710203,-7.642467232288358,-0.3702322278280257
2612,MC3/4,2629,maxMyy,C23p3,23,ULS B Dead,17.35251650058031,5.486940863800049,379.7004172851563,43.69724742736817,38.46459210786223,-2.109693345952034
2611,MC3/4,2629,minMyy,C23p2,23,ULS B Dead,-20.159066311919688,5.171439722442627,395.99825009765624,26.87583727111816,-57.37196882963777,2.1541616833448405
2611,MC3/4,2629,maxMzz,C23p2,23,ULS B Dead,-20.159066311919688,5.171439722442627,395.99825009765624,26.87583727111816,-57.37196882963777,2.1541616833448405
2612,MC3/4,2629,minMzz,C23p3,23,ULS B Dead,17.35251650058031,5.486940863800049,379.7004172851563,43.69724742736817,38.46459210786223,-2.109693345952034
5221,MC1/2,2630,maxFx,C23p2,23,ULS B Dead,-28.760458415848014,-0.19754644660949702,228.7368652038574,23.307531665039065,-82.19842424746157,5.474722518396377
5222,MC1/2,2630,minFx,C23p3,23,ULS B Dead,-46.8494791494906,3.4588434597015385,321.8408474121093,43.32318131103515,-133.81783968935608,7.938286812829972
5222,MC1/2,2630,maxFy,C23p3,23,ULS B Dead,-46.8494791494906,3.4588434597015385,321.8408474121093,43.32318131103515,-133.81783968935608,7.938286812829972
5221,MC1/2,2630,minFy,C23p2,23,ULS B Dead,-28.760458415848014,-0.19754644660949702,228.7368652038574,23.307531665039065,-82.19842424746157,5.474722518396377
5222,MC1/2,2630,maxFz,C23p3,23,ULS B Dead,-46.8494791494906,3.4588434597015385,321.8408474121093,43.32318131103515,-133.81783968935608,7.938286812829972
5223,MC1/2,2630,minFz,C23p4,23,ULS B Dead,-29.83696136907386,2.21268105875206,193.44598851224418,25.324519545448297,-85.21140228704452,4.689042960952758
