,Location,nodeIndex,Type,combCasePerm,combCase,set,Fx,Fy,Fz,Mxx,Myy,Mzz
1175,MC5/6,2628,maxFx,C31p1176,31,ULS B (full envelope),382.984952576792,28.675473681947,411.7904924654469,-155.1244305578041,2337.615824625336,-60.43912657792926
2047,MC5/6,2628,minFx,C31p2048,31,ULS B (full envelope),-261.5373441305808,-21.335540867460963,256.8804815157017,218.22354347539903,-1921.5682990150874,46.15107345975994
1734,MC5/6,2628,maxFy,C31p1735,31,ULS B (full envelope),38.9993144063875,30.257077867031096,267.98435678005217,-195.80783802795412,97.24351354651897,9.658528135859966
2603,MC5/6,2628,minFy,C31p2604,31,ULS B (full envelope),23.859227714155193,-30.198331648475644,173.07566228768155,278.6377767450256,60.58398714948844,-15.730960004434584
1498,MC5/6,2628,maxFz,C31p1499,31,ULS B (full envelope),105.17394583128659,13.721859954690933,568.4054960438348,-32.39914916503907,338.6868193885275,-7.4532193221783665
2603,MC5/6,2628,minFz,C31p2604,31,ULS B (full envelope),23.859227714155193,-30.198331648475644,173.07566228768155,278.6377767450256,60.58398714948844,-15.730960004434584
1738,MC5/6,2628,maxMxx,C31p1739,31,ULS B (full envelope),32.02738533329814,-28.350937196445464,247.95296372032163,299.8893547454834,79.03307368331403,-16.707288574802874
2599,MC5/6,2628,minMxx,C31p2600,31,ULS B (full envelope),30.83115678724456,28.409683415000917,193.1070553474121,-217.05941602841185,78.79442701269339,10.634856706228257
1175,MC5/6,2628,maxMyy,C31p1176,31,ULS B (full envelope),382.984952576792,28.675473681947,411.7904924654469,-155.1244305578041,2337.615824625336,-60.43912657792926
2049,MC5/6,2628,minMyy,C31p2050,31,ULS B (full envelope),-254.5372489539698,-20.570583093413113,340.4214465388953,225.01633465215684,-1930.1909937535709,46.760325678845646
2915,MC5/6,2628,maxMzz,C31p2916,31,ULS B (full envelope),-252.77803530841663,-22.24315271319461,304.6776969903341,208.66212794381332,-1922.999502833783,46.80305600855231
