,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
0,0,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p1,-3993.997192749024,125.25629283561707,-133.62093365631102,0.0,354.892911315918,427.7471594207764,21,PN10,SLS - Variable Actions (Env.)
1,1,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p1,-4007.402741333008,125.25629283561707,-133.62093365631102,0.0,288.08243114013675,365.1189945716857,21,PN10,SLS - Variable Actions (Env.)
2,2,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,-3720.1074333496094,121.72238939132691,-134.14438512420654,0.0,347.2790846313477,403.1920438629151,21,PN10,SLS - Variable Actions (Env.)
3,3,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,-3733.512981933594,121.72238939132691,-134.14438512420654,0.0,280.2068860961914,342.33083171806334,21,PN10,SLS - Variable Actions (Env.)
4,4,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p3,-3113.7989482177736,49.70618925895691,-73.7949378677368,0.0,231.4487286254883,218.1732352508545,21,PN10,SLS - Variable Actions (Env.)
5,5,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p3,-3127.2044968017576,49.70618925895691,-73.7949378677368,0.0,194.5512661987305,193.32013438186647,21,PN10,SLS - Variable Actions (Env.)
6,6,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p4,-2779.144759082032,45.32909056701661,-75.16591145477295,0.0,216.134919519043,186.8478601348877,21,PN10,SLS - Variable Actions (Env.)
7,7,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p4,-2792.550307666016,45.32909056701661,-75.16591145477295,0.0,178.55196773681644,164.18330913276674,21,PN10,SLS - Variable Actions (Env.)
8,8,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p5,-3235.960117944336,39.49493436851503,-107.73829576568605,0.0,247.969836340332,190.75076382751465,21,PN10,SLS - Variable Actions (Env.)
9,9,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p5,-3249.36566652832,39.49493436851503,-107.73829576568605,0.0,194.1006996459961,171.0032923095703,21,PN10,SLS - Variable Actions (Env.)
10,10,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p6,-3009.302859716797,36.612876276397714,-107.65311212615968,0.0,245.92702640380853,171.38338562316892,21,PN10,SLS - Variable Actions (Env.)
11,11,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p6,-3022.708408300781,36.612876276397714,-107.65311212615968,0.0,192.1004727905274,153.07694123878483,21,PN10,SLS - Variable Actions (Env.)
12,12,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p1,-2102.791227416992,6.01414363861084,-35.15425751495361,0.0,134.74863946533205,82.63957695007325,22,PN10,SLS - Quasi-permanent (Env.)
13,13,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p1,-2116.196776000977,6.01414363861084,-35.15425751495361,0.0,117.17152032470705,79.63250411987305,22,PN10,SLS - Quasi-permanent (Env.)
14,14,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p2,-1968.9188161621091,4.497640573501587,-33.43879174041748,0.0,147.03725872802735,75.1870037689209,22,PN10,SLS - Quasi-permanent (Env.)
15,15,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p2,-1982.3243647460936,4.497640573501587,-33.43879174041748,0.0,130.31786358642577,72.93818392562866,22,PN10,SLS - Quasi-permanent (Env.)
16,16,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p1,-6037.564312049561,207.9020348157692,-222.87288720359803,0.0,552.3027026470946,685.4030160649111,23,PN10,ULS - Set A/B - Variable Actions (Env.)
17,17,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p1,-6055.661802637938,207.9020348157692,-222.87288720359803,0.0,440.8662533111571,581.4519705891419,23,PN10,ULS - Set A/B - Variable Actions (Env.)
18,18,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,-5142.60674060791,199.9541860342788,-228.24686544960025,0.0,500.60513216857913,622.9902717701722,23,PN10,ULS - Set A/B - Variable Actions (Env.)
19,19,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,-5155.342011762696,199.9541860342788,-228.24686544960025,0.0,386.481689668579,523.0131515350341,23,PN10,ULS - Set A/B - Variable Actions (Env.)
20,20,107,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p3,-4439.426595457764,77.29658741617203,-120.40613652671816,0.0,336.92669422424325,321.20206329086307,23,PN10,ULS - Set A/B - Variable Actions (Env.)
