,PN,elementIndex,Type,modelName,combCasePerm,combCase,set,Fx,Unnamed: 0
1200,PN10,107,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),2538.4644470947264,1200
1,PN10,107,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-4181.863585083008,1
842,PN09,108,maxFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C21p2,21,SLS - Variable Actions (Env.),-1638.0717801757814,842
441,PN09,108,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-7324.948359375,441
890,PN07,109,maxFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C21p6,21,SLS - Variable Actions (Env.),-2796.8405960937507,890
485,PN07,109,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C21p3,21,SLS - Variable Actions (Env.),-9021.044253686525,485
1320,PN8,110,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),1790.5504000976562,1320
121,PN8,110,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-4527.123108398438,121
568,PN02,111,maxFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),1914.772189990235,568
969,PN02,111,minFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),-3978.071506494141,969
202,PN01,112,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,21,SLS - Variable Actions (Env.),-1439.39467265625,202
1401,PN01,112,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-7032.037588867189,1401
242,PN03,113,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,21,SLS - Variable Actions (Env.),-1922.41164375,242
1441,PN03,113,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-9544.603539453125,1441
1488,PN04,114,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),347.2115311645506,1488
289,PN04,114,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),-4182.258550500488,289
1528,PN06,115,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),1032.4126649414063,1528
329,PN06,115,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),-4468.353786230469,329
362,PN05,116,maxFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,21,SLS - Variable Actions (Env.),-2901.783637500001,362
1565,PN05,116,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p3,21,SLS - Variable Actions (Env.),-10860.88898144531,1565
1212,PN10,107,maxFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),668.2342257080078,1212
13,PN10,107,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-2290.6576197509767,13
852,PN09,108,maxFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-2573.3381674804687,852
453,PN09,108,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-5877.593043945312,453
892,PN07,109,maxFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-3600.8792236328127,892
