,PN,elementIndex,Type,modelName,combCasePerm,combCase,set,Fx,Unnamed: 0
2800,PN10,107,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),2712.9252908447265,2800
1,PN10,107,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-4181.863585083008,1
2442,PN09,108,maxFx,models\South Pier - Pilecap (100% Design)_-Fy+Fz.gwb,C21p2,21,SLS - Variable Actions (Env.),-1442.814467675781,2442
441,PN09,108,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-7324.948359375,441
2490,PN07,109,maxFx,models\South Pier - Pilecap (100% Design)_-Fy+Fz.gwb,C21p6,21,SLS - Variable Actions (Env.),-2587.4768460937507,2490
485,PN07,109,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C21p3,21,SLS - Variable Actions (Env.),-9021.044253686525,485
2920,PN8,110,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),1973.642806347656,2920
121,PN8,110,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-4527.123108398438,121
2168,PN02,111,maxFx,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),2112.7232212402346,2168
969,PN02,111,minFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),-3978.071506494141,969
1802,PN01,112,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,21,SLS - Variable Actions (Env.),-1239.1747664062502,1802
1401,PN01,112,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-7032.037588867189,1401
1842,PN03,113,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,21,SLS - Variable Actions (Env.),-1722.8564875,1842
1441,PN03,113,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p1,21,SLS - Variable Actions (Env.),-9544.603539453125,1441
3088,PN04,114,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),542.3410624145506,3088
289,PN04,114,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),-4182.258550500488,289
3128,PN06,115,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),1221.5438211914063,3128
329,PN06,115,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,21,SLS - Variable Actions (Env.),-4468.353786230469,329
1962,PN05,116,maxFx,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p2,21,SLS - Variable Actions (Env.),-2680.426418750001,1962
1565,PN05,116,minFx,models\South Pier - Pilecap (STQ062)_-Fy-Fz.gwb,C21p3,21,SLS - Variable Actions (Env.),-10860.88898144531,1565
2812,PN10,107,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),842.6950694580079,2812
13,PN10,107,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-2290.6576197509767,13
2452,PN09,108,maxFx,models\South Pier - Pilecap (100% Design)_-Fy+Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-2378.0808549804688,2452
453,PN09,108,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-5877.593043945312,453
2492,PN07,109,maxFx,models\South Pier - Pilecap (100% Design)_-Fy+Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-3391.5154736328127,2492
493,PN07,109,minFx,models\South Pier - Pilecap (STQ062)_+Fy-Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-7538.325821289062,493
2932,PN8,110,maxFx,models\South Pier - Pilecap (100% Design)_-Fy-Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),569.1857651367187,2932
133,PN8,110,minFx,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-2985.185720703125,133
2172,PN02,111,maxFx,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),1121.8795577392575,2172
973,PN02,111,minFx,models\South Pier - Pilecap (STQ062)_-Fy+Fz.gwb,C22p1,22,SLS - Quasi-permanent (Env.),-2962.534020385742,973
