,,Fx,Fy,Fz,Mxx,Myy,Mzz
113,Res_0,-3714.041637451172,168.4558055688143,-156.045833848238,0.0,-270.8036407432537,-267.50801389312744
113,Res_1,-3728.356498779297,168.4558055688143,-156.045833848238,0.0,-426.8495035400372,-435.9638262166977
114,Res_0,-3728.357709228516,100.84823201227191,-91.6657057449819,0.0,-426.8496926994305,-435.9641512527466
114,Res_1,-3742.6725705566405,100.84823201227191,-91.6657057449819,0.0,-518.5154215679152,-536.8123786874115
115,Res_0,-3742.674101806641,63.0385494308472,-55.78626174592995,0.0,-518.5156588039381,-536.8126468671262
115,Res_1,-3756.988965087891,63.0385494308472,-55.78626174592995,0.0,-574.3019276962265,-599.8512075233459
116,Res_0,-3756.9868825683593,-137.85995873880387,133.76338239335965,0.0,-574.3019423589691,-599.8511835803986
116,Res_1,-3771.3017458496092,-137.85995873880387,133.76338239335965,0.0,-440.53856201743974,-461.9912415246964
117,Res_0,-3771.310187744141,-178.6719234855175,171.27127257013274,0.0,-440.5384614143361,-461.9912421503068
117,Res_1,-3785.6250549316405,-178.6719234855175,171.27127257013274,0.0,-269.26718840503634,-283.3193215560913
118,Res_0,-3785.615343017578,-146.04827461767198,139.3723065721985,0.0,-269.2672288188929,-283.31930905628207
118,Res_1,-3799.9302023925784,-146.04827461767198,139.3723065721985,0.0,-129.89492027711847,-137.27103646326066
119,Res_0,-3799.931910888672,-93.46589136600495,88.89627950549107,0.0,-129.89491840219475,-137.27104554986954
119,Res_1,-3814.246770263672,-93.46589136600495,88.89627950549107,0.0,-40.998643916845296,-43.80515379095078
120,Res_0,-3814.248031494141,-47.050247038841256,44.56925513243667,0.0,-40.998647270023795,-43.80516980838777
120,Res_1,-3828.5628908691406,-47.050247038841256,44.56925513243667,0.0,3.5706092696189407,3.2450760592818244
121,Res_0,-3828.5633830566408,-15.312003607034686,14.361641740798936,0.0,3.5706008279323105,3.2450664631128294
121,Res_1,-3842.8782424316405,-15.312003607034686,14.361641740798936,0.0,17.932242672800957,18.557070360736923
122,Res_0,-3842.8818540039065,2.173248435840011,-2.2210743293165987,0.0,17.932245851695477,18.55707295576297
122,Res_1,-3857.196713378906,2.173248435840011,-2.2210743293165987,0.0,15.711171796083407,16.383824070557953
123,Res_0,-3857.191235839844,8.793229689858855,-8.454404332667563,0.0,15.711175783097701,16.383825405284764
123,Res_1,-3871.5060952148438,8.793229689858855,-8.454404332667563,0.0,7.256771351145562,7.590595594763757
135,Res_0,-1305.1605435333252,168.35514450573916,-143.7158494438083,0.0,-299.314453481672,-275.65723372650166
135,Res_1,-1319.4754048614502,168.35514450573916,-143.7158494438083,0.0,-443.0303147506693,-444.01237181091324
136,Res_0,-1319.4781243438722,100.15411003303522,-80.61961134266878,0.0,-443.0301687850931,-444.01200233459485
136,Res_1,-1333.792985671997,100.15411003303522,-80.61961134266878,0.0,-523.6497810478191,-544.1661022892
137,Res_0,-1333.7909151153565,62.05809711551662,-45.72004773044618,0.0,-523.6496812801342,-544.1661285820009
137,Res_1,-1348.1057783966064,62.05809711551662,-45.72004773044618,0.0,-569.3697521696075,-606.2242215805054
138,Res_0,-1348.108934288025,-139.96613785076144,136.3414739542002,0.0,-569.3695425782189,-606.2242446479797
138,Res_1,-1362.423797569275,-139.96613785076144,136.3414739542002,0.0,-433.0280619506826,-466.258102684021
139,Res_0,-1362.4232603302003,-180.64589721488954,170.23998744821503,0.0,-433.02802649116416,-466.25814661026004
139,Res_1,-1376.7381275177001,-180.64589721488954,170.23998744821503,0.0,-262.7880378150935,-285.6122402648926
140,Res_0,-1376.7334522247315,-147.43540304851533,137.21925628089872,0.0,-262.78807473277993,-285.61225356674197
140,Res_1,-1391.0483115997315,-147.43540304851533,137.21925628089872,0.0,-125.56881534290295,-138.17685050964357
141,Res_0,-1391.0524717559815,-94.24619326686859,86.89715467047674,0.0,-125.56882796239834,-138.17684506607057
141,Res_1,-1405.3673311309815,-94.24619326686859,86.89715467047674,0.0,-38.67166749632357,-43.93065192472934
142,Res_0,-1405.3665767364503,-47.37776992559433,43.18509512901299,0.0,-38.671665906846506,-43.93065209877491
142,Res_1,-1419.6814361114502,-47.37776992559433,43.18509512901299,0.0,4.513429072856847,3.4471169281005913
143,Res_0,-1419.6819926376343,-15.366934010148046,13.61235243867337,0.0,4.513435683667604,3.4471135847568566
143,Res_1,-1433.9968520126342,-15.366934010148046,13.61235243867337,0.0,18.125788262784415,18.814047808289533
144,Res_0,-1433.9954717559815,2.2470483306646365,-2.49670149859784,0.0,18.125797773063116,18.81404476451874
144,Res_1,-1448.3103311309815,2.2470483306646365,-2.49670149859784,0.0,15.629096325576262,16.566996758073568
145,Res_0,-1448.3106802520751,8.899552617363632,-8.456743410199856,0.0,15.629097850859122,16.56699148604274
145,Res_1,-1462.625539627075,8.899552617363632,-8.456743410199856,0.0,7.1723543860912145,7.6674389156401155
147,Res_0,-6009.766309509278,191.42599327659607,-168.15821779227258,0.0,-243.04044600221326,-197.052443183899
147,Res_1,-6024.081170837402,191.42599327659607,-168.15821779227258,0.0,-411.1986389245968,-388.47843262481695
148,Res_0,-6024.076942810058,122.74967528343201,-102.49913760340229,0.0,-411.1986487226468,-388.47860683822637
148,Res_1,-6038.391804138184,122.74967528343201,-102.49913760340229,0.0,-513.6977774448377,-511.2282720546723
149,Res_0,-6038.396677185059,83.7580062084198,-65.64762240505239,0.0,-513.6976108608228,-511.2282163562775
149,Res_1,-6052.711540466309,83.7580062084198,-65.64762240505239,0.0,-579.345245986937,-594.9862150570154
150,Res_0,-6052.708761169433,-128.48876787471772,131.2954289917941,0.0,-579.3453295650468,-594.9861970447301
150,Res_1,-6067.023624450684,-128.48876787471772,131.2954289917941,0.0,-448.04990809249773,-466.49741816997533
151,Res_0,-6067.030747497559,-176.24923135286573,172.34555357503845,0.0,-448.0499394073476,-466.49737204170236
151,Res_1,-6081.3456146850585,-176.24923135286573,172.34555357503845,0.0,-275.70440179157197,-290.2481437320709
152,Res_0,-6081.342471862793,-146.98092758488656,141.5306488900181,0.0,-275.70439217948854,-290.24813699436186
152,Res_1,-6095.657331237793,-146.98092758488656,141.5306488900181,0.0,-134.1737355766294,-143.26721169185637
153,Res_0,-6095.648278747559,-95.444124478817,90.88479372048359,0.0,-134.17375703430153,-143.26722058677674
153,Res_1,-6109.963138122559,-95.444124478817,90.88479372048359,0.0,-43.288958910882435,-47.82309805107117
154,Res_0,-6109.971218200683,-48.88608256769181,45.93937581431858,0.0,-43.28897853457924,-47.82308811998367
154,Res_1,-6124.2860775756835,-48.88608256769181,45.93937581431858,0.0,2.650398250773503,1.0629940218925484
155,Res_0,-6124.288135681152,-16.573920332551,15.099593692511306,0.0,2.6504050597995055,1.0630001652240761
155,Res_1,-6138.602995056152,-16.573920332551,15.099593692511306,0.0,17.74999931192392,17.63692081707716
156,Res_0,-6138.594444763184,1.5030260990262037,-1.9525083163846113,0.0,17.749989066183506,17.636920016348363
156,Res_1,-6152.909304138184,1.5030260990262037,-1.9525083163846113,0.0,15.797480692446188,16.13389401807636
157,Res_0,-6152.917528747559,8.555944792956113,-8.455393886424575,0.0,15.797480545103507,16.133896768793466
157,Res_1,-6167.232388122558,8.555944792956113,-8.455393886424575,0.0,7.342086284488421,7.577951929129661
159,Res_0,-710.1125956115723,159.4670320219993,-132.3461112588048,0.0,-322.233352338789,-294.9979149627688
159,Res_1,-724.4274569396973,159.4670320219993,-132.3461112588048,0.0,-454.5794871196728,-454.4649327735902
160,Res_0,-724.4323583068848,92.28505234336848,-70.69096616697325,0.0,-454.57974440574463,-454.46531330490126
160,Res_1,-738.7472196350097,92.28505234336848,-70.69096616697325,0.0,-525.2707058963758,-546.7503724327089
161,Res_0,-738.7408397521973,54.93996073055261,-36.820168557644095,0.0,-525.2703958053571,-546.7502771053315
161,Res_1,-753.0557030334472,54.93996073055261,-36.820168557644095,0.0,-562.0905820808396,-601.6902394981385
162,Res_0,-753.0619774475098,-141.50586429786685,137.83088013267468,0.0,-562.0904598493561,-601.690273109436
162,Res_1,-767.3768407287598,-141.50586429786685,137.83088013267468,0.0,-424.2595740871419,-460.1844044971466
163,Res_0,-767.3699618225098,-179.59999308514597,168.44489977312043,0.0,-424.2595960845937,-460.18441126251224
163,Res_1,-781.6848290100098,-179.59999308514597,168.44489977312043,0.0,-255.81469615268654,-280.58442109298704
164,Res_0,-781.6924491271973,-145.66922402715684,134.63578748369181,0.0,-255.81472219371742,-280.5844553718567
164,Res_1,-796.0073085021972,-145.66922402715684,134.63578748369181,0.0,-121.17893794512726,-134.91523095607758
165,Res_0,-796.0071415100098,-92.68376830005646,84.7144784102438,0.0,-121.17893403935409,-134.9152518529892
165,Res_1,-810.3220008850097,-92.68376830005646,84.7144784102438,0.0,-36.46445652174946,-42.231484144806856
166,Res_0,-810.3198358459473,-46.32842943096161,41.76450305032722,0.0,-36.4644427143335,-42.23147773694991
166,Res_1,-824.6346952209473,-46.32842943096161,41.76450305032722,0.0,5.300060326576188,4.096951766014104
167,Res_0,-824.6314813537598,-14.817591915011404,12.895442817851887,0.0,5.300062695980027,4.0969622597694455
167,Res_1,-838.9463407287598,-14.817591915011404,12.895442817851887,0.0,18.195506055355015,18.914554768383507
168,Res_0,-838.9463524475098,2.4347855179309863,-2.7203767120539974,0.0,18.195509381174983,18.91455684936047
168,Res_1,-853.2612118225098,2.4347855179309863,-2.7203767120539974,0.0,15.475132157981353,16.479771507561207
169,Res_0,-853.2635356750488,8.885004263272512,-8.41363475170729,0.0,15.475135155111508,16.479769839793445
169,Res_1,-867.5783950500488,8.885004263272512,-8.41363475170729,0.0,7.0615003117024715,7.594765484184028
171,Res_0,-3143.55440864563,147.34413440084458,-142.10352736973763,0.0,-300.84406621646696,-319.96675005865103
171,Res_1,-3157.869269973755,147.34413440084458,-142.10352736973763,0.0,-442.94759662604145,-467.3108801987172
172,Res_0,-3157.8651717071534,81.65665448522567,-79.34172747325911,0.0,-442.94764328312687,-467.3109565269948
172,Res_1,-3172.1800330352785,81.65665448522567,-79.34172747325911,0.0,-522.2893546354753,-548.9676180250049
173,Res_0,-3172.18322505188,45.38933761572838,-44.652784135818685,0.0,-522.2893610559685,-548.9676785084605
173,Res_1,-3186.49808833313,45.38933761572838,-44.652784135818685,0.0,-566.94213657379,-594.357029336214
174,Res_0,-3186.4974272003174,-143.2335534893498,136.09951708645323,0.0,-566.9420753221497,-594.3570791459084
174,Res_1,-3200.8122904815673,-143.2335534893498,136.09951708645323,0.0,-430.84254749488724,-451.1235315024853
175,Res_0,-3200.8088819122313,-177.81829515463116,169.5541721286769,0.0,-430.8426365284909,-451.1235251204968
175,Res_1,-3215.1237490997314,-177.81829515463116,169.5541721286769,0.0,-261.2884697506422,-273.30523300242425
176,Res_0,-3215.1269154815673,-143.0082130574584,136.5471588325497,0.0,-261.2884589593405,-273.30520539069175
176,Res_1,-3229.4417748565675,-143.0082130574584,136.5471588325497,0.0,-124.7412984731195,-130.2969904280901
177,Res_0,-3229.44483052063,-90.40954603540898,86.41420580768566,0.0,-124.74128760600067,-130.29699020540716
177,Res_1,-3243.75968989563,-90.40954603540898,86.41420580768566,0.0,-38.32708181768652,-39.88744166022539
178,Res_0,-3243.7538025665285,-44.836227157056335,42.90985278695814,0.0,-38.32707509708401,-39.887437601447104
178,Res_1,-3258.0686619415283,-44.836227157056335,42.90985278695814,0.0,4.582776125937655,4.9487903639227175
179,Res_0,-3258.0693393096926,-14.05720263403654,13.497348226115093,0.0,4.582781487673476,4.948790948048236
179,Res_1,-3272.3841986846924,-14.05720263403654,13.497348226115093,0.0,18.080129305861828,19.005993259964516
180,Res_0,-3272.3856352081298,2.6780957754328854,-2.512856285184605,0.0,18.080132521588293,19.005979867387566
180,Res_1,-3286.70049458313,2.6780957754328854,-2.512856285184605,0.0,15.567275929726616,16.32788477548212
181,Res_0,-3286.6992300567626,8.846151976527647,-8.427506644420301,0.0,15.567272613950031,16.32788791459799
181,Res_1,-3301.014089431763,8.846151976527647,-8.427506644420301,0.0,7.1397661137580695,7.4817357993423945
183,Res_0,-5495.214677947998,151.54237581390146,-155.87275297999383,0.0,-268.55905199432186,-300.2612929762006
183,Res_1,-5509.529539276124,151.54237581390146,-155.87275297999383,0.0,-424.43180259704405,-451.80367314910893
184,Res_0,-5509.524777557373,86.17881718432905,-91.71295430731789,0.0,-424.4319735183697,-451.80381680154807
184,Res_1,-5523.839638885498,86.17881718432905,-91.71295430731789,0.0,-516.1449070453626,-537.9826410117149
185,Res_0,-5523.84345968628,49.95013762640953,-55.945265454769356,0.0,-516.1448674106581,-537.9830437293052
185,Res_1,-5538.15832296753,49.95013762640953,-55.945265454769356,0.0,-572.0901330709443,-587.9331747045517
186,Res_0,-5538.159165252686,-139.72187052130698,133.10309176254222,0.0,-572.0901733837113,-587.9332122070789
186,Res_1,-5552.474028533936,-139.72187052130698,133.10309176254222,0.0,-438.98707526588333,-448.21133731317525
187,Res_0,-5552.476847869873,-175.66480207288268,170.59453313922836,0.0,-438.98707977485554,-448.21132434606557
187,Res_1,-5566.791715057373,-175.66480207288268,170.59453313922836,0.0,-268.3925570573801,-272.5465269432068
188,Res_0,-5566.785710662842,-141.96629575288296,138.8727723011967,0.0,-268.39256159973087,-272.54654469943046
188,Res_1,-5581.100570037842,-141.96629575288296,138.8727723011967,0.0,-129.5197877643106,-130.5802511906624
189,Res_0,-5581.105083221436,-90.08341438019278,88.60206765437107,0.0,-129.5197820522783,-130.58024914050105
189,Res_1,-5595.419942596435,-90.08341438019278,88.60206765437107,0.0,-40.91771481996771,-40.49683510804177
190,Res_0,-5595.418490447998,-44.879242351472385,44.43662293684475,0.0,-40.91771126475927,-40.49683439183236
190,Res_1,-5609.733349822998,-44.879242351472385,44.43662293684475,0.0,3.5189115617274775,4.382408058259636
191,Res_0,-5609.733435272217,-14.23504386430979,14.330723981171833,0.0,3.518907525181724,4.382402946781367
191,Res_1,-5624.048294647217,-14.23504386430979,14.330723981171833,0.0,17.849630879640518,18.61744727523625
192,Res_0,-5624.048467010498,2.493874267777428,-2.2010196677595206,0.0,17.84963020467752,18.61743681961298
192,Res_1,-5638.363326385498,2.493874267777428,-2.2010196677595206,0.0,15.648610412403897,16.12356367455423
193,Res_0,-5638.363355682373,8.71105197993666,-8.418921827860151,0.0,15.648604791536885,16.123563950791958
193,Res_1,-5652.678215057374,8.71105197993666,-8.418921827860151,0.0,7.22968320246039,7.412512335680426
195,Res_0,-108.27107498168945,159.41149399560686,-127.55822834467888,0.0,-327.0062069549543,-290.2162900468708
195,Res_1,-122.58593630981446,159.41149399560686,-127.55822834467888,0.0,-454.5644351730328,-449.62778162384046
196,Res_0,-122.59198318481445,92.60796819508073,-66.88076760077489,0.0,-454.56456499481015,-449.62782223653807
196,Res_1,-136.90684451293944,92.60796819508073,-66.88076760077489,0.0,-521.4453110485059,-542.2357935891152
197,Res_0,-136.9013752746582,55.45048632454869,-33.62502247381231,0.0,-521.4453739948256,-542.2360576653482
197,Res_1,-151.2162385559082,55.45048632454869,-33.62502247381231,0.0,-555.0703966569886,-597.6865378351212
198,Res_0,-151.22296560668946,-140.22373566842083,137.17286819267224,0.0,-555.0704428195938,-597.6866044127942
198,Res_1,-165.53782888793947,-140.22373566842083,137.17286819267224,0.0,-417.8975663070668,-457.462867497921
199,Res_0,-165.53418240356444,-178.3647444511652,166.46656282901716,0.0,-417.8976049194326,-457.46290923547747
