,element_nos,Cs,xDivL,Fx,Mres
0,86,C12,0.0,-656.2729590692138,86.01487114918919
1,86,C12,1.0,-665.8656164300537,93.22753877169346
2,87,C12,0.0,-665.864549833374,93.2275136390876
3,87,C12,1.0,-675.4572068646239,127.98784037309419
4,88,C12,0.0,-675.461170770874,127.98759771408275
5,88,C12,1.0,-685.053827802124,138.9980594775782
6,89,C12,0.0,-685.0504246380617,138.99793078142713
7,89,C12,1.0,-694.6430843060305,123.79967499306187
8,90,C12,0.0,-694.6425855169676,123.79973445668293
9,90,C12,1.0,-704.2352425482178,92.92418418117674
10,91,C12,0.0,-704.2359047991943,92.92421204714469
11,91,C12,1.0,-713.8285618304442,57.94153443473799
12,92,C12,0.0,-713.8284082659912,57.94154531944829
13,92,C12,1.0,-723.4210652972412,26.407600888833155
14,93,C12,0.0,-723.4239016741942,26.407603510706757
15,93,C12,1.0,-733.0165587054441,7.504929319753905
16,94,C12,0.0,-733.0137291253665,7.504927082211405
17,94,C12,1.0,-742.6063808831788,6.0356665035164
18,95,C12,0.0,-742.606400463257,6.0356701330308455
19,95,C12,1.0,-752.199057494507,6.276005617020371
20,96,C12,0.0,-752.1984854534912,6.276007473376829
21,96,C12,1.0,-761.7911424847412,3.7870482641950303
22,97,C12,0.0,-761.7946072210693,3.7870481168166163
23,97,C12,1.0,-771.3872642523193,1.3547512074405625
24,98,C12,0.0,-771.3849282904052,1.3547512696832988
25,98,C12,1.0,-780.9775853216554,1.3323480404601524e-07
26,100,C12,0.0,-1805.0214206713865,69.86394830487309
27,100,C12,1.0,-1814.6140780322266,90.38371800385026
28,101,C12,0.0,-1814.6182511523439,90.38365124822816
29,101,C12,1.0,-1824.2109081835938,128.0289326278442
30,102,C12,0.0,-1824.211087163086,128.028722500984
31,102,C12,1.0,-1833.8037441943359,138.49174640564738
32,103,C12,0.0,-1833.7976906054691,138.49161998154742
33,103,C12,1.0,-1843.390350273438,122.53168070194663
34,104,C12,0.0,-1843.3955495654293,122.53167335313859
35,104,C12,1.0,-1852.9882065966794,91.30432878663709
36,105,C12,0.0,-1852.9864442919925,91.30432329577476
37,105,C12,1.0,-1862.5791013232424,56.34445482692267
38,106,C12,0.0,-1862.5808061328123,56.344476407132916
39,106,C12,1.0,-1872.1734631640622,24.996088168091315
40,107,C12,0.0,-1872.173553862305,24.996092276272492
41,107,C12,1.0,-1881.7662108935547,6.398394656783296
42,108,C12,0.0,-1881.762273515625,6.398391353314713
43,108,C12,1.0,-1891.3549252734376,6.005681805074966
44,109,C12,0.0,-1891.35842546875,6.005682150441134
45,109,C12,1.0,-1900.9510825,6.253401851029381
46,110,C12,0.0,-1900.9492252734376,6.253401216158786
47,110,C12,1.0,-1910.5418823046875,3.7383363327193164
48,111,C12,0.0,-1910.5458280078124,3.738336843729176
49,111,C12,1.0,-1920.1384850390623,1.3241571187464778
50,112,C12,0.0,-1920.13344109375,1.3241570608628799
51,112,C12,1.0,-1929.7260981250001,8.346709246737976e-08
52,114,C12,0.0,-732.4970258166503,94.41730300371967
53,114,C12,1.0,-742.0896831774902,105.38732761550212
54,115,C12,0.0,-742.0899564489746,105.38728289804322
55,115,C12,1.0,-751.6826134802245,128.95874432960298
56,116,C12,0.0,-751.686083807373,128.9588278215802
57,116,C12,1.0,-761.2787408386231,132.23574139049768
58,117,C12,0.0,-761.2751918005371,132.23578944237426
59,117,C12,1.0,-770.8678514685058,114.02235437479881
60,118,C12,0.0,-770.8676141882323,114.02235684907262
61,118,C12,1.0,-780.4602712194825,83.58799823737795
62,119,C12,0.0,-780.4637208825684,83.58799723089459
63,119,C12,1.0,-790.0563779138183,50.89109521657338
64,120,C12,0.0,-790.0527523669433,50.89109147354049
65,120,C12,1.0,-799.6454093981934,22.417462044709346
66,121,C12,0.0,-799.6493637731934,22.417453058853248
67,121,C12,1.0,-809.2420208044433,6.691116591936461
68,122,C12,0.0,-809.238624227295,6.69111848228566
69,122,C12,1.0,-818.8312759851075,6.398779843775194
70,123,C12,0.0,-818.8306363513184,6.398778690552082
