Fx,Mres,Fres,elementIndex,modelName,combCase
-369.0523931302806,15.32173837992744,31.687087769981847,198,models\NAmodel_06.gwb,C18
-371.4375625146484,24.39064622348647,31.687087769981847,198,models\NAmodel_06.gwb,C18
-293.9527415384839,27.311999126206224,31.632431032091223,198,models\NAmodel_06.gwb,C19
-296.3379109228517,16.08990233783054,31.632431032091223,198,models\NAmodel_06.gwb,C19
-519.8343983402416,70.93888173922684,33.29315155562791,198,models\NAmodel_06.gwb,C20
-522.2195677246094,66.17205474592654,33.29315155562791,198,models\NAmodel_06.gwb,C20
-405.19649043008536,58.921912663640605,33.23326256017255,198,models\NAmodel_06.gwb,C21
-407.58165981445313,45.59547244315785,33.23326256017255,198,models\NAmodel_06.gwb,C21
-563.1884279886791,71.353536426385,29.329362417735876,198,models\NAmodel_06.gwb,C22
-565.5735973730469,63.856960945312665,29.329362417735876,198,models\NAmodel_06.gwb,C22
-493.8674211332104,59.533451398237695,29.305038900672553,198,models\NAmodel_06.gwb,C23
-496.2525905175782,48.23216981963172,29.305038900672553,198,models\NAmodel_06.gwb,C23
-327.4366772709057,48.30086709338484,62.66813029381313,198,models\NAmodel_06.gwb,C39
-329.8218466552735,20.565977229107226,62.66813029381313,198,models\NAmodel_06.gwb,C39
-252.33702567910893,74.21923393659353,62.61360168195268,198,models\NAmodel_06.gwb,C40
-254.72219506347668,43.86177447143806,62.61360168195268,198,models\NAmodel_06.gwb,C40
-478.2186824808667,59.858203371096835,56.500455842292865,198,models\NAmodel_06.gwb,C41
-480.60385186523445,47.19934458211547,56.500455842292865,198,models\NAmodel_06.gwb,C41
-363.58077457071045,78.03534425956562,56.419629796723314,198,models\NAmodel_06.gwb,C42
-365.9659439550782,52.268469929422025,56.419629796723314,198,models\NAmodel_06.gwb,C42
-496.3691449418042,67.86476062797479,65.1188081127432,198,models\NAmodel_06.gwb,C43
-498.7543143261719,43.22035915269875,65.1188081127432,198,models\NAmodel_06.gwb,C43
-427.04813808633537,84.08438573716802,65.06895796063091,198,models\NAmodel_06.gwb,C44
-429.43330747070314,53.70990972378203,65.06895796063091,198,models\NAmodel_06.gwb,C44
-984.9131786527415,152.56355836714368,80.49182278403097,198,models\NAmodel_06.gwb,C60
-987.2983480371092,117.15972118112369,80.49182278403097,198,models\NAmodel_06.gwb,C60
-909.8135270609447,141.0450575385261,80.4855812953196,198,models\NAmodel_06.gwb,C61
-912.1986964453125,102.72194886409116,80.4855812953196,198,models\NAmodel_06.gwb,C61
-895.4809740970776,107.9760507164857,53.32224696655163,198,models\NAmodel_06.gwb,C62
-897.8661434814454,89.8689601140189,53.32224696655163,198,models\NAmodel_06.gwb,C62
-780.8430661869213,90.56851074065952,53.29567325928797,198,models\NAmodel_06.gwb,C63
-783.2282355712891,66.19269337627813,53.29567325928797,198,models\NAmodel_06.gwb,C63
-810.231024839265,111.91900639072023,52.90423120481637,198,models\NAmodel_06.gwb,C64
-812.6161942236329,90.58983609110079,52.90423120481637,198,models\NAmodel_06.gwb,C64
-740.9100179837964,99.35082672510846,52.897226476730154,198,models\NAmodel_06.gwb,C65
-743.2951873681641,75.1309102170912,52.897226476730154,198,models\NAmodel_06.gwb,C65
-943.2974627933665,134.71788435587445,83.43678443340856,198,models\NAmodel_06.gwb,C81
-945.6826321777343,99.64098928613436,83.43678443340856,198,models\NAmodel_06.gwb,C81
-868.1978112015696,132.0276810922583,83.41056082621166,198,models\NAmodel_06.gwb,C82
-870.5829805859374,92.68570420227351,83.41056082621166,198,models\NAmodel_06.gwb,C82
-853.8652582377025,88.90302574010258,64.5610369606688,198,models\NAmodel_06.gwb,C83
-856.2504276220703,68.97260403432621,64.5610369606688,198,models\NAmodel_06.gwb,C83
-739.2273503275462,92.27469419380846,64.4992370199894,198,models\NAmodel_06.gwb,C84
-741.612519711914,62.17934796595697,64.4992370199894,198,models\NAmodel_06.gwb,C84
-743.41174179239,91.68054829295117,70.45443452068864,198,models\NAmodel_06.gwb,C85
-745.7969111767578,64.53912114754513,70.45443452068864,198,models\NAmodel_06.gwb,C85
-674.0907349369213,98.80131188219251,70.41322708203955,198,models\NAmodel_06.gwb,C86
-676.475904321289,66.1177558485129,70.41322708203955,198,models\NAmodel_06.gwb,C86
-1140.0459796097728,6.470524667139298,32.01178112704765,200,models\NAmodel_06.gwb,C18
-1142.4311489941406,21.062772809168425,32.01178112704765,200,models\NAmodel_06.gwb,C18
-728.0193904691478,23.451545988401183,31.967807732645547,200,models\NAmodel_06.gwb,C19
-730.4045598535155,10.230998844253518,31.967807732645547,200,models\NAmodel_06.gwb,C19
-1428.597505000398,74.48447152700346,35.10539235363846,200,models\NAmodel_06.gwb,C20
-1430.982674384766,68.35465316540129,35.10539235363846,200,models\NAmodel_06.gwb,C20
-799.6487517191478,62.80499402239402,34.9145749009454,200,models\NAmodel_06.gwb,C21
-802.0339211035156,48.45004103242957,34.9145749009454,200,models\NAmodel_06.gwb,C21
-1298.868026094148,73.9630226549003,30.935926104968228,200,models\NAmodel_06.gwb,C22
-1301.2531954785156,65.49394639579755,30.935926104968228,200,models\NAmodel_06.gwb,C22
-918.5457437503977,62.44407572178205,30.823702990229563,200,models\NAmodel_06.gwb,C23
-920.9309131347654,50.24072436794942,30.823702990229563,200,models\NAmodel_06.gwb,C23
-1181.6632683402415,46.24064728345621,62.831688846671184,200,models\NAmodel_06.gwb,C39
-1184.0484377246091,16.44367330685816,62.831688846671184,200,models\NAmodel_06.gwb,C39
-769.6366791996164,72.86477859958462,62.77933438427382,200,models\NAmodel_06.gwb,C40
-772.0218485839843,42.04297585388453,62.77933438427382,200,models\NAmodel_06.gwb,C40
-1470.2147937308666,63.98252725065658,57.57940423597264,200,models\NAmodel_06.gwb,C41
-1472.5999631152345,50.18407022944013,57.57940423597264,200,models\NAmodel_06.gwb,C41
-841.2660404496165,80.96455848707893,57.413254966301324,200,models\NAmodel_06.gwb,C42
-843.6512098339842,54.73923021056271,57.413254966301324,200,models\NAmodel_06.gwb,C42
-1365.6899626371167,70.54668613885065,65.84634805437325,200,models\NAmodel_06.gwb,C43
-1368.0751320214845,45.551781179730106,65.84634805437325,200,models\NAmodel_06.gwb,C43
-985.3676802933666,86.11153414816611,65.75070910668708,200,models\NAmodel_06.gwb,C44
-987.7528496777343,55.46783053526208,65.75070910668708,200,models\NAmodel_06.gwb,C44
-1767.548049975984,175.7096866672942,94.86324403572203,200,models\NAmodel_06.gwb,C60
-1769.9332193603518,132.56822866990134,94.86324403572203,200,models\NAmodel_06.gwb,C60
-1355.521460835359,165.5997097896049,94.75923461787306,200,models\NAmodel_06.gwb,C61
-1357.9066302197268,119.84455887860216,94.75923461787306,200,models\NAmodel_06.gwb,C61
-1815.5034796634839,118.38876269400686,60.202943889529514,200,models\NAmodel_06.gwb,C62
-1817.8886490478517,96.28356362747319,60.202943889529514,200,models\NAmodel_06.gwb,C62
-1186.5547263822339,102.4389232671745,60.02783013334952,200,models\NAmodel_06.gwb,C63
-1188.9398957666017,74.43269535043609,60.02783013334952,200,models\NAmodel_06.gwb,C63
-1551.893430132234,122.91639779708484,60.19440000559507,200,models\NAmodel_06.gwb,C64
-1554.2785995166018,97.64872288640642,60.19440000559507,200,models\NAmodel_06.gwb,C64
-1171.5711477884836,111.40847285887384,60.097227810290846,200,models\NAmodel_06.gwb,C65
-1173.9563171728514,83.37197212293107,60.097227810290846,200,models\NAmodel_06.gwb,C65
-1809.1653387064528,160.42962831226242,97.36303477576209,200,models\NAmodel_06.gwb,C81
-1811.5505080908204,117.34966394176197,97.36303477576209,200,models\NAmodel_06.gwb,C81
-1397.1387495658278,157.95571124048908,97.24235249742053,200,models\NAmodel_06.gwb,C82
