,element_nos,Cs,xDivL,Fx,Mres
0,29,C11,0.0,-1722.0088682021146,630.0123693816192
1,29,C11,1.0,-1739.3824592461112,977.0943815785332
2,30,C11,0.0,-1739.3987851886652,977.094177119393
3,30,C11,1.0,-1774.1459684894464,1640.2412361492827
4,31,C11,0.0,-1774.1518259790707,1640.2413222952507
5,31,C11,1.0,-1808.8990066431334,1645.2451964484476
6,32,C11,0.0,-1808.8837806157921,1645.2453340097252
7,32,C11,1.0,-1843.6309612798548,1336.097189569085
8,33,C11,0.0,-1843.648459846258,1336.0971652663445
9,33,C11,1.0,-1878.3956457837578,939.2722215645397
10,34,C11,0.0,-1878.383889937582,939.2720772385327
11,34,C11,1.0,-1913.1310758750822,578.6424458251621
12,35,C11,0.0,-1913.128783837042,578.6424365182057
13,35,C11,1.0,-1947.8759697745418,306.1308648953729
14,36,C11,0.0,-1947.8931980884456,306.13087536849713
15,36,C11,1.0,-1982.6403840259454,129.88437909230493
16,37,C11,0.0,-1982.622462903509,129.88435899125074
17,37,C11,1.0,-2017.369648841009,35.51853254417406
18,38,C11,0.0,-2017.376055705633,35.518477836187486
19,38,C11,1.0,-2052.123241643133,1.4284204555134759e-05
20,40,C11,0.0,-1670.7907715021902,550.1827259689562
21,40,C11,1.0,-1688.1643625461868,1017.970359394109
22,41,C11,0.0,-1688.1898799007513,1017.9692820907665
23,41,C11,1.0,-1722.9370632015323,1853.1646047695126
24,42,C11,0.0,-1722.9235675643254,1853.165010031943
25,42,C11,1.0,-1757.670748228388,1891.659038170253
26,43,C11,0.0,-1757.6815746730902,1891.659254142806
27,43,C11,1.0,-1792.4287553371528,1549.9526973868506
28,44,C11,0.0,-1792.434737312675,1549.9525191781079
29,44,C11,1.0,-1827.181923250175,1096.363118211376
30,45,C11,0.0,-1827.1592274046425,1096.3631084892625
31,45,C11,1.0,-1861.9064133421423,678.7195415901227
32,46,C11,0.0,-1861.9267563112735,678.7194867972001
33,46,C11,1.0,-1896.6739422487735,360.40938032571154
34,47,C11,0.0,-1896.6644948268988,360.40938199253003
35,47,C11,1.0,-1931.4116807643989,153.14154385660194
36,48,C11,0.0,-1931.4124121828559,153.14160394113543
37,48,C11,1.0,-1966.1595981203561,41.69974699721987
38,49,C11,0.0,-1966.1597637001896,41.6997565201885
39,49,C11,1.0,-2000.9069496376896,4.1030874991181566e-05
40,51,C11,0.0,-1511.9989006037522,434.04386432766154
41,51,C11,1.0,-1529.3724916477488,1000.3079574127161
42,52,C11,0.0,-1529.3972818612003,1000.3066380605361
43,52,C11,1.0,-1564.1444651619813,2018.9593634384291
44,53,C11,0.0,-1564.1301338179876,2018.959642448823
45,53,C11,1.0,-1598.87731448205,2112.0213424176854
46,54,C11,0.0,-1598.889937596674,2112.0215716321486
47,54,C11,1.0,-1633.6371182607363,1753.4943286891823
48,55,C11,0.0,-1633.642103228202,1753.4941865865633
49,55,C11,1.0,-1668.389289165702,1252.6863459449216
50,56,C11,0.0,-1668.3676282969761,1252.68628819197
51,56,C11,1.0,-1703.1148142344762,782.577691321655
52,57,C11,0.0,-1703.1335219985294,782.577646418547
53,57,C11,1.0,-1737.8807079360295,419.5526150606266
54,58,C11,0.0,-1737.872623928461,419.5526198595624
55,58,C11,1.0,-1772.619809865961,180.24398649638815
56,59,C11,0.0,-1772.6200202138616,180.2440515583943
57,59,C11,1.0,-1807.3672061513616,49.73219691928468
58,60,C11,0.0,-1807.3663629457951,49.73219754666648
59,60,C11,1.0,-1842.1135488832952,4.215333770493946e-05
60,62,C11,0.0,-1279.0358402327538,315.82447122691764
61,62,C11,1.0,-1296.4094312767504,910.9893419546702
62,63,C11,0.0,-1296.4180553052427,910.9891038353168
63,63,C11,1.0,-1331.1652386060239,2115.1161229666914
64,64,C11,0.0,-1331.1754253143981,2115.115703672498
65,64,C11,1.0,-1365.9226059784605,2282.9055466803643
66,65,C11,0.0,-1365.9049475945524,2282.905761930512
