Fx,Mres,Fres,elementIndex,modelName,combCase
-8542.314776767449,1187.4983258351165,404.9098558635834,314,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-8559.688367089846,1188.9786362014308,404.9098558635834,314,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-5866.141985319282,657.9448266686771,361.7783335514854,314,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-5878.367845175782,598.9278628959978,361.7783335514854,314,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-8307.456892993036,1234.5813928795667,394.30912519984815,314,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-8324.83048331543,1340.4946104709632,394.30912519984815,314,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-5336.859326037054,573.1256150172271,351.6554592164371,314,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-5349.085185893556,641.9122996316347,351.6554592164371,314,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-8188.663056220574,1332.6025879377673,447.51504173123675,314,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-8206.036646542969,1455.1556663718586,447.51504173123675,314,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-5880.652409928655,822.337500478011,415.2537519516581,314,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-5892.878269785157,920.9563480345046,415.2537519516581,314,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-3103.885171035027,1163.0204536843305,203.80912527675025,316,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-3121.2587613574224,1102.2845819774204,188.425313184609,316,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-2746.9368561347096,588.9024354142434,217.2297343191515,316,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-2759.1627159912105,503.0242595758631,197.75500428985566,316,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-1417.7702831639326,1277.7238931410595,42.96920083041115,316,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-1435.1438734863284,1285.2966859770015,60.645778268897466,316,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-1039.195736456976,605.7176435392589,51.876902825596645,316,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-1051.4215963134764,599.0725756163642,47.2612126190239,316,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-564.535273730339,1345.0177547916444,65.48416055832806,316,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-581.9088640527348,1379.0915117906673,102.69682619380127,316,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-232.2980843768979,832.3985501299388,51.33290162059987,316,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-244.5239442333982,855.8452251590916,84.5631593237278,316,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-8598.709360005974,1162.6847054439907,383.3191697529698,318,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-8616.08295032837,1208.7068888131698,383.3191697529698,318,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-5419.520481067572,533.303799028564,372.33106254942004,318,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-5431.746340924073,501.2782994293303,372.33106254942004,318,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-9204.586380937979,1397.3076601626608,347.03969544542105,318,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-9221.959971260376,1520.3634740025866,347.03969544542105,318,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-5671.085759221259,571.3987735192103,344.5350397468568,318,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-5683.31161907776,678.5060723154382,344.5350397468568,318,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-9195.50541590441,1516.2621793255812,400.4731907844171,318,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-9212.879006226805,1657.2495962623707,400.4731907844171,318,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-6459.393216248236,884.0339778308422,398.60580935899713,318,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-6471.619076104737,1015.5503224797017,398.60580935899713,318,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-2684.1542997069014,1469.5998152090272,464.95264557805336,320,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-2701.527890029298,1260.8656528328313,387.79470463597573,320,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-2083.541970929632,728.1559714080715,458.49908461719355,320,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-2095.7678307861324,518.4546630017064,381.89615785506373,320,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-1663.852981894401,1764.841005824864,383.4809553065915,320,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-1681.2265722167963,1593.8326928313438,299.61024228068584,320,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-1012.0259616425226,918.2627195046081,374.5416848326087,320,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-1024.2518214990234,751.7056310281333,290.8181337186974,320,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-844.2556115233072,1855.6979633595954,331.6825017667869,320,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-861.6292018457025,1710.5991389664505,247.96906722061576,320,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-305.03589083197596,1210.34099977783,324.91802556264605,320,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-317.26175068847675,1068.6184293587191,241.3662589236398,320,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-8205.276807079948,986.659902314172,374.39316683154107,322,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-8222.650397402345,1098.1689950119571,374.39316683154107,322,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-4666.0054206122495,317.96091103750547,394.90079388912824,322,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-4678.231280468751,311.24388029663726,394.90079388912824,322,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-9680.798589750846,1400.317955956069,329.44367440536,322,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-9698.172180073241,1551.080778356474,329.44367440536,322,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-5744.552182384711,472.4672249792183,356.7205082784264,322,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-5756.7780422412125,626.242713093633,356.7205082784264,322,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-9802.143423486197,1519.6275959241996,385.5468664151125,322,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-9819.517013808594,1691.8737714951778,385.5468664151125,322,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-6759.22242654975,814.9472158070625,406.27397389311676,322,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-6771.44828640625,988.7517079199635,406.27397389311676,322,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-2213.096935268425,1394.3466528112374,423.8255041222536,324,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-2230.47052559082,1207.4146972467452,347.531098214858,324,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-1404.0580987128346,578.6596300483317,403.322249444847,324,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-1416.2839585693353,396.73274339581496,328.1606380567772,324,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-1840.125989636101,1823.372870524586,376.78391600052686,324,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-1857.4995799584963,1655.7120774469363,293.05187628749536,324,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-954.8722989203544,894.8735160677279,351.499430942342,324,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-967.0981587768551,739.822288427545,267.93743759173066,324,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-1092.4860491356126,1924.8947942528255,324.0447982215423,324,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-1109.859639458008,1783.6176436710196,240.98456182868955,324,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-375.97184672064776,1217.6559650183044,304.94034096124966,324,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-388.1977065771483,1085.8314957468237,222.15895516835357,324,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-6116.843477050651,1020.062865700132,211.76060963925352,326,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-6134.217067373047,1116.184244220234,211.76060963925352,326,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-2994.108063004828,234.1728417403835,237.24433761970622,326,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-3006.3339228613286,339.9918488504054,237.24433761970622,326,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-7989.391420507683,1529.790017185335,180.24796258069586,326,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-8006.765010830079,1619.8268473631429,180.24796258069586,326,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-4518.937124469671,649.2553784015556,206.58705396075425,326,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-4531.162984326172,752.0620976008354,206.58705396075425,326,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-8052.015585956902,1652.765544137345,214.34658350688665,326,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-8069.389176279298,1759.2271991113835,214.34658350688665,326,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-5363.430051598579,982.4317097044116,234.56463204576067,326,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-5375.655911455079,1098.0150536886608,234.56463204576067,326,models\SP model_15_+Fy_-Fz_LB.gwb,C14
-721.5470229545823,1029.2967187221766,427.6346596214147,328,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-738.9206132769775,875.0145517813684,364.6620074693939,328,models\SP model_15_+Fy_-Fz_LB.gwb,C09
-146.3508719751638,387.85084836462727,428.54227659895446,328,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-158.57673183166457,189.86332538817234,365.80090453374066,328,models\SP model_15_+Fy_-Fz_LB.gwb,C10
-745.3172704872359,1446.7981722065388,335.78422591962135,328,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-762.6908608096312,1325.8092103908273,263.3848465437086,328,models\SP model_15_+Fy_-Fz_LB.gwb,C11
-121.75011757910683,637.4615666987199,336.4521908398636,328,models\SP model_15_+Fy_-Fz_LB.gwb,C12
-133.97597743560758,506.8060571240246,264.3572798682814,328,models\SP model_15_+Fy_-Fz_LB.gwb,C12
8.867050365729956,1501.933370646298,298.85123424953315,328,models\SP model_15_+Fy_-Fz_LB.gwb,C13
-8.506539956665366,1409.6035480574126,238.26780796492193,328,models\SP model_15_+Fy_-Fz_LB.gwb,C13
526.6644200121409,889.9361530328497,299.6022367422981,328,models\SP model_15_+Fy_-Fz_LB.gwb,C14
