Fx,Mres,Fres,elementIndex,modelName,combCase
-3983.7143559570313,31.99517966756278,216.92059333622237,113,models\NP model_04g 20 v spring.gwb,C01
-3987.293071777344,80.71472508233695,216.92059333622237,113,models\NP model_04g 20 v spring.gwb,C01
-3969.399421386719,31.995179667562873,216.92059333622237,113,models\NP model_04g 20 v spring.gwb,C02
-3969.399421386719,80.71472508233707,216.92059333622237,113,models\NP model_04g 20 v spring.gwb,C02
-3642.7876996093746,141.10341531722113,194.43939528449474,113,models\NP model_04g 20 v spring.gwb,C03
-3646.366415429687,182.93132442216626,194.43939528449474,113,models\NP model_04g 20 v spring.gwb,C03
-3283.6488130859375,91.90703938516569,192.53952391311122,113,models\NP model_04g 20 v spring.gwb,C04
-3287.22752890625,133.58546795095864,192.53952391311122,113,models\NP model_04g 20 v spring.gwb,C04
-2881.6111734375,133.4686262987562,145.95835081692718,113,models\NP model_04g 20 v spring.gwb,C05
-2885.1898892578124,168.43168578803915,145.95835081692718,113,models\NP model_04g 20 v spring.gwb,C05
-2393.662227734375,74.09124692268624,144.58189178172816,113,models\NP model_04g 20 v spring.gwb,C06
-2397.2409435546874,108.93175472682462,144.58189178172816,113,models\NP model_04g 20 v spring.gwb,C06
-2172.308579296875,119.30018546197722,174.25138875721214,113,models\NP model_04g 20 v spring.gwb,C07
-2175.8872951171875,161.58516718611392,174.25138875721214,113,models\NP model_04g 20 v spring.gwb,C07
-1898.5213130859374,83.55025878232969,173.39509741201437,113,models\NP model_04g 20 v spring.gwb,C08
-1902.10002890625,125.22480539852376,173.39509741201437,113,models\NP model_04g 20 v spring.gwb,C08
-1486.929873046875,62.74187848675808,113.66713869761962,113,models\NP model_04g 20 v spring.gwb,C09
-1490.5085888671874,84.28411812126087,113.66713869761962,113,models\NP model_04g 20 v spring.gwb,C09
-1498.8857138671876,61.69573767390736,113.52689300933467,113,models\NP model_04g 20 v spring.gwb,C10
-1502.4644296875001,83.0279890829439,113.52689300933467,113,models\NP model_04g 20 v spring.gwb,C10
-4880.717904628907,165.0742296125455,295.3248070693664,113,models\NP model_04g 20 v spring.gwb,C11
-4885.549170986328,220.48940073426454,295.3248070693664,113,models\NP model_04g 20 v spring.gwb,C11
-3872.385020556642,78.40890516082558,293.13511796277635,113,models\NP model_04g 20 v spring.gwb,C12
-3875.7848005859387,138.6779789608071,293.13511796277635,113,models\NP model_04g 20 v spring.gwb,C12
-3398.183680898437,139.6139453610433,209.85117755095422,113,models\NP model_04g 20 v spring.gwb,C13
-3403.014947255859,185.05407073786623,209.85117755095422,113,models\NP model_04g 20 v spring.gwb,C13
-2280.6723800585933,44.84173203863623,209.86145391414186,113,models\NP model_04g 20 v spring.gwb,C14
-2284.07216008789,92.0961031921616,209.86145391414186,113,models\NP model_04g 20 v spring.gwb,C14
-2442.5097530273433,129.8857937060784,253.95512631001068,113,models\NP model_04g 20 v spring.gwb,C15
-2447.3410193847653,186.65679897745463,253.95512631001068,113,models\NP model_04g 20 v spring.gwb,C15
-1598.4266970019532,56.64999834729931,254.42239295151364,113,models\NP model_04g 20 v spring.gwb,C16
-1601.82647703125,112.79042587192664,254.42239295151364,113,models\NP model_04g 20 v spring.gwb,C16
-5742.532311914062,101.9326385310983,136.13597479757397,113,models\NP model_04g 20 v spring.gwb,C20
-5746.111027734375,107.48924923459467,136.13597479757397,113,models\NP model_04g 20 v spring.gwb,C20
-4949.767675390625,77.14673819272788,137.57136257440402,113,models\NP model_04g 20 v spring.gwb,C21
-4953.346391210938,79.49526332594826,137.57136257440402,113,models\NP model_04g 20 v spring.gwb,C21
-5097.800910742188,129.69604366517663,70.13227105582301,113,models\NP model_04g 20 v spring.gwb,C22
-5101.379626562501,131.86712109054997,70.13227105582301,113,models\NP model_04g 20 v spring.gwb,C22
-4095.4772150390622,101.250986626801,71.53364360417368,113,models\NP model_04g 20 v spring.gwb,C23
-4099.055930859375,100.45292830073555,71.53364360417368,113,models\NP model_04g 20 v spring.gwb,C23
-4801.869210351562,140.62756614970306,75.72851189509642,113,models\NP model_04g 20 v spring.gwb,C24
-4805.447926171874,147.97628738356434,75.72851189509642,113,models\NP model_04g 20 v spring.gwb,C24
-4217.574819140625,125.08694652806426,75.17292567105727,113,models\NP model_04g 20 v spring.gwb,C25
-4221.153534960937,130.19208789227673,75.17292567105727,113,models\NP model_04g 20 v spring.gwb,C25
-3148.552615234375,140.0765751225041,37.84766730789256,113,models\NP model_04g 20 v spring.gwb,C26
-3152.1313310546875,135.0789486221605,37.84766730789256,113,models\NP model_04g 20 v spring.gwb,C26
-3144.3786435546876,138.85254820712777,37.93666291825231,113,models\NP model_04g 20 v spring.gwb,C27
-3147.957359375,133.80550170054926,37.93666291825231,113,models\NP model_04g 20 v spring.gwb,C27
-7635.993799365234,127.44180828726451,218.46985696658675,113,models\NP model_04g 20 v spring.gwb,C28
-7640.825065722655,124.55865660139052,218.46985696658675,113,models\NP model_04g 20 v spring.gwb,C28
-5822.714415292968,81.48660787671848,219.86293358679708,113,models\NP model_04g 20 v spring.gwb,C29
-5826.114195322265,77.45271944001951,219.86293358679708,113,models\NP model_04g 20 v spring.gwb,C29
-6280.812700634766,174.4676428448659,106.46145907193501,113,models\NP model_04g 20 v spring.gwb,C30
-6285.643966992187,172.6039085258905,106.46145907193501,113,models\NP model_04g 20 v spring.gwb,C30
-4286.104649794921,124.5783489677471,107.04793005352094,113,models\NP model_04g 20 v spring.gwb,C31
-4289.504429824218,118.61551999175778,107.04793005352094,113,models\NP model_04g 20 v spring.gwb,C31
-6008.4977580761715,196.61154454286992,119.33857023725986,113,models\NP model_04g 20 v spring.gwb,C32
-6013.329024433593,204.13194819900752,119.33857023725986,113,models\NP model_04g 20 v spring.gwb,C32
-4461.997952050781,156.41612697420774,115.29070798747648,113,models\NP model_04g 20 v spring.gwb,C33
-4465.397732080078,159.9602297388172,115.29070798747648,113,models\NP model_04g 20 v spring.gwb,C33
802.7593828125,115.38791282719,115.72966869268924,113,models\NP model_04g 20 v spring.gwb,C34
799.1806669921875,134.72473530084096,115.72966869268924,113,models\NP model_04g 20 v spring.gwb,C34
834.5180818359376,99.81621575548522,117.71071066784471,113,models\NP model_04g 20 v spring.gwb,C35
830.9393660156251,112.4079040182049,117.71071066784471,113,models\NP model_04g 20 v spring.gwb,C35
-241.216013671875,128.06225952067211,111.59162082200876,113,models\NP model_04g 20 v spring.gwb,C36
-244.7947294921875,139.3468333204194,111.59162082200876,113,models\NP model_04g 20 v spring.gwb,C36
-141.64047421875014,98.04553257755819,112.5447094239267,113,models\NP model_04g 20 v spring.gwb,C37
-145.21919003906265,102.15802095664608,112.5447094239267,113,models\NP model_04g 20 v spring.gwb,C37
-15.994893750000047,107.9459709435791,147.3065897887394,113,models\NP model_04g 20 v spring.gwb,C38
-19.57360957031255,128.87161677571095,147.3065897887394,113,models\NP model_04g 20 v spring.gwb,C38
-16.883940039062523,84.8395756596484,147.72301189916112,113,models\NP model_04g 20 v spring.gwb,C39
-20.462655859375023,102.08745034550707,147.72301189916112,113,models\NP model_04g 20 v spring.gwb,C39
-1195.134873046875,71.31985314049786,113.07705638359312,113,models\NP model_04g 20 v spring.gwb,C40
-1198.7135888671876,84.89580602296891,113.07705638359312,113,models\NP model_04g 20 v spring.gwb,C40
-1211.9548701171875,70.44305064000146,112.94656700455523,113,models\NP model_04g 20 v spring.gwb,C41
-1215.5335859375,83.79807755708121,112.94656700455523,113,models\NP model_04g 20 v spring.gwb,C41
1181.7768957031258,113.68803008666232,180.0982292258973,113,models\NP model_04g 20 v spring.gwb,C42
1176.945629345704,147.40201077027754,180.0982292258973,113,models\NP model_04g 20 v spring.gwb,C42
2065.33783446289,125.17993409935491,186.9924730345735,113,models\NP model_04g 20 v spring.gwb,C43
2061.938054433593,134.95441350490614,186.9924730345735,113,models\NP model_04g 20 v spring.gwb,C43
-664.4041556835936,125.15821240074352,159.4882307969013,113,models\NP model_04g 20 v spring.gwb,C44
-669.2354220410155,148.96677351517155,159.4882307969013,113,models\NP model_04g 20 v spring.gwb,C44
317.1648717187498,98.35136585828018,163.9155409382725,113,models\NP model_04g 20 v spring.gwb,C45
313.76509168945296,96.72921086102642,163.9155409382725,113,models\NP model_04g 20 v spring.gwb,C45
-236.19784925781283,105.57569823994469,214.71303456978356,113,models\NP model_04g 20 v spring.gwb,C46
-241.0291156152347,146.4821448562372,214.71303456978356,113,models\NP model_04g 20 v spring.gwb,C46
499.689495830078,69.08672828130463,217.83684410348044,113,models\NP model_04g 20 v spring.gwb,C47
496.2897158007811,87.89658656991811,217.83684410348044,113,models\NP model_04g 20 v spring.gwb,C47
-1296.9852294921875,256.75247567639246,61.28434421285011,113,models\NP model_04g 20 v spring.gwb,C48
