Fx,Mres,Fres,elementIndex,modelName,combCase
-3983.7143559570313,31.99517966756278,216.92059333622237,113,models\NP model_04g 20 v spring.gwb,C01
-3987.293071777344,80.71472508233695,216.92059333622237,113,models\NP model_04g 20 v spring.gwb,C01
-3969.399421386719,31.995179667562873,216.92059333622237,113,models\NP model_04g 20 v spring.gwb,C02
-3969.399421386719,80.71472508233707,216.92059333622237,113,models\NP model_04g 20 v spring.gwb,C02
-3642.7876996093746,141.10341531722113,194.43939528449474,113,models\NP model_04g 20 v spring.gwb,C03
-3646.366415429687,182.93132442216626,194.43939528449474,113,models\NP model_04g 20 v spring.gwb,C03
-3283.6488130859375,91.90703938516569,192.53952391311122,113,models\NP model_04g 20 v spring.gwb,C04
-3287.22752890625,133.58546795095864,192.53952391311122,113,models\NP model_04g 20 v spring.gwb,C04
-2881.6111734375,133.4686262987562,145.95835081692718,113,models\NP model_04g 20 v spring.gwb,C05
-2885.1898892578124,168.43168578803915,145.95835081692718,113,models\NP model_04g 20 v spring.gwb,C05
-2393.662227734375,74.09124692268624,144.58189178172816,113,models\NP model_04g 20 v spring.gwb,C06
-2397.2409435546874,108.93175472682462,144.58189178172816,113,models\NP model_04g 20 v spring.gwb,C06
-2172.308579296875,119.30018546197722,174.25138875721214,113,models\NP model_04g 20 v spring.gwb,C07
-2175.8872951171875,161.58516718611392,174.25138875721214,113,models\NP model_04g 20 v spring.gwb,C07
-1898.5213130859374,83.55025878232969,173.39509741201437,113,models\NP model_04g 20 v spring.gwb,C08
-1902.10002890625,125.22480539852376,173.39509741201437,113,models\NP model_04g 20 v spring.gwb,C08
-1486.929873046875,62.74187848675808,113.66713869761962,113,models\NP model_04g 20 v spring.gwb,C09
-1490.5085888671874,84.28411812126087,113.66713869761962,113,models\NP model_04g 20 v spring.gwb,C09
-1498.8857138671876,61.69573767390736,113.52689300933467,113,models\NP model_04g 20 v spring.gwb,C10
-1502.4644296875001,83.0279890829439,113.52689300933467,113,models\NP model_04g 20 v spring.gwb,C10
-5742.532311914062,101.9326385310983,136.13597479757397,113,models\NP model_04g 20 v spring.gwb,C20
-5746.111027734375,107.48924923459467,136.13597479757397,113,models\NP model_04g 20 v spring.gwb,C20
-4949.767675390625,77.14673819272788,137.57136257440402,113,models\NP model_04g 20 v spring.gwb,C21
-4953.346391210938,79.49526332594826,137.57136257440402,113,models\NP model_04g 20 v spring.gwb,C21
-5097.800910742188,129.69604366517663,70.13227105582301,113,models\NP model_04g 20 v spring.gwb,C22
-5101.379626562501,131.86712109054997,70.13227105582301,113,models\NP model_04g 20 v spring.gwb,C22
-4095.4772150390622,101.250986626801,71.53364360417368,113,models\NP model_04g 20 v spring.gwb,C23
-4099.055930859375,100.45292830073555,71.53364360417368,113,models\NP model_04g 20 v spring.gwb,C23
-4801.869210351562,140.62756614970306,75.72851189509642,113,models\NP model_04g 20 v spring.gwb,C24
-4805.447926171874,147.97628738356434,75.72851189509642,113,models\NP model_04g 20 v spring.gwb,C24
-4217.574819140625,125.08694652806426,75.17292567105727,113,models\NP model_04g 20 v spring.gwb,C25
-4221.153534960937,130.19208789227673,75.17292567105727,113,models\NP model_04g 20 v spring.gwb,C25
-3148.552615234375,140.0765751225041,37.84766730789256,113,models\NP model_04g 20 v spring.gwb,C26
-3152.1313310546875,135.0789486221605,37.84766730789256,113,models\NP model_04g 20 v spring.gwb,C26
-3144.3786435546876,138.85254820712777,37.93666291825231,113,models\NP model_04g 20 v spring.gwb,C27
-3147.957359375,133.80550170054926,37.93666291825231,113,models\NP model_04g 20 v spring.gwb,C27
802.7593828125,115.38791282719,115.72966869268924,113,models\NP model_04g 20 v spring.gwb,C34
799.1806669921875,134.72473530084096,115.72966869268924,113,models\NP model_04g 20 v spring.gwb,C34
834.5180818359376,99.81621575548522,117.71071066784471,113,models\NP model_04g 20 v spring.gwb,C35
830.9393660156251,112.4079040182049,117.71071066784471,113,models\NP model_04g 20 v spring.gwb,C35
-241.216013671875,128.06225952067211,111.59162082200876,113,models\NP model_04g 20 v spring.gwb,C36
-244.7947294921875,139.3468333204194,111.59162082200876,113,models\NP model_04g 20 v spring.gwb,C36
-141.64047421875014,98.04553257755819,112.5447094239267,113,models\NP model_04g 20 v spring.gwb,C37
-145.21919003906265,102.15802095664608,112.5447094239267,113,models\NP model_04g 20 v spring.gwb,C37
-15.994893750000047,107.9459709435791,147.3065897887394,113,models\NP model_04g 20 v spring.gwb,C38
-19.57360957031255,128.87161677571095,147.3065897887394,113,models\NP model_04g 20 v spring.gwb,C38
-16.883940039062523,84.8395756596484,147.72301189916112,113,models\NP model_04g 20 v spring.gwb,C39
-20.462655859375023,102.08745034550707,147.72301189916112,113,models\NP model_04g 20 v spring.gwb,C39
-1195.134873046875,71.31985314049786,113.07705638359312,113,models\NP model_04g 20 v spring.gwb,C40
-1198.7135888671876,84.89580602296891,113.07705638359312,113,models\NP model_04g 20 v spring.gwb,C40
-1211.9548701171875,70.44305064000146,112.94656700455523,113,models\NP model_04g 20 v spring.gwb,C41
-1215.5335859375,83.79807755708121,112.94656700455523,113,models\NP model_04g 20 v spring.gwb,C41
-831.6007804687498,218.43611309897557,59.35508458737794,113,models\NP model_04g 20 v spring.gwb,C49
-835.1794962890623,228.8718725551724,59.35508458737794,113,models\NP model_04g 20 v spring.gwb,C49
-2457.4057509765626,245.84186220517813,11.822465024664607,113,models\NP model_04g 20 v spring.gwb,C50
-2460.984466796875,247.31359342535092,11.822465024664607,113,models\NP model_04g 20 v spring.gwb,C50
-1843.4554615234379,201.29780931349805,7.137975669948616,113,models\NP model_04g 20 v spring.gwb,C51
-1847.0341773437503,201.21944136688808,7.137975669948616,113,models\NP model_04g 20 v spring.gwb,C51
-2645.555524804688,234.6227039250383,42.3607683790367,113,models\NP model_04g 20 v spring.gwb,C52
-2649.1342406250005,242.58247636275075,42.3607683790367,113,models\NP model_04g 20 v spring.gwb,C52
-2335.93744609375,205.67605941472146,38.696224122476,113,models\NP model_04g 20 v spring.gwb,C53
-2339.5161619140626,212.70605815586964,38.696224122476,113,models\NP model_04g 20 v spring.gwb,C53
-2856.757615234375,158.17664245494285,37.890881521744106,113,models\NP model_04g 20 v spring.gwb,C54
-2860.3363310546874,152.24796808487267,37.890881521744106,113,models\NP model_04g 20 v spring.gwb,C54
-2857.4477998046877,156.7244617133789,37.97840564068707,113,models\NP model_04g 20 v spring.gwb,C55
-2861.0265156250002,150.75546025152755,37.97840564068707,113,models\NP model_04g 20 v spring.gwb,C55
-1031.33210345459,60.884098761979466,202.78993147565708,135,models\NP model_04g 20 v spring.gwb,C01
-1034.9108192749025,108.94915793332882,202.78993147565708,135,models\NP model_04g 20 v spring.gwb,C01
-1017.0171688842773,60.88409876197959,202.78993147565708,135,models\NP model_04g 20 v spring.gwb,C02
-1017.0171688842773,108.94915793332893,202.78993147565708,135,models\NP model_04g 20 v spring.gwb,C02
8.102658032226376,152.70381641985614,183.14402453234234,135,models\NP model_04g 20 v spring.gwb,C03
4.523942211913877,197.00004767130844,183.14402453234234,135,models\NP model_04g 20 v spring.gwb,C03
-136.6915536865238,104.79682356032363,182.08728092006336,135,models\NP model_04g 20 v spring.gwb,C04
-140.2702695068363,148.9471120702421,182.08728092006336,135,models\NP model_04g 20 v spring.gwb,C04
198.69719478759777,140.20854063325345,141.18944295804985,135,models\NP model_04g 20 v spring.gwb,C05
195.11847896728526,175.4765027783294,141.18944295804985,135,models\NP model_04g 20 v spring.gwb,C05
80.07392095947255,82.06943259358815,140.05464702827655,135,models\NP model_04g 20 v spring.gwb,C06
76.49520513916003,116.96343654331078,140.05464702827655,135,models\NP model_04g 20 v spring.gwb,C06
1003.227403540039,113.5434181726321,177.6608809864268,135,models\NP model_04g 20 v spring.gwb,C07
999.6486877197265,156.49203465419106,177.6608809864268,135,models\NP model_04g 20 v spring.gwb,C07
901.3619433837889,78.21170882467337,176.3905871446138,135,models\NP model_04g 20 v spring.gwb,C08
897.7832275634764,120.53643276334677,176.3905871446138,135,models\NP model_04g 20 v spring.gwb,C08
213.539462890625,47.830990377484284,113.85061709491185,135,models\NP model_04g 20 v spring.gwb,C09
209.9607470703125,74.9549141301086,113.85061709491185,135,models\NP model_04g 20 v spring.gwb,C09
188.69134375000002,47.21078363483041,113.48964039401696,135,models\NP model_04g 20 v spring.gwb,C10
185.1126279296875,74.12224654260203,113.48964039401696,135,models\NP model_04g 20 v spring.gwb,C10
-5232.571322436524,53.837769265631835,168.1464942572285,135,models\NP model_04g 20 v spring.gwb,C20
-5236.1500382568365,14.16902353325989,168.1464942572285,135,models\NP model_04g 20 v spring.gwb,C20
-4301.623034155274,53.08612273063172,159.67244949766283,135,models\NP model_04g 20 v spring.gwb,C21
