Fx,Mres,Fres,elementIndex,modelName,combCase
-6290.7355515625,793.4806104167287,285.7561487957063,103,models\SP model_15_+Fy_-Fz_LB.gwb,C01
-6316.474205859376,911.125072390623,285.7561487957063,103,models\SP model_15_+Fy_-Fz_LB.gwb,C01
-5399.075832812499,566.5306114969098,276.6884834984783,103,models\SP model_15_+Fy_-Fz_LB.gwb,C02
-5424.814487109375,666.948016508964,276.6884834984783,103,models\SP model_15_+Fy_-Fz_LB.gwb,C02
-6272.834148828125,898.583696138818,289.2236398315514,103,models\SP model_15_+Fy_-Fz_LB.gwb,C03
-6298.572803125,1100.4685895903422,289.2236398315514,103,models\SP model_15_+Fy_-Fz_LB.gwb,C03
-5098.568312890625,589.696280159046,281.10145236417515,103,models\SP model_15_+Fy_-Fz_LB.gwb,C04
-5124.3069671875,784.1367524267714,281.10145236417515,103,models\SP model_15_+Fy_-Fz_LB.gwb,C04
-6117.7743953125,958.8000722434468,317.24513271529906,103,models\SP model_15_+Fy_-Fz_LB.gwb,C05
-6143.513049609375,1181.032894781876,317.24513271529906,103,models\SP model_15_+Fy_-Fz_LB.gwb,C05
-5439.946778515625,773.2023112336875,312.5083432957983,103,models\SP model_15_+Fy_-Fz_LB.gwb,C06
-5465.6854328125,990.7690557471449,312.5083432957983,103,models\SP model_15_+Fy_-Fz_LB.gwb,C06
-6316.488297656249,911.124955208167,241.97156105127524,104,models\SP model_15_+Fy_-Fz_LB.gwb,C01
-6342.226949999999,1047.8576435674413,241.97156105127524,104,models\SP model_15_+Fy_-Fz_LB.gwb,C01
-5424.826638281249,666.9477490851016,236.8769353543405,104,models\SP model_15_+Fy_-Fz_LB.gwb,C02
-5450.565290624999,810.4577668194325,236.8769353543405,104,models\SP model_15_+Fy_-Fz_LB.gwb,C02
-6298.583277734375,1100.4683695683284,236.40555699035352,104,models\SP model_15_+Fy_-Fz_LB.gwb,C03
-6324.321930078125,1280.1473872111537,236.40555699035352,104,models\SP model_15_+Fy_-Fz_LB.gwb,C03
-5124.322419921875,784.1362692081711,234.49503495826144,104,models\SP model_15_+Fy_-Fz_LB.gwb,C04
-5150.061072265625,972.7857543573411,234.49503495826144,104,models\SP model_15_+Fy_-Fz_LB.gwb,C04
-6143.524821093751,1181.0332939465507,259.66282378907425,104,models\SP model_15_+Fy_-Fz_LB.gwb,C05
-6169.263473437501,1379.80760447579,259.66282378907425,104,models\SP model_15_+Fy_-Fz_LB.gwb,C05
-5465.702379296876,990.7687460473493,258.6761931976456,104,models\SP model_15_+Fy_-Fz_LB.gwb,C06
-5491.441031640626,1194.4529810999807,258.6761931976456,104,models\SP model_15_+Fy_-Fz_LB.gwb,C06
-6342.211464843749,1047.8579822780957,210.10129216156938,105,models\SP model_15_+Fy_-Fz_LB.gwb,C01
-6367.950117187499,1183.0851438877737,210.10129216156938,105,models\SP model_15_+Fy_-Fz_LB.gwb,C01
-5450.556102343749,810.457964205349,207.2856359543885,105,models\SP model_15_+Fy_-Fz_LB.gwb,C02
-5476.294754687499,959.721741072108,207.2856359543885,105,models\SP model_15_+Fy_-Fz_LB.gwb,C02
