Fx,Mres,Fres,elementIndex,modelName,combCase
-6927.570514667968,867.0945506762464,313.4435716103831,103,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-6953.309168964844,938.0789946521835,313.4435716103831,103,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-5808.741022402343,592.5048752722184,300.2260497768206,103,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-5834.4796766992185,636.8411714109556,300.2260497768206,103,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-6730.723929062502,988.361067669412,302.68244363150785,103,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-6756.462583359376,1183.304901654021,302.68244363150785,103,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-5359.9006312109395,631.203850206621,291.9845970650765,103,models\SP model_15_+Fy_-Fz_LB.gwb,C18
-5385.639285507814,817.4546796127396,291.9845970650765,103,models\SP model_15_+Fy_-Fz_LB.gwb,C18
-6619.8260392773445,1082.6448626851195,339.2281180199469,103,models\SP model_15_+Fy_-Fz_LB.gwb,C19
-6645.564693574219,1303.9106401742372,339.2281180199469,103,models\SP model_15_+Fy_-Fz_LB.gwb,C19
-5813.917239511719,865.1567288838684,332.9395765907016,103,models\SP model_15_+Fy_-Fz_LB.gwb,C20
-5839.655893808594,1081.3769540240414,332.9395765907016,103,models\SP model_15_+Fy_-Fz_LB.gwb,C20
-6953.323495664062,938.07842218747,269.76218404089025,104,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-6979.0621480078125,1053.7277110733114,269.76218404089025,104,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-5834.496680898438,636.8408210656756,260.5979264013746,104,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-5860.235333242188,762.9131487660228,260.5979264013746,104,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-6756.482377871093,1183.3043674809708,248.3167723743045,104,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-6782.221030214843,1359.7824981819738,248.3167723743045,104,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-5385.657732832032,817.4544857449825,244.40641037743046,104,models\SP model_15_+Fy_-Fz_LB.gwb,C18
-5411.396385175782,1004.8671800271727,244.40641037743046,104,models\SP model_15_+Fy_-Fz_LB.gwb,C18
-6645.578114804687,1303.9103937836287,278.3848128729985,104,models\SP model_15_+Fy_-Fz_LB.gwb,C19
-6671.316767148437,1504.5179894714645,278.3848128729985,104,models\SP model_15_+Fy_-Fz_LB.gwb,C19
-5839.674394414063,1081.3766054125456,276.2279010131299,104,models\SP model_15_+Fy_-Fz_LB.gwb,C20
-5865.4130467578125,1288.1028472317216,276.2279010131299,104,models\SP model_15_+Fy_-Fz_LB.gwb,C20
-6979.050049882812,1053.727904187205,237.7713314099197,105,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-7004.788702226562,1184.3329466230132,237.7713314099197,105,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-5860.224096054687,762.9137529693957,230.8472584714356,105,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-5885.962748398438,915.2863456045244,230.8472584714356,105,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-6782.196858027344,1359.7829013474354,209.2496392729532,105,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-6807.935510371094,1513.258228044015,209.2496392729532,105,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-5411.382681425783,1004.8672612547482,209.3104865416685,105,models\SP model_15_+Fy_-Fz_LB.gwb,C18
-5437.121333769533,1176.1604482500234,209.3104865416685,105,models\SP model_15_+Fy_-Fz_LB.gwb,C18
-6671.297892460938,1504.5180161305893,234.56856241365332,105,models\SP model_15_+Fy_-Fz_LB.gwb,C19
-6697.036544804688,1679.1372677192635,234.56856241365332,105,models\SP model_15_+Fy_-Fz_LB.gwb,C19
-5865.397229570313,1288.103407730109,234.80379404778284,105,models\SP model_15_+Fy_-Fz_LB.gwb,C20
-5891.135881914063,1473.2009736582947,234.80379404778284,105,models\SP model_15_+Fy_-Fz_LB.gwb,C20
-7004.797763486327,1184.3327030376258,215.66879486638075,106,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-7030.536419736329,1319.513625071836,215.66879486638075,106,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-5885.970959970704,915.2857812639535,209.81680166368642,106,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-5911.7096162207035,1073.2273047645897,209.81680166368642,106,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-6807.950178364258,1513.2580804563147,183.00598028235055,106,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-6833.688834614259,1648.97804695932,183.00598028235055,106,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-5437.127319262696,1176.1602205683994,185.04171884618313,106,models\SP model_15_+Fy_-Fz_LB.gwb,C18
-5462.8659755126955,1332.323130515274,185.04171884618313,106,models\SP model_15_+Fy_-Fz_LB.gwb,C18
-6697.054328876953,1679.1370791366464,205.0674059544918,106,models\SP model_15_+Fy_-Fz_LB.gwb,C19
-6722.792985126953,1833.6194860069452,205.0674059544918,106,models\SP model_15_+Fy_-Fz_LB.gwb,C19
-5891.146260361328,1473.2005190880602,206.4560612752873,106,models\SP model_15_+Fy_-Fz_LB.gwb,C20
-5916.884916611328,1639.9779963444093,206.4560612752873,106,models\SP model_15_+Fy_-Fz_LB.gwb,C20
-7030.525375351564,1319.5140353206211,201.53080588240016,107,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-7056.264031601564,1457.6768881162157,201.53080588240016,107,models\SP model_15_+Fy_-Fz_LB.gwb,C15
-5911.700489960938,1073.2273857845216,196.12630785674247,107,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-5937.439146210938,1231.9589032902593,196.12630785674247,107,models\SP model_15_+Fy_-Fz_LB.gwb,C16
-6833.674651152343,1648.9781730434138,166.85841731751532,107,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-6859.413307402344,1774.2577798304496,166.85841731751532,107,models\SP model_15_+Fy_-Fz_LB.gwb,C17
-5462.859681113281,1332.3232325747001,169.68891999493113,107,models\SP model_15_+Fy_-Fz_LB.gwb,C18
-5488.598337363282,1478.571737029266,169.68891999493113,107,models\SP model_15_+Fy_-Fz_LB.gwb,C18
