,element_nos,Cs,xDivL,Fx,Mres
19,38,C11,1.0,-2052.123241643133,1.4284204555134759e-05
39,49,C11,1.0,-2000.9069496376896,4.1030874991181566e-05
59,60,C11,1.0,-1842.1135488832952,4.215333770493946e-05
79,71,C11,1.0,-1609.1468407937098,1.4020133984892067e-05
99,38,C12,1.0,-1092.0900063794613,1.2989304271358965e-05
119,49,C12,1.0,-980.3233126455016,3.953016491490375e-05
139,60,C12,1.0,-821.5299118911068,4.059662129060087e-05
159,71,C12,1.0,-649.1136055300382,1.2746847466034771e-05
179,38,C13,1.0,-2330.267528547697,4.160314518658677e-06
199,49,C13,1.0,-2289.654246745729,3.636637610426078e-05
219,60,C13,1.0,-2111.296052918825,3.714390169814893e-05
239,71,C13,1.0,-1847.0747100160834,9.499512969944103e-06
259,38,C14,1.0,-891.1113402469157,3.934304801002642e-06
279,49,C14,1.0,-751.1385133277602,3.462198826820461e-05
299,60,C14,1.0,-572.7803195008562,3.537412435673864e-05
300,62,C14,0.0,-175.62457478807443,490.6393352369974
301,62,C14,1.0,-187.85043515236856,1149.3156343428354
302,63,C14,0.0,-187.84784264800052,1149.3154604050421
319,71,C14,1.0,-407.91852171530246,7.470190303813624e-06
339,38,C15,1.0,-1974.0016428813458,1.8747726911919284e-05
359,49,C15,1.0,-1989.0845715331743,4.707252610308186e-05
379,60,C15,1.0,-1899.853768797579,4.768084008264558e-05
399,71,C15,1.0,-1729.6496639957284,2.213160862088457e-05
419,38,C16,1.0,-971.5369500493146,1.8073809959696943e-05
439,49,C16,1.0,-922.6329923339553,4.538164653957408e-05
459,60,C16,1.0,-833.4021895983598,4.5979845849345536e-05
465,64,C16,1.0,-556.0291248640727,2478.949017680073
466,65,C16,0.0,-556.0161327060174,2478.9492292684185
479,71,C16,1.0,-727.1849711636975,2.140890191047798e-05
499,38,C25,1.0,-2052.284940661688,1.7467977448780356e-05
519,49,C25,1.0,-2001.297425931635,4.115840860395322e-05
539,60,C25,1.0,-1841.72307258935,4.2017124085414755e-05
559,71,C25,1.0,-1608.985141775155,1.1548873808419661e-05
579,38,C26,1.0,-1092.2517053980162,1.6313007987888272e-05
599,49,C26,1.0,-980.7137889394468,3.965494576527279e-05
619,60,C26,1.0,-821.1394355971617,4.046259516857143e-05
639,71,C26,1.0,-648.9519065114833,1.0148595066807899e-05
659,38,C27,1.0,-2330.67427746295,8.088126473597563e-06
679,49,C27,1.0,-2290.6364779157734,3.6744041176524646e-05
699,60,C27,1.0,-2110.3138217487813,3.675308318316559e-05
719,71,C27,1.0,-1846.6679611008308,8.409225735442019e-06
739,38,C28,1.0,-891.5180891621685,7.183559877419209e-06
759,49,C28,1.0,-752.1207444978043,3.499601900788376e-05
779,60,C28,1.0,-571.7980883308122,3.498600206342636e-05
780,62,C28,0.0,-175.2178258728218,642.5376296690598
781,62,C28,1.0,-187.44368623711594,1183.9758490225406
782,63,C28,0.0,-187.4410937327479,1183.97593257205
799,71,C28,1.0,-407.5117728000497,6.947148241699496e-06
