,element_nos,Cs,xDivL,Fx,Mres
23,97,C12,1.0,-771.3872642523193,1.3547512074405625
24,98,C12,0.0,-771.3849282904052,1.3547512696832988
49,111,C12,1.0,-1920.1384850390623,1.3241571187464778
50,112,C12,0.0,-1920.13344109375,1.3241570608628799
75,125,C12,1.0,-847.6090583825683,1.202688562219056
76,126,C12,0.0,-847.6087540612792,1.2026884715932007
101,139,C12,1.0,-2007.3830083300788,1.167485487446079
102,140,C12,0.0,-2007.3834216113282,1.167485304941574
127,153,C12,1.0,-923.2439715075685,1.0656119812487592
128,154,C12,0.0,-923.2442945300293,1.0656122229037468
153,167,C12,1.0,-2086.068519189453,1.0226083107403277
154,168,C12,0.0,-2086.0683320800786,1.0226078769883236
179,181,C12,1.0,-998.3159680804442,0.9467128272920288
180,182,C12,0.0,-998.3134383685303,0.9467126431136313
205,195,C12,1.0,-2155.0442884765625,0.8970769023563653
206,196,C12,0.0,-2155.041300625,0.897076836754514
241,94,C13,1.0,-422.60472185790996,2.050977616635297
242,95,C13,0.0,-422.6048433959959,2.050979424452641
247,97,C13,1.0,-442.8578934545896,1.125906659142753
248,98,C13,0.0,-442.85635933349585,1.1259066428014344
267,108,C13,1.0,-912.3028231249997,1.9451252335375202
268,109,C13,0.0,-912.3053733203122,1.9451242115768999
273,111,C13,1.0,-932.5583610156247,1.0870568241415057
274,112,C13,0.0,-932.554517070312,1.0870568435393477
299,125,C13,1.0,-518.9689837939453,0.9891246654055351
300,126,C13,0.0,-518.968452565918,0.9891246719627269
325,139,C13,1.0,-1013.578980546875,0.9447499825196214
326,140,C13,0.0,-1013.5789151171873,0.9447498329850792
351,153,C13,1.0,-594.6038969189451,0.8584622001939758
352,154,C13,0.0,-594.6039930346678,0.8584624961575829
375,166,C13,1.0,-1085.5159606249995,2.089914378522642
376,167,C13,0.0,-1085.514103125,2.0899142852310177
377,167,C13,1.0,-1092.2644914062498,0.8058714639543434
378,168,C13,0.0,-1092.2638255859372,0.8058710268603264
401,180,C13,1.0,-663.0344674438475,1.9027384881094225
402,181,C13,0.0,-663.0362090014651,1.9027393864618283
403,181,C13,1.0,-669.786597282715,0.7387885023956225
404,182,C13,0.0,-669.7848694116211,0.7387881963209264
427,194,C13,1.0,-1160.7106695312505,1.7976870784101655
428,195,C13,0.0,-1160.7137761718755,1.797686088529071
429,195,C13,1.0,-1167.4641644531255,0.6764019644019637
430,196,C13,0.0,-1167.4623766015627,0.6764019302343256
471,97,C14,1.0,-885.9112220697021,1.4211521963975826
472,98,C14,0.0,-885.9084470452881,1.4211521715168092
497,111,C14,1.0,-2223.5208591015626,1.4133769754658967
498,112,C14,0.0,-2223.517627617188,1.4133768741490338
523,125,C14,1.0,-899.5222535583497,1.3694174159389492
524,126,C14,0.0,-899.5222072253418,1.3694174044176726
549,139,C14,1.0,-2251.2317629589847,1.3601076599340403
550,140,C14,0.0,-2251.2331864160165,1.360107426189196
575,153,C14,1.0,-912.6008412145997,1.3312559661433938
576,154,C14,0.0,-912.6012026940917,1.3312561846960436
601,167,C14,1.0,-2268.766954794923,1.3150373172784702
602,168,C14,0.0,-2268.7677825097667,1.3150367903522973
627,181,C14,1.0,-925.114589647827,1.3090791875462229
628,182,C14,0.0,-925.1124989984129,1.3090789557952958
653,195,C14,1.0,-2274.719442382813,1.2902811181204388
654,196,C14,0.0,-2274.7170389453127,1.2902809233827892
695,97,C15,1.0,-530.7805947387694,1.1517759357998996
696,98,C15,0.0,-530.778652404785,1.151775910102496
721,111,C15,1.0,-963.5989325781251,1.1369813163139182
722,112,C15,0.0,-963.59602296875,1.1369813738950458
747,125,C15,1.0,-544.3147310009764,1.1180639703770605
748,126,C15,0.0,-544.3142862963867,1.118064049581891
773,139,C15,1.0,-982.8395824414058,1.1033404330460843
774,140,C15,0.0,-982.8395146874997,1.1033402561099985
799,153,C15,1.0,-557.3933186572265,1.0847896820754002
800,154,C15,0.0,-557.3932817651366,1.084789895640847
825,167,C15,1.0,-1000.3747742773438,1.0681849580230895
826,168,C15,0.0,-1000.3741107812498,1.0681844489528753
851,181,C15,1.0,-569.9839623168946,1.0546623841823894
852,182,C15,0.0,-569.9827043579099,1.0546621329697718
877,195,C15,1.0,-1014.7975158593757,1.0364232672254265
878,196,C15,0.0,-1014.7954342968753,1.036423152769417
919,97,C16,1.0,-988.931929003296,1.2366443336411743
920,98,C16,0.0,-988.9295039788818,1.2366443754654346
945,111,C16,1.0,-1993.3297583984374,1.2216850168958582
946,112,C16,0.0,-1993.3250762890625,1.2216850136523194
971,125,C16,1.0,-961.413932093506,1.1928471374104854
972,126,C16,0.0,-961.4135179772949,1.1928471231229223
997,139,C16,1.0,-1975.4443004980467,1.1760518466448087
998,140,C16,0.0,-1975.4448083300779,1.1760515845117863
1023,153,C16,1.0,-933.1782356091312,1.1588571798609872
1024,154,C16,0.0,-933.1783558679199,1.1588573241375237
1049,167,C16,1.0,-1949.2508766308597,1.1356812796
1050,168,C16,0.0,-1949.250788720703,1.135680698596862
1075,181,C16,1.0,-904.0478148626709,1.1357591191143057
1076,182,C16,0.0,-904.0455679632568,1.1357589361164713
1101,195,C16,1.0,-1913.8938451171878,1.110295626478078
1102,196,C16,0.0,-1913.8904846484377,1.1102954779557648
1137,94,C17,1.0,-644.1251298706054,1.9026330987361462
1138,95,C17,0.0,-644.1257302856445,1.902634864199836
1143,97,C17,1.0,-664.3787749536133,1.0671660126870903
1144,98,C17,0.0,-664.3771517700194,1.0671659976289212
1163,108,C17,1.0,-1026.202459296875,1.8797961289160465
1164,109,C17,0.0,-1026.2054682031248,1.8797957170989354
1169,111,C17,1.0,-1046.4581831249998,1.0458988046130746
1170,112,C17,0.0,-1046.4543291406246,1.045898899161237
1189,122,C17,1.0,-616.4940241430663,1.9944324636972075
1190,123,C17,0.0,-616.4933215673827,1.9944318207823137
1195,125,C17,1.0,-636.7450660986327,1.0364878569568776
1196,126,C17,0.0,-636.7443549780274,1.0364879386946935
1215,136,C17,1.0,-1002.434151064453,1.972130160894008
1216,137,C17,0.0,-1002.4325823144528,1.9721306154243816
1221,139,C17,1.0,-1022.6843585742182,1.0146209587786528
1222,140,C17,0.0,-1022.684387695312,1.014620725263838
1241,150,C17,1.0,-588.2582432836914,2.0683434456228356
1242,151,C17,0.0,-588.2564078955078,2.0683446081247525
1247,153,C17,1.0,-608.5093696142578,1.0071843038619392
1248,154,C17,0.0,-608.5091928686523,1.007184458699666
1267,164,C17,1.0,-976.2389996386718,2.039214185945115
1268,165,C17,0.0,-976.2391176074219,2.0392098371960348
1273,167,C17,1.0,-996.4909347070312,0.9829750034078517
1274,168,C17,0.0,-996.4903680859371,0.982974424083385
1299,181,C17,1.0,-579.4946608129883,0.9808147863713914
1300,182,C17,0.0,-579.4932157543943,0.9808145358803145
1319,192,C17,1.0,-946.7677335156249,2.0877199168067513
1320,193,C17,0.0,-946.7696890625001,2.0877230719280933
1325,195,C17,1.0,-967.0222698437505,0.9551696801580981
1326,196,C17,0.0,-967.0197375,0.9551695588386335
1471,153,C33,1.0,-626.0601022692872,2.0579410324878045
1472,154,C33,0.0,-626.060999276123,2.0579417210783144
1497,167,C33,1.0,-2340.937047138672,2.0125460053762123
1498,168,C33,0.0,-2340.9363399707026,2.0125456120669125
1523,181,C33,1.0,-659.6485571624756,1.9387327639685592
1524,182,C33,0.0,-659.6457368255614,1.9387324263265486
1549,195,C33,1.0,-2366.958376601563,1.8891264240102423
1550,196,C33,0.0,-2366.9560041406253,1.8891261360398977
1617,111,C34,1.0,-1271.3117991406248,2.0771208473301046
1618,112,C34,0.0,-1271.3080080859372,2.077120651502147
1643,125,C34,1.0,-264.01438955566397,1.9803801219571469
1644,126,C34,0.0,-264.01418856201155,1.9803804185987042
1669,139,C34,1.0,-1310.6765397460936,1.9362137141544558
1670,140,C34,0.0,-1310.6762042578123,1.9362137165435733
1695,153,C34,1.0,-297.42002768066385,1.8471006473510023
1696,154,C34,0.0,-297.4206977807615,1.847101372245218
1721,167,C34,1.0,-1347.1330193554684,1.7977834637778256
1722,168,C34,0.0,-1347.1318334765622,1.7977830818815632
1747,181,C34,1.0,-331.11918636474604,1.7211699834696323
1748,182,C34,0.0,-331.1171678686522,1.7211695641359936
1773,195,C34,1.0,-1379.3782525781253,1.6672895425544898
1774,196,C34,0.0,-1379.3770801171875,1.6672893016822663
2065,111,C36,1.0,-1302.352370703125,2.1058926627207595
2066,112,C36,0.0,-1302.3495139843749,2.105892513653346
2091,125,C36,1.0,-289.3601367626951,2.07889090380302
2092,126,C36,0.0,-289.3600222924802,2.078891197442919
2117,139,C36,1.0,-1279.9371416406245,2.0672608462203845
2118,140,C36,0.0,-1279.9368038281245,2.067260822741312
2143,153,C36,1.0,-260.20944941894516,2.041338598250453
2144,154,C36,0.0,-260.2099865112303,2.0413392198341356
2169,167,C36,1.0,-1255.2433022265625,2.0272827442653543
2170,168,C36,0.0,-1255.242118671875,2.027282299217815
2195,181,C36,1.0,-231.31655139892572,2.0071840093422413
2196,182,C36,0.0,-231.3150028149413,2.0071836350498318
2221,195,C36,1.0,-1226.7116039843754,1.9915891906646497
2222,196,C36,0.0,-1226.7101378125,1.9915889115018104
3383,97,C57,1.0,-864.7902608325193,1.9158379161271912
3384,98,C57,0.0,-864.789002873535,1.9158379392111813
3409,111,C57,1.0,-1464.7677507031256,1.9361875016165053
3410,112,C57,0.0,-1464.7638332031252,1.936187506192183
3435,125,C57,1.0,-603.6834110595702,1.944033503152766
3436,126,C57,0.0,-603.6825515112301,1.9440336640578526
3461,139,C57,1.0,-1201.9134752734378,1.9627828017559859
3462,140,C57,0.0,-1201.9134055273435,1.962782627657208
3487,153,C57,1.0,-342.675651870117,1.9723135070283093
3488,154,C57,0.0,-342.6757755249021,1.972313737860703
3513,167,C57,1.0,-936.4505134667967,1.9891427338043708
