,Fx,Mres,Fres,elementIndex,modelName,combCase
0,122.33855248832703,8.625025231813169,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C9
1,115.18112280082703,6.761229844669811,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C9
2,122.33855248832703,8.625025231813169,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C10
3,115.18112280082703,6.761229844669811,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C10
4,122.33855248832703,8.625025231813169,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C26
5,115.18112280082703,6.761229844669811,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C26
6,122.33855248832703,8.625025231813169,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C27
7,115.18112280082703,6.761229844669811,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C27
8,122.33855248832703,8.625025231813169,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C40
9,115.18112280082703,6.761229844669811,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C40
10,122.33855248832703,8.625025231813169,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C41
11,115.18112280082703,6.761229844669811,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C41
12,122.33855248832703,8.625025231813169,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C54
13,115.18112280082703,6.761229844669811,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C54
14,122.33855248832703,8.625025231813169,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C55
15,115.18112280082703,6.761229844669811,3.7283725494010604,113,models\NP model_04d_deflection.gwb,C55
16,115.18109934425354,6.761229098662953,3.4825774332602015,114,models\NP model_04d_deflection.gwb,C9
18,115.18109934425354,6.761229098662953,3.4825774332602015,114,models\NP model_04d_deflection.gwb,C10
20,115.18109934425354,6.761229098662953,3.4825774332602015,114,models\NP model_04d_deflection.gwb,C26
22,115.18109934425354,6.761229098662953,3.4825774332602015,114,models\NP model_04d_deflection.gwb,C27
24,115.18109934425354,6.761229098662953,3.4825774332602015,114,models\NP model_04d_deflection.gwb,C40
26,115.18109934425354,6.761229098662953,3.4825774332602015,114,models\NP model_04d_deflection.gwb,C41
28,115.18109934425354,6.761229098662953,3.4825774332602015,114,models\NP model_04d_deflection.gwb,C54
30,115.18109934425354,6.761229098662953,3.4825774332602015,114,models\NP model_04d_deflection.gwb,C55
