,Fx,Mres,Fres,elementIndex,modelName,combCase
970,-723.202607083559,1428.4544652261186,542.5074931322721,56,models\SA model_04.gwb,C16
971,-747.6543305210589,885.9573829921104,542.5074931322721,56,models\SA model_04.gwb,C16
982,-722.8214065873431,1404.1571864374403,534.3626366914517,56,models\SA model_04.gwb,C30
983,-747.273130024843,869.8047851119537,534.3626366914517,56,models\SA model_04.gwb,C30
1018,-776.4690459605121,1428.9406344572067,542.8193856297943,56,models\SA model_04.gwb,C72
1019,-800.920769398012,886.1516469634969,542.8193856297943,56,models\SA model_04.gwb,C72
1030,-776.0878454642962,1404.6648887024783,534.6774846980552,56,models\SA model_04.gwb,C86
1031,-800.5395689017961,870.0196343592938,534.6774846980552,56,models\SA model_04.gwb,C86
1440,-1624.6088226678369,1445.7066104854166,533.3548458515265,67,models\SA model_04.gwb,C11
1441,-1659.3560086053371,912.351961611909,533.3548458515265,67,models\SA model_04.gwb,C11
1442,-761.7183165447905,1473.8411219047834,548.7408623076263,67,models\SA model_04.gwb,C12
1443,-786.1700399822904,925.1558097752104,548.7408623076263,67,models\SA model_04.gwb,C12
1444,-1690.6476518106367,1433.8990879966598,533.50170284268,67,models\SA model_04.gwb,C13
1445,-1725.394837748137,900.455363359502,533.50170284268,67,models\SA model_04.gwb,C13
1446,-449.4168452383711,1460.5937513457093,548.9630749753478,67,models\SA model_04.gwb,C14
1447,-473.868568675871,911.6410433019533,548.9630749753478,67,models\SA model_04.gwb,C14
1448,-1586.126183552122,1446.3554592703795,541.5996085545386,67,models\SA model_04.gwb,C15
1449,-1620.873369489622,904.8034154787993,541.5996085545386,67,models\SA model_04.gwb,C15
1450,-676.9848055736068,1474.410414667473,557.0059878713439,67,models\SA model_04.gwb,C16
1451,-701.4365290111067,917.4046827795631,557.0059878713439,67,models\SA model_04.gwb,C16
1454,-761.5630349700834,1404.0043709282015,525.7001425187561,67,models\SA model_04.gwb,C26
1462,-676.8269495473006,1403.404813135695,533.5835529295392,67,models\SA model_04.gwb,C30
1463,-701.2786729848006,869.8216728229794,533.5835529295392,67,models\SA model_04.gwb,C30
1488,-1858.396774699087,1448.5340657244008,533.2089288984474,67,models\SA model_04.gwb,C67
1489,-1893.143960636587,916.0304146400501,533.2089288984474,67,models\SA model_04.gwb,C67
1490,-995.5062685760405,1477.4419442902085,549.1287960737361,67,models\SA model_04.gwb,C68
1491,-1019.9579920135402,928.7086735792868,549.1287960737361,67,models\SA model_04.gwb,C68
1492,-2001.775004115324,1435.2163734096403,533.272199205616,67,models\SA model_04.gwb,C69
1493,-2036.522190052824,902.3272636092395,533.272199205616,67,models\SA model_04.gwb,C69
1494,-760.5441975430585,1462.8889270041652,549.5487811427868,67,models\SA model_04.gwb,C70
1495,-784.9959209805585,913.4238675185287,549.5487811427868,67,models\SA model_04.gwb,C70
1496,-1732.0944472630595,1446.7759546418122,541.4228341237632,67,models\SA model_04.gwb,C71
1497,-1766.8416332005595,905.6239744274678,541.4228341237632,67,models\SA model_04.gwb,C71
1498,-822.9530692845442,1475.2228875452763,557.1231470226749,67,models\SA model_04.gwb,C72
1499,-847.4047927220441,918.1848094594228,557.1231470226749,67,models\SA model_04.gwb,C72
1502,-995.3509870013336,1407.836330370302,526.1232886568354,67,models\SA model_04.gwb,C82
1510,-822.795213258238,1404.2542514423828,533.7059492429865,67,models\SA model_04.gwb,C86
1511,-847.246936695738,870.638852563028,533.7059492429865,67,models\SA model_04.gwb,C86
