,Fx,Mres,Fres,elementIndex,modelName,combCase
54,-360.4135077463056,1168.5206494423612,452.52164744935635,34,models\SA model_04.gwb,C70
55,-384.8652311838055,716.0401106070644,452.52164744935635,34,models\SA model_04.gwb,C70
66,-360.8042861346722,1344.077948708657,510.46144317346767,34,models\SA model_04.gwb,C84
67,-385.2560095721722,833.6436148890008,510.46144317346767,34,models\SA model_04.gwb,C84
78,-361.0489606635475,1255.9210882050313,484.6212551211138,34,models\SA model_04.gwb,C98
79,-385.50068410104745,771.3493722006874,484.6212551211138,34,models\SA model_04.gwb,C98
90,-361.4397390519142,1080.519220287689,426.72832351930185,34,models\SA model_04.gwb,C112
91,-385.89146248941415,653.8603195599874,426.72832351930185,34,models\SA model_04.gwb,C112
150,-384.8643506464289,716.0401548049001,340.6713285473844,35,models\SA model_04.gwb,C70
151,-409.31607408392887,375.4078401535886,340.6713285473844,35,models\SA model_04.gwb,C70
162,-385.2551349262141,833.6436593463411,390.5298956104725,35,models\SA model_04.gwb,C84
163,-409.7068583637141,443.14033321856266,390.5298956104725,35,models\SA model_04.gwb,C84
174,-385.4997959594916,771.3494111636656,365.92178888608635,35,models\SA model_04.gwb,C98
175,-409.9515193969916,405.47297035227155,365.92178888608635,35,models\SA model_04.gwb,C98
186,-385.89058023927686,653.8603583296693,316.1034495134129,35,models\SA model_04.gwb,C112
187,-410.34230367677685,337.820895091756,316.1034495134129,35,models\SA model_04.gwb,C112
246,-409.3203212392709,375.40790319530095,218.80680617407185,36,models\SA model_04.gwb,C70
258,-409.71109958399745,443.1403856819038,254.9355989525724,36,models\SA model_04.gwb,C84
270,-409.95577117166516,405.47301684072664,235.7414015182462,36,models\SA model_04.gwb,C98
282,-410.3465495163917,337.8209521875827,199.64708806037254,36,models\SA model_04.gwb,C112
970,-723.202607083559,1428.4544652261186,542.5074931322721,56,models\SA model_04.gwb,C16
982,-722.8214065873431,1404.1571864374403,534.3626366914517,56,models\SA model_04.gwb,C30
1018,-776.4690459605121,1428.9406344572067,542.8193856297943,56,models\SA model_04.gwb,C72
1030,-776.0878454642962,1404.6648887024783,534.6774846980552,56,models\SA model_04.gwb,C86
1440,-1624.6088226678369,1445.7066104854166,533.3548458515265,67,models\SA model_04.gwb,C11
1442,-761.7183165447905,1473.8411219047834,548.7408623076263,67,models\SA model_04.gwb,C12
1444,-1690.6476518106367,1433.8990879966598,533.50170284268,67,models\SA model_04.gwb,C13
1446,-449.4168452383711,1460.5937513457093,548.9630749753478,67,models\SA model_04.gwb,C14
1448,-1586.126183552122,1446.3554592703795,541.5996085545386,67,models\SA model_04.gwb,C15
1450,-676.9848055736068,1474.410414667473,557.0059878713439,67,models\SA model_04.gwb,C16
1454,-761.5630349700834,1404.0043709282015,525.7001425187561,67,models\SA model_04.gwb,C26
1458,-449.0260668500044,1284.8775023578,490.9904114767372,67,models\SA model_04.gwb,C28
1470,-450.052298155613,961.6601895263809,387.59987950292094,67,models\SA model_04.gwb,C42
1482,-449.6615197672463,1137.2279578579085,445.5339891011847,67,models\SA model_04.gwb,C56
1488,-1858.396774699087,1448.5340657244008,533.2089288984474,67,models\SA model_04.gwb,C67
1490,-995.5062685760405,1477.4419442902085,549.1287960737361,67,models\SA model_04.gwb,C68
1492,-2001.775004115324,1435.2163734096403,533.272199205616,67,models\SA model_04.gwb,C69
1494,-760.5441975430585,1462.8889270041652,549.5487811427868,67,models\SA model_04.gwb,C70
1496,-1732.0944472630595,1446.7759546418122,541.4228341237632,67,models\SA model_04.gwb,C71
1498,-822.9530692845442,1475.2228875452763,557.1231470226749,67,models\SA model_04.gwb,C72
1502,-995.3509870013336,1407.836330370302,526.1232886568354,67,models\SA model_04.gwb,C82
1510,-822.795213258238,1404.2542514423828,533.7059492429865,67,models\SA model_04.gwb,C86
