,element_nos,Cs,xDivL,Fx,Mres
300,62,C14,0.0,-175.62457478807443,490.6393352369974
301,62,C14,1.0,-187.85043515236856,1149.3156343428354
302,63,C14,0.0,-187.84784264800052,1149.3154604050421
305,64,C14,1.0,-236.76302416567805,2442.2572849295
306,65,C14,0.0,-236.75147867769695,2442.2571406303223
465,64,C16,1.0,-556.0291248640727,2478.949017680073
466,65,C16,0.0,-556.0161327060174,2478.9492292684185
780,62,C28,0.0,-175.2178258728218,642.5376296690598
781,62,C28,1.0,-187.44368623711594,1183.9758490225406
782,63,C28,0.0,-187.4410937327479,1183.97593257205
1260,62,C42,0.0,-176.25183088480475,990.6587228248222
1261,62,C42,1.0,-188.47769124909865,1312.4205140833114
1262,63,C42,0.0,-188.4751052086064,1312.420473029679
1740,62,C56,0.0,-175.59494508295543,741.1364870172927
1741,62,C56,1.0,-187.82080544724937,1255.1299899968105
1742,63,C56,0.0,-187.8182194067571,1255.1296955227995
2160,29,C70,0.0,-175.8443770607185,738.0251842310829
2161,29,C70,1.0,-188.07023742501264,1205.8388551359176
2162,30,C70,0.0,-188.0668041003322,1205.8389373859716
2225,64,C70,1.0,-719.8194571930219,2443.8514011575635
2226,65,C70,0.0,-719.8139867050406,2443.851257215027
2385,64,C72,1.0,-799.9887770320418,2478.704610543928
2386,65,C72,0.0,-799.9782148739862,2478.7048216491353
2640,29,C84,0.0,-176.50126286256778,492.1764973163986
2641,29,C84,1.0,-188.72712322686195,1149.843648274119
2642,30,C84,0.0,-188.72368990218152,1149.8434770827917
2645,31,C84,1.0,-237.6388658339215,2440.4839390299708
2646,32,C84,0.0,-237.62732034594043,2440.4837940722705
2805,31,C86,1.0,-556.8915738467696,2477.2486466327464
2806,32,C86,0.0,-556.878581688714,2477.2488577717772
3120,29,C98,0.0,-176.47163315744882,739.8627700854871
3121,29,C98,1.0,-188.69749352174273,1254.6884939689535
3122,30,C98,0.0,-188.6940666609381,1254.6882019931663
3600,29,C112,0.0,-177.12851895929813,989.3660507885463
3601,29,C112,1.0,-189.35437932359204,1311.9800982861016
3602,30,C112,0.0,-189.3509524627874,1311.9800597813398
