,Fx,Mres,Fres,elementIndex,modelName,combCase
4680,-6064.063745810546,3971.1884852647477,520.1030028306401,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4688,-7389.048156201171,3899.896203399413,533.8673258991333,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4692,-6098.803882392579,3453.640595613332,913.21499190606,108,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4693,-6133.551068330078,2543.676388059923,913.21499190606,108,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4700,-7423.786526533204,3366.039171161716,913.9796465430586,108,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4701,-7458.533712470704,2452.4032895859677,913.9796465430586,108,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4704,-6133.553233515626,2543.6763565011115,910.3138455167862,109,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4705,-6168.300419453128,1636.7578865480618,910.3138455167862,109,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4712,-7458.541600234376,2452.4032898979067,900.0629498641088,109,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4713,-7493.288786171876,1552.9274348632077,900.0629498641088,109,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4796,-9221.443370769042,3158.0339750713115,870.9487765154848,142,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4797,-9256.190556706544,2287.468856134458,870.9487765154848,142,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
5161,-6064.060779970706,3971.188120712819,563.577517642015,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
5169,-7389.0472109863285,3899.8958769356823,543.5542562054922,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
