,Fx,Mres,Fres,elementIndex,modelName,combCase
578,-814.3672836914063,232.05015329448966,123.81496286352437,201,models\SP model_03_+Fy_+Fz.gwb,C10
579,-838.8189997070313,311.12321927653943,123.81496286352437,201,models\SP model_03_+Fy_+Fz.gwb,C10
590,-838.8199551757806,311.122846694716,80.79722877489763,202,models\SP model_03_+Fy_+Fz.gwb,C10
591,-863.2716786132812,370.4149218810341,80.79722877489763,202,models\SP model_03_+Fy_+Fz.gwb,C10
602,-863.2842528320308,370.41454385729276,48.555936251111355,203,models\SP model_03_+Fy_+Fz.gwb,C10
603,-887.735976269531,402.66726570263353,48.555936251111355,203,models\SP model_03_+Fy_+Fz.gwb,C10
614,-887.7386953027341,402.6672177393587,28.39920189301276,204,models\SP model_03_+Fy_+Fz.gwb,C10
770,-364.08676761718726,213.27816697398873,117.4216352306278,235,models\SP model_03_+Fy_+Fz.gwb,C10
771,-388.5384836328121,288.9236887102639,117.4216352306278,235,models\SP model_03_+Fy_+Fz.gwb,C10
782,-388.5471748046874,288.92366105254,76.7189617589276,236,models\SP model_03_+Fy_+Fz.gwb,C10
783,-412.9988982421871,345.97636993846976,76.7189617589276,236,models\SP model_03_+Fy_+Fz.gwb,C10
794,-412.98729222656203,345.9762707212834,46.09145817121701,237,models\SP model_03_+Fy_+Fz.gwb,C10
795,-437.43901566406225,377.35150213884333,46.09145817121701,237,models\SP model_03_+Fy_+Fz.gwb,C10
806,-437.44980402343697,377.35090197393595,26.666543215973874,238,models\SP model_03_+Fy_+Fz.gwb,C10
807,-461.90152003906223,386.836693460187,26.666543215973874,238,models\SP model_03_+Fy_+Fz.gwb,C10
818,-461.90273792968713,386.8367916540136,21.513800728486537,239,models\SP model_03_+Fy_+Fz.gwb,C10
819,-486.35446136718684,379.8183258589588,21.513800728486537,239,models\SP model_03_+Fy_+Fz.gwb,C10
830,-486.3537744921871,379.81843550760675,25.875627500313147,240,models\SP model_03_+Fy_+Fz.gwb,C10
831,-510.80549792968725,361.4082466016396,25.875627500313147,240,models\SP model_03_+Fy_+Fz.gwb,C10
842,-510.8048959765623,361.4082394333089,30.934006651457633,241,models\SP model_03_+Fy_+Fz.gwb,C10
843,-535.256619414062,335.9636706423047,30.934006651457633,241,models\SP model_03_+Fy_+Fz.gwb,C10
854,-535.2447967578128,335.963687734925,34.158708654455765,242,models\SP model_03_+Fy_+Fz.gwb,C10
855,-559.6965201953126,306.98624645889595,34.158708654455765,242,models\SP model_03_+Fy_+Fz.gwb,C10
866,-559.7091881640621,306.98623919403195,65.16342475805227,243,models\SP model_03_+Fy_+Fz.gwb,C10
867,-584.1608967578123,242.6892362664708,65.16342475805227,243,models\SP model_03_+Fy_+Fz.gwb,C10
878,-584.1631548828121,242.68922757749849,71.76433127929725,244,models\SP model_03_+Fy_+Fz.gwb,C10
998,-789.9334868066405,201.50229054605288,177.68708460927047,326,models\SP model_03_+Fy_+Fz.gwb,C10
999,-814.3852083886715,232.05053430341866,177.68708460927394,326,models\SP model_03_+Fy_+Fz.gwb,C10
1011,-364.09811085937497,213.2792759094065,168.31284263754543,330,models\SP model_03_+Fy_+Fz.gwb,C10
4680,-6064.063745810546,3971.1884852647477,520.1030028306401,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4688,-7389.048156201171,3899.896203399413,533.8673258991333,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4925,-11229.87483519531,300.08974624169275,378.7819229202093,179,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
4936,-11229.853852617189,300.0897402940087,205.4016583047832,180,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
5161,-6064.060779970706,3971.188120712819,563.577517642015,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
5169,-7389.0472109863285,3899.8958769356823,543.5542562054922,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
