,Fx,Mres,Fres,elementIndex,modelName,combCase
798,-2000.738193549804,285.0162670764201,2.1098213208003602,169,models\SP model_03_+Fy_+Fz.gwb,C12
799,-2025.189916987304,283.3050908989002,2.1098213208003602,169,models\SP model_03_+Fy_+Fz.gwb,C12
812,-3559.5387756542973,308.78248808063773,3.3522387087145016,170,models\SP model_03_+Fy_+Fz.gwb,C13
813,-3594.285951044923,305.46588310398886,3.3522387087145016,170,models\SP model_03_+Fy_+Fz.gwb,C13
816,-4053.01427272461,299.55041903357323,10.404412389576162,171,models\SP model_03_+Fy_+Fz.gwb,C09
817,-4087.7614586621094,309.6256300115436,10.404412389576162,171,models\SP model_03_+Fy_+Fz.gwb,C09
828,-4087.7452016699203,309.62498348064247,3.0369101536076983,172,models\SP model_03_+Fy_+Fz.gwb,C09
829,-4122.492387607422,307.5475289901906,3.0369101536076983,172,models\SP model_03_+Fy_+Fz.gwb,C09
840,-4122.506026162108,307.5473930343988,10.20162310362779,173,models\SP model_03_+Fy_+Fz.gwb,C09
841,-4157.253212099608,297.55505998590405,10.20162310362779,173,models\SP model_03_+Fy_+Fz.gwb,C09
990,-2994.0292365600585,243.3054788043844,10.954627297940402,186,models\SP model_03_+Fy_+Fz.gwb,C12
991,-3018.480959997558,254.2028309844687,10.954627297940402,186,models\SP model_03_+Fy_+Fz.gwb,C12
994,-3344.3390677392576,474.7606311085002,3.3445873084857807,186,models\SP model_03_+Fy_+Fz.gwb,C14
995,-3368.790791176758,475.72780219452204,3.3445873084857807,186,models\SP model_03_+Fy_+Fz.gwb,C14
1002,-3018.4750902050782,254.2029075855645,2.893395642592436,187,models\SP model_03_+Fy_+Fz.gwb,C12
1003,-3042.926806220703,251.50224677508768,2.893395642592436,187,models\SP model_03_+Fy_+Fz.gwb,C12
1016,-4674.333266020508,282.36968234020446,2.3823292256624526,188,models\SP model_03_+Fy_+Fz.gwb,C13
1017,-4709.080451958007,282.8319481218218,2.3823292256624526,188,models\SP model_03_+Fy_+Fz.gwb,C13
1028,-4709.087514848632,282.83175235078363,9.08235672451975,189,models\SP model_03_+Fy_+Fz.gwb,C13
1029,-4743.834700786132,274.05011990565754,9.08235672451975,189,models\SP model_03_+Fy_+Fz.gwb,C13
1032,-4664.942828403321,291.685372528053,10.502495689468233,190,models\SP model_03_+Fy_+Fz.gwb,C09
1033,-4699.690014340821,291.28699558827503,10.502495689468233,190,models\SP model_03_+Fy_+Fz.gwb,C09
4906,-2662.4675881347653,231.40106850297826,10.639612107210018,171,models\SP model_03_-Fy_+Fz.gwb,C14
4907,-2686.9193115722655,236.7466782973923,10.639612107210018,171,models\SP model_03_-Fy_+Fz.gwb,C14
4918,-2686.9350030566416,236.74667048808334,8.596820194104602,172,models\SP model_03_-Fy_+Fz.gwb,C14
4919,-2711.386726494141,233.39362896199574,8.596820194104602,172,models\SP model_03_-Fy_+Fz.gwb,C14
5134,-3065.0706912597657,232.92610907704818,10.703912148881559,191,models\SP model_03_-Fy_+Fz.gwb,C14
5135,-3089.522414697266,232.15450702583914,10.703912148881559,191,models\SP model_03_-Fy_+Fz.gwb,C14
6016,-1266.9496095019533,649.0481880232304,10.390639679962268,316,models\SP model_03_-Fy_+Fz.gwb,C11
6017,-1301.6967928027343,658.9888235755806,10.390639679961492,316,models\SP model_03_-Fy_+Fz.gwb,C11
7470,-369.08193010803205,1514.5205617086262,7.265716755575207,218,models\SP model_03_-Fy_-Fz.gwb,C12
7471,-393.5336461236569,1512.699273978668,7.265716755575207,218,models\SP model_03_-Fy_-Fz.gwb,C12
8104,-1298.5400947875971,2744.1637849289086,10.926708184446488,324,models\SP model_03_-Fy_-Fz.gwb,C11
8105,-1333.2872780883783,2748.8236793315514,10.926708184440283,324,models\SP model_03_-Fy_-Fz.gwb,C11
9240,-5547.304590791017,4040.272181673427,506.3062546288728,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
9244,-6623.8462885888675,3801.7979855586746,499.89499181896775,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
9248,-6851.094654619141,4011.7629688895977,521.7341413888854,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
9336,2679.1674540869144,3667.9457015192243,137.82686494330534,124,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
9432,-8522.834860624998,3657.692448952467,508.0416411957616,141,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
9440,-9306.577083682861,3697.5555468443386,530.3133543672561,141,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
10201,-5547.299557236329,4040.2718724202177,635.7360545297363,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
10205,-6623.838904916994,3801.7977324480244,589.8987666197517,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
10209,-6851.084997314453,4011.7627541364527,636.0274193939952,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
10213,2679.1679150781256,3667.9445664030663,1090.7104600465848,334,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
10225,-8522.84129715027,3657.6923880721642,460.69627959282326,335,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
10233,-9306.581599916384,3697.5557695204125,478.05290448818675,335,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
