,Fx,Mres,Fres,elementIndex,modelName,combCase
4896,-9906.597699199217,5697.917940016459,756.2121655143965,141,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
4904,-12661.958664667967,5342.953497927711,761.0397708530015,141,models\SP model_05_no-wall_-Fy_-Fz.gwb,C13
4908,-9941.320887324218,4950.227723087799,1294.8269086430712,142,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
4909,-9976.06807326172,3663.756784074397,1294.8269086430712,142,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
4920,-9976.079812988282,3663.756647609407,1290.4561718179689,143,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
4921,-10010.82699892578,2381.3000549478297,1290.4561718179689,143,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
4992,4292.653109287109,5169.753482423627,329.0697718893884,158,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
5557,-9889.208305449218,5331.239844951699,733.4120769651751,394,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
5568,-9889.163301347657,5331.240533720102,733.4134479683245,395,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
5569,-9906.536894316407,5697.917758565724,733.4134479683245,395,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
5577,-12661.894342285155,5342.953448403227,666.3514783060696,395,models\SP model_05_no-wall_-Fy_-Fz.gwb,C13
5677,4292.625909052736,5169.753558011932,1147.9115086018012,368,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
6120,-9684.65734482422,5537.366199018438,732.6356881986869,141,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
6216,4499.543613828127,5142.558015919525,260.91290542074364,158,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
6312,-14901.017166894539,5237.07811744739,718.357210685702,175,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
6512,-12791.981759121092,5175.616224668893,741.8657305429853,209,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C13
6781,-9667.26491357422,5192.732315559449,690.7912873146846,394,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
6792,-9667.231903378908,5192.733162089891,690.7922379439652,395,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
6793,-9684.605496347658,5537.366340735029,690.7922379439652,395,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
6901,4499.525540859375,5142.558254307475,1169.2949617652216,368,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
7009,-14900.97328228516,5237.077951310607,599.9231974508971,386,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
7233,-12791.999708515625,5175.6168181957255,614.1691710985294,377,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C13
