,Fx,Mres,Fres,elementIndex,modelName,combCase
9240,-5547.304590791017,4040.272181673427,506.3062546288728,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
9244,-6623.8462885888675,3801.7979855586746,499.89499181896775,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
9248,-6851.094654619141,4011.7629688895977,521.7341413888854,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
9336,2679.1674540869144,3667.9457015192243,137.82686494330534,124,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
9432,-8522.834860624998,3657.692448952467,508.0416411957616,141,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
9440,-9306.577083682861,3697.5555468443386,530.3133543672561,141,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
9665,-11618.31834359375,657.3893356779084,567.9677352342206,178,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
9676,-11618.294821601563,657.3893985332381,370.3240678484153,179,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
9677,-11653.042007539063,288.14051002943665,370.3240678484153,179,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
9688,-11653.068918066405,288.140414900221,199.23698456104682,180,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
10201,-5547.299557236329,4040.2718724202177,635.7360545297363,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
10205,-6623.838904916994,3801.7977324480244,589.8987666197517,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
10209,-6851.084997314453,4011.7627541364527,636.0274193939952,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
10213,2679.1679150781256,3667.9445664030663,1090.7104600465848,334,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
10214,3141.0063917407233,751.8782956205931,214.38207865077598,334,models\SP model_03_no-wall_-Fy_-Fz.gwb,C10
10225,-8522.84129715027,3657.6923880721642,460.69627959282326,335,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
10233,-9306.581599916384,3697.5557695204125,478.05290448818675,335,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
