,Fx,Mres,Fres,elementIndex,modelName,combCase
9240,-4524.061226591797,3314.255777496828,421.3803049444446,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
9242,-3585.0908946386726,3059.8988729482794,376.8480713117333,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C16
9248,-5409.711167294922,3179.5896673358566,416.43592790345514,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C19
9250,-4743.080330185547,2992.6798327776205,384.47062762875294,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C20
9336,2493.752494296875,3017.157183676653,122.46824768501881,124,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
9432,-7025.424358072509,2991.198137064171,424.1739746715808,141,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
9661,-9249.638861015623,596.6294518947286,484.38833843687377,178,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
9672,-9249.620515781247,596.629481547489,322.68619354555875,179,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
9673,-9275.359172031249,277.1264009186143,322.68619354555875,179,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
9684,-9275.377389042967,277.1263260210323,180.9631455558358,180,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
10201,-4524.055271572266,3314.255512187327,505.11028662772566,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
10203,-3585.0830745410162,3059.8985850151016,488.60408139361283,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C16
10209,-5409.702887900392,3179.589503901851,496.4830303936837,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C19
10211,-4743.071442197265,2992.6797215926476,480.73967990120013,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C20
10212,2712.5310244921875,358.04585767046933,187.80349506899373,334,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
10213,2493.7524678515624,3017.1563580589564,836.7513201373769,334,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
10214,2682.78631078125,491.0436108306828,186.54021399911534,334,models\SP model_03_no-wall_-Fy_-Fz.gwb,C16
10225,-7025.428803648073,2991.1980687562905,354.3964646392442,335,models\SP model_03_no-wall_-Fy_-Fz.gwb,C15
