,Fx,Mres,Fres,elementIndex,modelName,combCase
612,-915.844828125,2556.375549261616,84.93400262480137,158,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
613,-941.583484375,2487.8495958635003,84.93400262480137,158,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
614,-946.930357421875,2496.860118956261,77.03861031601065,158,models\SP model_05_no-wall_+Fy_-Fz.gwb,C08
615,-972.6690136718751,2438.220405929794,77.03861031601065,158,models\SP model_05_no-wall_+Fy_-Fz.gwb,C08
616,-941.580609375,2487.8498087631483,445.5013287302006,159,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
618,-972.668248046875,2438.220779005723,432.45905073110305,159,models\SP model_05_no-wall_+Fy_-Fz.gwb,C08
644,-879.85956640625,2432.811745852823,86.2421305564176,192,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
645,-905.5982226562501,2364.087638211298,86.2421305564176,192,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
646,-937.232884765625,2374.5605642089054,78.18894296644227,192,models\SP model_05_no-wall_+Fy_-Fz.gwb,C08
648,-905.58972265625,2364.087619718565,425.1869765735587,193,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
676,434.9242080078125,2364.0456965008657,78.85622762985629,226,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
708,653.6930771484375,858.8607765560012,115.76456157080275,342,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
709,627.9544228515625,767.5246627323784,77.0767435520275,342,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
712,627.9643037109375,767.5238774756438,77.08052609724616,343,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
713,602.2256552734375,713.9372916545713,33.762716829548886,343,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
716,602.2197080078125,713.9362845881768,33.761327928020236,344,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
741,434.9182509765625,2364.0455145162323,665.8573915927926,350,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
777,-879.86241015625,2432.812288388547,669.9298727526835,359,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
779,-937.239947265625,2374.5610333060654,670.7397710257054,359,models\SP model_05_no-wall_+Fy_-Fz.gwb,C08
813,-915.846064453125,2556.3757105800855,710.15236752846,368,models\SP model_05_no-wall_+Fy_-Fz.gwb,C07
815,-946.9292265625,2496.8603962699885,710.3615940057323,368,models\SP model_05_no-wall_+Fy_-Fz.gwb,C08
816,-696.965015625,2574.5464580845646,90.66967580300923,158,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
817,-722.703671875,2502.692866052642,90.66967580300923,158,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
818,-762.523013671875,2512.0999243077435,82.05768568037762,158,models\SP model_05_no-wall_-Fy_-Fz.gwb,C08
819,-788.2616699218751,2450.659314735505,82.05768568037762,158,models\SP model_05_no-wall_-Fy_-Fz.gwb,C08
820,-722.700796875,2502.693076907993,449.6780082225432,159,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
822,-788.260904296875,2450.6596852642538,435.9692700069109,159,models\SP model_05_no-wall_-Fy_-Fz.gwb,C08
848,-818.3142265625,2449.4525786430295,92.43512224898639,192,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
849,-844.0528828125,2377.0660836727484,92.43512224898639,192,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
850,-885.380404296875,2388.515459450201,83.5877906116519,192,models\SP model_05_no-wall_-Fy_-Fz.gwb,C08
851,-911.1190605468751,2326.7271884782754,83.5877906116519,192,models\SP model_05_no-wall_-Fy_-Fz.gwb,C08
852,-844.0441015625,2377.0660672321455,429.2323918993921,193,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
854,-911.1104199218751,2326.7272183738696,415.70838821485415,193,models\SP model_05_no-wall_-Fy_-Fz.gwb,C08
880,357.2227001953125,2380.1063890630116,85.34398507577625,226,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
