,Fx,Mres,Fres,elementIndex,modelName,combCase
386,1160.5221354492185,955.0314375712181,185.7856464190338,201,models\SP model_05_+Fy_+Fz.gwb,C10
387,1136.0704194335935,1102.8445186883766,185.7856464190338,201,models\SP model_05_+Fy_+Fz.gwb,C10
398,1136.0633026953126,1102.844884098617,98.61019796183196,202,models\SP model_05_+Fy_+Fz.gwb,C10
399,1111.6115792578123,1166.8519595434452,98.61019796183196,202,models\SP model_05_+Fy_+Fz.gwb,C10
410,1111.6169399999997,1166.8511004739785,55.21052760068727,203,models\SP model_05_+Fy_+Fz.gwb,C10
411,1087.1652165625005,1163.6999235438743,55.21052760068727,203,models\SP model_05_+Fy_+Fz.gwb,C10
422,1087.1647749609378,1163.7001439296525,69.16685105090002,204,models\SP model_05_+Fy_+Fz.gwb,C10
423,1062.7130589453132,1110.5412927725256,69.16685105090002,204,models\SP model_05_+Fy_+Fz.gwb,C10
434,1062.7196542187492,1110.5422959137554,96.26970343426987,205,models\SP model_05_+Fy_+Fz.gwb,C10
435,1038.2679307812502,1022.4610203450937,96.26970343426987,205,models\SP model_05_+Fy_+Fz.gwb,C10
446,1038.2483903515633,1022.4604383301076,116.71687760191118,206,models\SP model_05_+Fy_+Fz.gwb,C10
447,1013.7966669140632,911.8723574084662,116.71687760191118,206,models\SP model_05_+Fy_+Fz.gwb,C10
458,1013.7933486328133,911.8724973380532,129.30122258888582,207,models\SP model_05_+Fy_+Fz.gwb,C10
602,1184.9487587695314,719.5198112248133,304.1443286949016,326,models\SP model_05_+Fy_+Fz.gwb,C10
603,1160.4970371875006,955.0329882928535,304.1443286949054,326,models\SP model_05_+Fy_+Fz.gwb,C10
2448,-9906.597699199217,5697.917940016459,756.2121655143965,141,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
2456,-12661.958664667967,5342.953497927711,761.0397708530015,141,models\SP model_05_no-wall_-Fy_-Fz.gwb,C13
3037,-9889.208305449218,5331.239844951699,733.4120769651751,394,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
3048,-9889.163301347657,5331.240533720102,733.4134479683245,395,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
3049,-9906.536894316407,5697.917758565724,733.4134479683245,395,models\SP model_05_no-wall_-Fy_-Fz.gwb,C09
3057,-12661.894342285155,5342.953448403227,666.3514783060696,395,models\SP model_05_no-wall_-Fy_-Fz.gwb,C13
3060,-9684.65734482422,5537.366199018438,732.6356881986869,141,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3156,-14901.017166894539,5237.07811744739,718.357210685702,175,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3260,-12791.981759121092,5175.616224668893,741.8657305429853,209,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C13
3277,-16303.601368515623,2163.5959366959564,1130.2979129450864,211,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3288,-16303.635746933589,2163.595896345891,913.5462016712966,212,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3289,-16338.38293287109,1260.065569175136,913.5462016712966,212,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3300,-16338.34008669922,1260.0655099708993,636.4923164188239,213,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3301,-16373.08727263672,631.6601872486418,636.4923164188239,213,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3312,-16373.120120996095,631.6602275108697,382.77985232750905,214,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3313,-16407.867264746095,254.8105400301168,382.77985232750905,214,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3324,-16407.849665761718,254.81057546295344,190.04213163127045,215,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3453,-12791.999708515625,5175.6168181957255,614.1691710985294,377,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C13
3553,-14900.97328228516,5237.077951310607,599.9231974508971,386,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3649,-9667.26491357422,5192.732315559449,690.7912873146846,394,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3660,-9667.231903378908,5192.733162089891,690.7922379439652,395,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
3661,-9684.605496347658,5537.366340735029,690.7922379439652,395,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
