,Fx,Mres,Fres,elementIndex,modelName,combCase
289,-8382.230405644532,3350.838674020009,162.74770261321802,133,models\SP model_05_-Fy_-Fz.gwb,C09
312,-12745.014237138672,3666.410326582115,164.25461032920313,167,models\SP model_05_-Fy_-Fz.gwb,C09
313,-12779.761412529295,3671.0542731617616,164.25461032920313,167,models\SP model_05_-Fy_-Fz.gwb,C09
316,-12955.942885415041,3624.747942452325,67.45348569631412,167,models\SP model_05_-Fy_-Fz.gwb,C11
317,-12990.690060805666,3558.708480910609,67.45348569631412,167,models\SP model_05_-Fy_-Fz.gwb,C11
320,-12391.67360182617,3527.7339973874477,9.513650897130871,167,models\SP model_05_-Fy_-Fz.gwb,C13
321,-12426.420777216796,3525.6536419121394,9.513650897130871,167,models\SP model_05_-Fy_-Fz.gwb,C13
324,-556.440105654297,3543.248168192922,112.88487622495119,184,models\SP model_05_-Fy_-Fz.gwb,C09
325,-591.1872810449214,3572.1137553733374,112.88487622495119,184,models\SP model_05_-Fy_-Fz.gwb,C09
328,-1265.9660788330077,3501.400305379649,41.70082094851942,184,models\SP model_05_-Fy_-Fz.gwb,C11
329,-1300.7132542236322,3461.1934981280697,41.70082094851942,184,models\SP model_05_-Fy_-Fz.gwb,C11
332,-504.69431334960973,3400.9662084592273,24.63716464925838,184,models\SP model_05_-Fy_-Fz.gwb,C13
333,-539.4414887402341,3425.0853127659993,24.63716464925838,184,models\SP model_05_-Fy_-Fz.gwb,C13
336,-13905.43491007812,3474.136100482362,223.85949695612183,201,models\SP model_05_-Fy_-Fz.gwb,C09
337,-13940.182085468747,3475.069417530902,223.85949695612183,201,models\SP model_05_-Fy_-Fz.gwb,C09
340,-12622.699710761717,3313.4895844571015,69.92540074277126,201,models\SP model_05_-Fy_-Fz.gwb,C11
348,-1978.919700927735,3522.912786000538,95.91328064369753,218,models\SP model_05_-Fy_-Fz.gwb,C09
349,-2013.6668763183602,3529.5136860616867,95.91328064369753,218,models\SP model_05_-Fy_-Fz.gwb,C09
352,-1415.377792929687,3341.493970293242,9.725211384449507,218,models\SP model_05_-Fy_-Fz.gwb,C11
353,-1450.1249683203125,3332.186182939564,9.725211384449507,218,models\SP model_05_-Fy_-Fz.gwb,C11
384,-12710.253211494139,3438.1722036732153,326.13066301458946,322,models\SP model_05_-Fy_-Fz.gwb,C09
385,-12745.00039479492,3666.409546073267,326.13066301458247,322,models\SP model_05_-Fy_-Fz.gwb,C09
388,-12921.179984438477,3483.9460191405396,142.06619173335147,322,models\SP model_05_-Fy_-Fz.gwb,C11
389,-12955.927167739259,3624.7452701875854,142.06619173334698,322,models\SP model_05_-Fy_-Fz.gwb,C11
393,-12391.642473232423,3527.7293508689063,222.61078809511497,322,models\SP model_05_-Fy_-Fz.gwb,C13
397,-556.4425964746091,3543.248106543505,303.4358714543516,324,models\SP model_05_-Fy_-Fz.gwb,C09
400,-1231.2146824072265,3333.2369158709375,168.87669993037355,324,models\SP model_05_-Fy_-Fz.gwb,C11
401,-1265.9618657080075,3501.4018978849044,168.87669993037423,324,models\SP model_05_-Fy_-Fz.gwb,C11
405,-504.6981907324223,3400.9667681213105,250.2715881745714,324,models\SP model_05_-Fy_-Fz.gwb,C13
409,-13905.443581093747,3474.1388854113693,374.14455598208013,326,models\SP model_05_-Fy_-Fz.gwb,C09
413,-12622.721514433597,3313.4919705618395,224.13596856497037,326,models\SP model_05_-Fy_-Fz.gwb,C11
421,-1978.9234871484373,3522.912530424344,266.81061408641654,328,models\SP model_05_-Fy_-Fz.gwb,C09
425,-1415.3817887988282,3341.4936145794404,200.50628546487906,328,models\SP model_05_-Fy_-Fz.gwb,C11
626,5346.324241083985,251.24693164235057,301.1705795480274,360,models\SP model_05_no-wall_-Fy_-Fz.gwb,C10
770,5553.217802109375,497.94293786075616,185.43010251647974,360,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C10
771,5528.766080527344,363.4631447335684,221.8347340970884,360,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C10
782,5528.741376660157,363.46478300559755,221.830640423613,361,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C10
783,5504.289660644531,365.26367172734905,280.10263030619694,361,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C10
792,-15904.0131746875,1204.5999057146469,595.4942527849157,369,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
793,-15938.760357988282,1281.151807836196,595.4942527849123,369,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
804,-15938.771184453124,1281.1497365270877,595.4766261746535,370,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
805,-15973.51835984375,1593.9988524637972,595.4766261746535,370,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C09
