,Fx,Mres,Fres,elementIndex,modelName,combCase
0,-9272.438650166016,362.5673421159726,292.8310484045012,150,models\SP model_05_+Fy_+Fz.gwb,C09
1,-9307.185825556642,577.4906531658928,292.8310484045012,150,models\SP model_05_+Fy_+Fz.gwb,C09
36,-9237.683356728516,357.05081876386106,415.41375999319763,320,models\SP model_05_+Fy_+Fz.gwb,C09
37,-9272.430540029296,362.5668043528093,415.413759993201,320,models\SP model_05_+Fy_+Fz.gwb,C09
145,2722.812251083984,3257.9466984749624,180.9321019015564,150,models\SP model_05_-Fy_-Fz.gwb,C09
148,729.1988527636712,3224.458535088902,29.66531371420138,150,models\SP model_05_-Fy_-Fz.gwb,C11
149,694.4516773730463,3246.2480383006755,29.66531371420138,150,models\SP model_05_-Fy_-Fz.gwb,C11
153,530.5840486230461,3251.7907555808147,69.50021429434736,150,models\SP model_05_-Fy_-Fz.gwb,C13
156,-556.440105654297,3543.248168192922,112.88487622495119,184,models\SP model_05_-Fy_-Fz.gwb,C09
157,-591.1872810449214,3572.1137553733374,112.88487622495119,184,models\SP model_05_-Fy_-Fz.gwb,C09
160,-1265.9660788330077,3501.400305379649,41.70082094851942,184,models\SP model_05_-Fy_-Fz.gwb,C11
161,-1300.7132542236322,3461.1934981280697,41.70082094851942,184,models\SP model_05_-Fy_-Fz.gwb,C11
164,-504.69431334960973,3400.9662084592273,24.63716464925838,184,models\SP model_05_-Fy_-Fz.gwb,C13
165,-539.4414887402341,3425.0853127659993,24.63716464925838,184,models\SP model_05_-Fy_-Fz.gwb,C13
168,-1978.919700927735,3522.912786000538,95.91328064369753,218,models\SP model_05_-Fy_-Fz.gwb,C09
169,-2013.6668763183602,3529.5136860616867,95.91328064369753,218,models\SP model_05_-Fy_-Fz.gwb,C09
172,-1415.377792929687,3341.493970293242,9.725211384449507,218,models\SP model_05_-Fy_-Fz.gwb,C11
173,-1450.1249683203125,3332.186182939564,9.725211384449507,218,models\SP model_05_-Fy_-Fz.gwb,C11
177,246.0317977050784,3249.542097035842,76.9554165336841,218,models\SP model_05_-Fy_-Fz.gwb,C13
185,729.209012802735,3224.45711220171,237.25632557976988,320,models\SP model_05_-Fy_-Fz.gwb,C11
192,-521.695413173828,3283.227124158736,303.4358714543548,324,models\SP model_05_-Fy_-Fz.gwb,C09
193,-556.4425964746091,3543.248106543505,303.4358714543516,324,models\SP model_05_-Fy_-Fz.gwb,C09
196,-1231.2146824072265,3333.2369158709375,168.87669993037355,324,models\SP model_05_-Fy_-Fz.gwb,C11
197,-1265.9618657080075,3501.4018978849044,168.87669993037423,324,models\SP model_05_-Fy_-Fz.gwb,C11
201,-504.6981907324223,3400.9667681213105,250.2715881745714,324,models\SP model_05_-Fy_-Fz.gwb,C13
204,-1944.176303847656,3293.4204457390965,266.8106140864145,328,models\SP model_05_-Fy_-Fz.gwb,C09
205,-1978.9234871484373,3522.912530424344,266.81061408641654,328,models\SP model_05_-Fy_-Fz.gwb,C09
209,-1415.3817887988282,3341.4936145794404,200.50628546487906,328,models\SP model_05_-Fy_-Fz.gwb,C11
410,5553.217802109375,497.94293786075616,185.43010251647974,360,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C10
411,5528.766080527344,363.4631447335684,221.8347340970884,360,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C10
422,5528.741376660157,363.46478300559755,221.830640423613,361,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C10
423,5504.289660644531,365.26367172734905,280.10263030619694,361,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C10
