,Fx,Mres,Fres,elementIndex,modelName,combCase
24,-3461.67958984375,336.4781590959684,49.737093813188054,133,models\SP model_05_-Fy_+Fz.gwb,C07
36,-3435.936748046875,367.6435850096909,54.473757444074785,318,models\SP model_05_-Fy_+Fz.gwb,C07
37,-3461.67540234375,336.47772813263583,54.473757444074046,318,models\SP model_05_-Fy_+Fz.gwb,C07
38,-3474.5804042968753,394.0997108350778,54.49373230264816,318,models\SP model_05_-Fy_+Fz.gwb,C08
48,-7051.8824492187505,1770.3941397676035,59.757047932841296,133,models\SP model_05_-Fy_-Fz.gwb,C07
49,-7077.62109765625,1750.72849970314,59.757047932841296,133,models\SP model_05_-Fy_-Fz.gwb,C07
52,-7424.116515625,1919.9013987988012,50.50353058736143,167,models\SP model_05_-Fy_-Fz.gwb,C07
53,-7449.8551640625,1876.3078331885172,50.50353058736143,167,models\SP model_05_-Fy_-Fz.gwb,C07
54,-7181.295734375,1817.7838801135797,45.51308664777197,167,models\SP model_05_-Fy_-Fz.gwb,C08
55,-7207.034382812501,1780.2743889125456,45.51308664777197,167,models\SP model_05_-Fy_-Fz.gwb,C08
56,-6115.6991718750005,1739.2593158142317,8.187182790412495,201,models\SP model_05_-Fy_-Fz.gwb,C07
57,-6141.4378203125,1740.4514474644886,8.187182790412495,201,models\SP model_05_-Fy_-Fz.gwb,C07
61,-7051.89373046875,1770.395325977879,114.52972207320342,318,models\SP model_05_-Fy_-Fz.gwb,C07
64,-7398.364470703125,1857.6624665399754,71.53021054537031,322,models\SP model_05_-Fy_-Fz.gwb,C07
65,-7424.103125000001,1919.8994560646022,71.53021054537085,322,models\SP model_05_-Fy_-Fz.gwb,C07
66,-7155.548611328125,1753.778213025457,73.29791187079528,322,models\SP model_05_-Fy_-Fz.gwb,C08
67,-7181.287265625,1817.78191228042,73.29791187079577,322,models\SP model_05_-Fy_-Fz.gwb,C08
69,-6115.71679296875,1739.2613603537536,113.16338436609689,326,models\SP model_05_-Fy_-Fz.gwb,C07
105,-8458.70981640625,520.4775858491505,299.91688740837196,378,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
108,-8458.7248359375,520.4753747128277,299.9239511582161,379,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
109,-8484.463484375001,774.0675795829156,299.9239511582161,379,models\SP model_05_no-wall_-Fy_-Fz.gwb,C07
129,-8478.70366015625,446.23747647723343,296.5933931235292,378,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C07
132,-8478.7209296875,446.23723170905265,296.60728788379276,379,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C07
133,-8504.459578125001,742.7709560179684,296.60728788379276,379,models\SP model_05a_no-wall_-Fy_-Fz.gwb,C07
