,Fx,Mres,Fres,elementIndex,modelName,combCase
936,-5325.474193359375,1349.1193783479232,51.78325400859952,167,models\SP model_03_+Fy_-Fz.gwb,C07
956,-5454.1705683593755,761.7813786315099,167.42341847385433,172,models\SP model_03_+Fy_-Fz.gwb,C07
957,-5479.909224609375,594.6251073822289,167.42341847385433,172,models\SP model_03_+Fy_-Fz.gwb,C07
960,-5479.91705859375,594.6251006764215,168.94125557879167,173,models\SP model_03_+Fy_-Fz.gwb,C07
961,-5505.6557148437505,426.05186225253175,168.94125557879167,173,models\SP model_03_+Fy_-Fz.gwb,C07
964,-5505.636583984375,426.0518689953596,168.32730551833902,174,models\SP model_03_+Fy_-Fz.gwb,C07
965,-5531.375240234375,258.4545784225362,168.32730551833902,174,models\SP model_03_+Fy_-Fz.gwb,C07
2296,-5376.579287109375,1378.189893243273,54.34743390228382,167,models\SP model_03_-Fy_-Fz.gwb,C07
2312,-5479.54169921875,940.3778979269937,165.64501546387555,171,models\SP model_03_-Fy_-Fz.gwb,C07
2313,-5505.28035546875,775.0144307358594,165.64501546387555,171,models\SP model_03_-Fy_-Fz.gwb,C07
2316,-5505.276732421875,775.0145263045798,171.03487731520647,172,models\SP model_03_-Fy_-Fz.gwb,C07
2317,-5531.015388671875,604.2756349458239,171.03487731520647,172,models\SP model_03_-Fy_-Fz.gwb,C07
2320,-5531.018501953125,604.2756565343786,172.4970069562677,173,models\SP model_03_-Fy_-Fz.gwb,C07
2321,-5556.757158203125,432.1881712861944,172.4970069562677,173,models\SP model_03_-Fy_-Fz.gwb,C07
2324,-5556.747623046876,432.18816274069655,171.81666261000788,174,models\SP model_03_-Fy_-Fz.gwb,C07
2325,-5582.486279296875,261.18939249420663,171.81666261000788,174,models\SP model_03_-Fy_-Fz.gwb,C07
2380,-1243.7977705078126,775.3882751900082,166.03539998886535,189,models\SP model_03_-Fy_-Fz.gwb,C07
2381,-1269.5364267578125,609.6213544137149,166.03539998886535,189,models\SP model_03_-Fy_-Fz.gwb,C07
2384,-1269.5427080078125,609.6213564575354,167.13665229819085,190,models\SP model_03_-Fy_-Fz.gwb,C07
2385,-1295.2813642578126,442.87147649269093,167.13665229819085,190,models\SP model_03_-Fy_-Fz.gwb,C07
2388,-1295.2746533203126,442.8714898853627,165.97046245567017,191,models\SP model_03_-Fy_-Fz.gwb,C07
2389,-1321.0133095703125,277.66987952057815,165.97046245567017,191,models\SP model_03_-Fy_-Fz.gwb,C07
