,Fx,Mres,Fres,elementIndex,modelName,combCase
273,-388.54651171875,1383.378553487966,515.253117974076,123,models\SP model_14_+Fy_-Fz.gwb,C07
275,-434.08382373046874,1328.0316621593086,519.9978481238378,123,models\SP model_14_+Fy_-Fz.gwb,C08
465,371.66331640625003,1360.5944356272068,511.83154732530807,259,models\SP model_14_+Fy_-Fz.gwb,C07
467,232.87737353515627,1306.4335219928626,516.0381441300628,259,models\SP model_14_+Fy_-Fz.gwb,C08
793,-97.57025195312501,1404.8814279168546,508.3565598863309,123,models\SP model_14_-Fy_-Fz.gwb,C07
795,-197.45697216796876,1341.2359901741888,513.7393974714649,123,models\SP model_14_-Fy_-Fz.gwb,C08
800,-123.3114267578125,1426.2742767004343,225.70964484235498,125,models\SP model_14_-Fy_-Fz.gwb,C07
985,319.09922949218753,1438.8965616910796,520.427234383782,259,models\SP model_14_-Fy_-Fz.gwb,C07
987,190.0203134765625,1375.3146485307407,525.502479122183,259,models\SP model_14_-Fy_-Fz.gwb,C08
992,293.3562099609375,1446.4917638002573,244.08063819532663,261,models\SP model_14_-Fy_-Fz.gwb,C07
1028,-985.7985371165126,1434.0915915685468,216.74730677240524,324,models\SP model_14_-Fy_-Fz.gwb,C07
