,Fx,Mres,Fres,elementIndex,modelName,combCase
468,-5325.474193359375,1349.1193783479232,51.78325400859952,167,models\SP model_03_+Fy_-Fz.gwb,C07
488,-5454.1705683593755,761.7813786315099,167.42341847385433,172,models\SP model_03_+Fy_-Fz.gwb,C07
489,-5479.909224609375,594.6251073822289,167.42341847385433,172,models\SP model_03_+Fy_-Fz.gwb,C07
492,-5479.91705859375,594.6251006764215,168.94125557879167,173,models\SP model_03_+Fy_-Fz.gwb,C07
493,-5505.6557148437505,426.05186225253175,168.94125557879167,173,models\SP model_03_+Fy_-Fz.gwb,C07
496,-5505.636583984375,426.0518689953596,168.32730551833902,174,models\SP model_03_+Fy_-Fz.gwb,C07
497,-5531.375240234375,258.4545784225362,168.32730551833902,174,models\SP model_03_+Fy_-Fz.gwb,C07
1148,-5376.579287109375,1378.189893243273,54.34743390228382,167,models\SP model_03_-Fy_-Fz.gwb,C07
1164,-5479.54169921875,940.3778979269937,165.64501546387555,171,models\SP model_03_-Fy_-Fz.gwb,C07
1165,-5505.28035546875,775.0144307358594,165.64501546387555,171,models\SP model_03_-Fy_-Fz.gwb,C07
1168,-5505.276732421875,775.0145263045798,171.03487731520647,172,models\SP model_03_-Fy_-Fz.gwb,C07
1169,-5531.015388671875,604.2756349458239,171.03487731520647,172,models\SP model_03_-Fy_-Fz.gwb,C07
1172,-5531.018501953125,604.2756565343786,172.4970069562677,173,models\SP model_03_-Fy_-Fz.gwb,C07
1173,-5556.757158203125,432.1881712861944,172.4970069562677,173,models\SP model_03_-Fy_-Fz.gwb,C07
1176,-5556.747623046876,432.18816274069655,171.81666261000788,174,models\SP model_03_-Fy_-Fz.gwb,C07
1177,-5582.486279296875,261.18939249420663,171.81666261000788,174,models\SP model_03_-Fy_-Fz.gwb,C07
