,Fx,Mres,Fres,elementIndex,modelName,combCase
29,-2627.939978515625,7.139731202143998,34.901977369041795,106,models\SP model_03_+Fy_+Fz.gwb,C07
31,-2624.9657246093752,2.8815218587852933,37.275086478376004,106,models\SP model_03_+Fy_+Fz.gwb,C08
32,-2627.9482734375,7.139744191038936,15.231763186817144,107,models\SP model_03_+Fy_+Fz.gwb,C07
34,-2624.973740234375,2.881513705943611,17.217680526273217,107,models\SP model_03_+Fy_+Fz.gwb,C08
49,-2756.6356796875,10.218268153865287,6.011509399334884,111,models\SP model_03_+Fy_+Fz.gwb,C07
51,-2753.663396484375,10.477812312505367,5.866488595988674,111,models\SP model_03_+Fy_+Fz.gwb,C08
52,-2756.6301230468753,10.218260999745297,4.988336941589914,112,models\SP model_03_+Fy_+Fz.gwb,C07
53,-2782.368779296875,5.23789406523319,4.988336941589914,112,models\SP model_03_+Fy_+Fz.gwb,C07
54,-2753.655869140625,10.477809813924239,5.0251221797217775,112,models\SP model_03_+Fy_+Fz.gwb,C08
55,-2779.394525390625,5.463670031222897,5.0251221797217775,112,models\SP model_03_+Fy_+Fz.gwb,C08
56,-2782.379275390625,5.237898078020943,3.466305968333627,113,models\SP model_03_+Fy_+Fz.gwb,C07
57,-2808.117931640625,1.7736359353995754,3.466305968333627,113,models\SP model_03_+Fy_+Fz.gwb,C07
58,-2779.4071308593752,5.4636684603713475,3.5856125238195045,113,models\SP model_03_+Fy_+Fz.gwb,C08
59,-2805.145787109375,1.8806730779468432,3.5856125238195045,113,models\SP model_03_+Fy_+Fz.gwb,C08
60,-2808.1171171875,1.773638015315255,1.7736378069253418,114,models\SP model_03_+Fy_+Fz.gwb,C07
61,-2833.8557734375,1.7527019635057231e-06,1.7736378069253418,114,models\SP model_03_+Fy_+Fz.gwb,C07
62,-2805.142724609375,1.8806752138475373,1.8806733709696064,114,models\SP model_03_+Fy_+Fz.gwb,C08
63,-2830.881380859375,3.3596929802365743e-06,1.8806733709696064,114,models\SP model_03_+Fy_+Fz.gwb,C08
95,-1957.4358515625001,10.963039938629253,37.32287036443706,123,models\SP model_03_+Fy_+Fz.gwb,C08
98,-1957.440953125,10.963033800522583,15.901883567842821,124,models\SP model_03_+Fy_+Fz.gwb,C08
113,-2160.7962348632814,8.62268161817494,6.0427417386206805,128,models\SP model_03_+Fy_+Fz.gwb,C07
115,-2086.13402734375,8.854988309746009,5.877836628099787,128,models\SP model_03_+Fy_+Fz.gwb,C08
116,-2160.796784667969,8.622680842354969,4.521239807379676,129,models\SP model_03_+Fy_+Fz.gwb,C07
117,-2186.5354409179686,4.1087045128499025,4.521239807379676,129,models\SP model_03_+Fy_+Fz.gwb,C07
118,-2086.1319765625,8.854989324987072,4.549756707357361,129,models\SP model_03_+Fy_+Fz.gwb,C08
119,-2111.8706328125,4.310848346872621,4.549756707357361,129,models\SP model_03_+Fy_+Fz.gwb,C08
120,-2186.531237792969,4.108702201761095,2.8234210715362997,130,models\SP model_03_+Fy_+Fz.gwb,C07
121,-2212.2698940429686,1.2873717688566955,2.8234210715362997,130,models\SP model_03_+Fy_+Fz.gwb,C07
122,-2111.8689609375,4.31084827777146,2.9310816745095685,130,models\SP model_03_+Fy_+Fz.gwb,C08
123,-2137.6076171875,1.3812662353540315,2.9310816745095685,130,models\SP model_03_+Fy_+Fz.gwb,C08
124,-2212.273144042969,1.2873741410927113,1.287373438235748,131,models\SP model_03_+Fy_+Fz.gwb,C07
125,-2238.011800292969,1.02712862648106e-06,1.287373438235748,131,models\SP model_03_+Fy_+Fz.gwb,C07
126,-2137.6097421875,1.3812670666897353,1.3812658306961287,131,models\SP model_03_+Fy_+Fz.gwb,C08
127,-2163.3483984375002,1.791208129446906e-06,1.3812658306961287,131,models\SP model_03_+Fy_+Fz.gwb,C08
177,-3179.755310974121,12.582434669169496,6.97907246945811,145,models\SP model_03_+Fy_+Fz.gwb,C07
179,-3180.558416320801,13.164520719409023,7.035567156913363,145,models\SP model_03_+Fy_+Fz.gwb,C08
180,-3179.764146911621,12.582424348691392,5.983884193821233,146,models\SP model_03_+Fy_+Fz.gwb,C07
181,-3205.502803161621,6.609690625089907,5.983884193821233,146,models\SP model_03_+Fy_+Fz.gwb,C07
182,-3180.5647544250487,13.164509964871753,6.184592261567579,146,models\SP model_03_+Fy_+Fz.gwb,C08
183,-3206.303410675049,6.98932034314466,6.184592261567579,146,models\SP model_03_+Fy_+Fz.gwb,C08
184,-3205.496858093262,6.609692057747857,4.318534937159711,147,models\SP model_03_+Fy_+Fz.gwb,C07
185,-3231.235514343262,2.2934622681788106,4.318534937159711,147,models\SP model_03_+Fy_+Fz.gwb,C07
186,-3206.299824737549,6.98932030634617,4.5435785687870975,147,models\SP model_03_+Fy_+Fz.gwb,C08
187,-3232.038480987549,2.4476139518817415,4.5435785687870975,147,models\SP model_03_+Fy_+Fz.gwb,C08
188,-3231.230217224121,2.2934613397272137,2.2934624819816283,148,models\SP model_03_+Fy_+Fz.gwb,C07
189,-3256.968873474121,1.024136003911422e-06,2.2934624819816283,148,models\SP model_03_+Fy_+Fz.gwb,C07
190,-3232.033324737549,2.4476143983754257,2.447613313053394,148,models\SP model_03_+Fy_+Fz.gwb,C08
191,-3257.771980987549,2.1722472033880927e-06,2.447613313053394,148,models\SP model_03_+Fy_+Fz.gwb,C08
241,-2517.4435,10.474410674446633,7.521117879479434,162,models\SP model_03_+Fy_+Fz.gwb,C07
243,-2437.422134765625,10.927929344416698,7.611963389251037,162,models\SP model_03_+Fy_+Fz.gwb,C08
