,Fx,Mres,Fres,elementIndex,modelName,combCase
452,474.62309619140626,853.6664595772784,149.88067716447847,256,models\SP model_14_+Fy_-Fz.gwb,C07
453,448.8844418945313,798.4363561756984,48.41817440979206,256,models\SP model_14_+Fy_-Fz.gwb,C07
454,335.83718798828124,790.6326189701784,149.69750261956887,256,models\SP model_14_+Fy_-Fz.gwb,C08
456,448.8818046875,798.4345659136503,80.30611990285706,257,models\SP model_14_+Fy_-Fz.gwb,C07
457,423.14315234375,826.7567726474341,123.06291272307958,257,models\SP model_14_+Fy_-Fz.gwb,C07
460,423.14200048828127,826.7564164054659,60.528251315721924,258,models\SP model_14_+Fy_-Fz.gwb,C07
461,397.40334814453126,993.934166577097,287.05652742366664,258,models\SP model_14_+Fy_-Fz.gwb,C07
464,397.40197265625,993.9345171336616,243.57884620216333,259,models\SP model_14_+Fy_-Fz.gwb,C07
465,371.66331640625003,1360.5944356272068,511.83154732530807,259,models\SP model_14_+Fy_-Fz.gwb,C07
468,371.67068408203124,1360.5945290920845,54.5928085181033,260,models\SP model_14_+Fy_-Fz.gwb,C07
469,345.9320278320313,1388.7316572721222,54.5928085181033,260,models\SP model_14_+Fy_-Fz.gwb,C07
472,345.9270234375,1388.7316519961728,216.70976409667134,261,models\SP model_14_+Fy_-Fz.gwb,C07
516,487.48778221942484,879.8740535660739,116.92029372923969,332,models\SP model_14_+Fy_-Fz.gwb,C07
517,474.6184560546875,853.6647212919927,74.57134463699593,332,models\SP model_14_+Fy_-Fz.gwb,C07
518,348.7017690358311,818.6881972516481,118.56746056108732,332,models\SP model_14_+Fy_-Fz.gwb,C08
519,335.83244287109375,790.6310816361948,74.38382856353886,332,models\SP model_14_+Fy_-Fz.gwb,C08
793,-97.57025195312501,1404.8814279168546,508.3565598863309,123,models\SP model_14_-Fy_-Fz.gwb,C07
796,-97.5707666015625,1404.8808324033948,35.84282937951824,124,models\SP model_14_-Fy_-Fz.gwb,C07
797,-123.3094228515625,1426.2742104447452,35.84282937951824,124,models\SP model_14_-Fy_-Fz.gwb,C07
800,-123.3114267578125,1426.2742767004343,225.70964484235498,125,models\SP model_14_-Fy_-Fz.gwb,C07
972,422.0539970703125,915.9225056361537,134.58688691373086,256,models\SP model_14_-Fy_-Fz.gwb,C07
973,396.3153427734375,862.5798760082611,29.975155330092928,256,models\SP model_14_-Fy_-Fz.gwb,C07
976,396.3158115234375,862.5805994354449,65.20299744549531,257,models\SP model_14_-Fy_-Fz.gwb,C07
977,370.5771591796875,891.3519376991987,127.20879540098929,257,models\SP model_14_-Fy_-Fz.gwb,C07
980,370.5750458984375,891.3520319899761,64.307789329808,258,models\SP model_14_-Fy_-Fz.gwb,C07
981,344.8363935546875,1062.7538581399558,294.42433003080424,258,models\SP model_14_-Fy_-Fz.gwb,C07
984,344.8378857421875,1062.7532068562587,251.9881629553631,259,models\SP model_14_-Fy_-Fz.gwb,C07
985,319.09922949218753,1438.8965616910796,520.427234383782,259,models\SP model_14_-Fy_-Fz.gwb,C07
988,319.10397949218753,1438.8964289750397,12.34088908660774,260,models\SP model_14_-Fy_-Fz.gwb,C07
989,293.3653232421875,1446.4911020575632,12.34088908660774,260,models\SP model_14_-Fy_-Fz.gwb,C07
992,293.3562099609375,1446.4917638002573,244.08063819532663,261,models\SP model_14_-Fy_-Fz.gwb,C07
1028,-985.7985371165126,1434.0915915685468,216.74730677240524,324,models\SP model_14_-Fy_-Fz.gwb,C07
1036,434.9246957936436,938.9126417503114,93.97418972289509,332,models\SP model_14_-Fy_-Fz.gwb,C07
1037,422.05536962890625,915.9203836224614,46.567608312689764,332,models\SP model_14_-Fy_-Fz.gwb,C07
