,Fx,Mres,Fres,elementIndex,modelName,combCase
0,-2422.025876953125,299.5861278369081,37.8634542100906,99,models\SP model_03_+Fy_+Fz.gwb,C07
1,-2447.764525390625,261.7815520690385,37.8634542100906,99,models\SP model_03_+Fy_+Fz.gwb,C07
2,-2419.053873046875,318.9532789184795,38.254699622122665,99,models\SP model_03_+Fy_+Fz.gwb,C08
3,-2444.792521484375,280.70839999149615,38.254699622122665,99,models\SP model_03_+Fy_+Fz.gwb,C08
4,-2447.7726953125,261.7818555867122,40.27842669189468,100,models\SP model_03_+Fy_+Fz.gwb,C07
5,-2473.5113515625,221.5394870499488,40.27842669189468,100,models\SP model_03_+Fy_+Fz.gwb,C07
6,-2444.798162109375,280.7085928856161,41.46597738294521,100,models\SP model_03_+Fy_+Fz.gwb,C08
7,-2470.536818359375,239.24736157790332,41.46597738294521,100,models\SP model_03_+Fy_+Fz.gwb,C08
8,-2473.515353515625,221.53948317101933,40.85467106751499,101,models\SP model_03_+Fy_+Fz.gwb,C07
10,-2470.5409589843753,239.2472050034242,42.58227734018506,101,models\SP model_03_+Fy_+Fz.gwb,C08
29,-2627.939978515625,7.139731202143998,34.901977369041795,106,models\SP model_03_+Fy_+Fz.gwb,C07
31,-2624.9657246093752,2.8815218587852933,37.275086478376004,106,models\SP model_03_+Fy_+Fz.gwb,C08
32,-2627.9482734375,7.139744191038936,15.231763186817144,107,models\SP model_03_+Fy_+Fz.gwb,C07
34,-2624.973740234375,2.881513705943611,17.217680526273217,107,models\SP model_03_+Fy_+Fz.gwb,C08
49,-2756.6356796875,10.218268153865287,6.011509399334884,111,models\SP model_03_+Fy_+Fz.gwb,C07
51,-2753.663396484375,10.477812312505367,5.866488595988674,111,models\SP model_03_+Fy_+Fz.gwb,C08
52,-2756.6301230468753,10.218260999745297,4.988336941589914,112,models\SP model_03_+Fy_+Fz.gwb,C07
53,-2782.368779296875,5.23789406523319,4.988336941589914,112,models\SP model_03_+Fy_+Fz.gwb,C07
54,-2753.655869140625,10.477809813924239,5.0251221797217775,112,models\SP model_03_+Fy_+Fz.gwb,C08
55,-2779.394525390625,5.463670031222897,5.0251221797217775,112,models\SP model_03_+Fy_+Fz.gwb,C08
56,-2782.379275390625,5.237898078020943,3.466305968333627,113,models\SP model_03_+Fy_+Fz.gwb,C07
57,-2808.117931640625,1.7736359353995754,3.466305968333627,113,models\SP model_03_+Fy_+Fz.gwb,C07
58,-2779.4071308593752,5.4636684603713475,3.5856125238195045,113,models\SP model_03_+Fy_+Fz.gwb,C08
59,-2805.145787109375,1.8806730779468432,3.5856125238195045,113,models\SP model_03_+Fy_+Fz.gwb,C08
60,-2808.1171171875,1.773638015315255,1.7736378069253418,114,models\SP model_03_+Fy_+Fz.gwb,C07
61,-2833.8557734375,1.7527019635057231e-06,1.7736378069253418,114,models\SP model_03_+Fy_+Fz.gwb,C07
62,-2805.142724609375,1.8806752138475373,1.8806733709696064,114,models\SP model_03_+Fy_+Fz.gwb,C08
63,-2830.881380859375,3.3596929802365743e-06,1.8806733709696064,114,models\SP model_03_+Fy_+Fz.gwb,C08
113,-3179.755310974121,12.582434669169496,6.97907246945811,145,models\SP model_03_+Fy_+Fz.gwb,C07
115,-3180.558416320801,13.164520719409023,7.035567156913363,145,models\SP model_03_+Fy_+Fz.gwb,C08
116,-3179.764146911621,12.582424348691392,5.983884193821233,146,models\SP model_03_+Fy_+Fz.gwb,C07
117,-3205.502803161621,6.609690625089907,5.983884193821233,146,models\SP model_03_+Fy_+Fz.gwb,C07
118,-3180.5647544250487,13.164509964871753,6.184592261567579,146,models\SP model_03_+Fy_+Fz.gwb,C08
119,-3206.303410675049,6.98932034314466,6.184592261567579,146,models\SP model_03_+Fy_+Fz.gwb,C08
120,-3205.496858093262,6.609692057747857,4.318534937159711,147,models\SP model_03_+Fy_+Fz.gwb,C07
121,-3231.235514343262,2.2934622681788106,4.318534937159711,147,models\SP model_03_+Fy_+Fz.gwb,C07
122,-3206.299824737549,6.98932030634617,4.5435785687870975,147,models\SP model_03_+Fy_+Fz.gwb,C08
123,-3232.038480987549,2.4476139518817415,4.5435785687870975,147,models\SP model_03_+Fy_+Fz.gwb,C08
124,-3231.230217224121,2.2934613397272137,2.2934624819816283,148,models\SP model_03_+Fy_+Fz.gwb,C07
125,-3256.968873474121,1.024136003911422e-06,2.2934624819816283,148,models\SP model_03_+Fy_+Fz.gwb,C07
126,-3232.033324737549,2.4476143983754257,2.447613313053394,148,models\SP model_03_+Fy_+Fz.gwb,C08
127,-3257.771980987549,2.1722472033880927e-06,2.447613313053394,148,models\SP model_03_+Fy_+Fz.gwb,C08
177,-3476.01555859375,13.329318465527967,8.029231932825928,179,models\SP model_03_+Fy_+Fz.gwb,C07
180,-3476.0118398437503,13.32931710555627,6.511102184495336,180,models\SP model_03_+Fy_+Fz.gwb,C07
181,-3501.75049609375,6.846632152713138,6.511102184495336,180,models\SP model_03_+Fy_+Fz.gwb,C07
183,-3506.786646484375,7.349608021440701,6.835187921909244,180,models\SP model_03_+Fy_+Fz.gwb,C08
184,-3501.75426171875,6.846627700442211,4.520754240480685,181,models\SP model_03_+Fy_+Fz.gwb,C07
185,-3527.49291796875,2.3322287051757926,4.520754240480685,181,models\SP model_03_+Fy_+Fz.gwb,C07
186,-3506.795193359375,7.34960194867073,4.82810572813673,181,models\SP model_03_+Fy_+Fz.gwb,C08
187,-3532.533849609375,2.527499747307218,4.82810572813673,181,models\SP model_03_+Fy_+Fz.gwb,C08
188,-3527.48599609375,2.332229243272765,2.3322247657440838,182,models\SP model_03_+Fy_+Fz.gwb,C07
189,-3553.22465234375,5.081601438561414e-06,2.3322247657440838,182,models\SP model_03_+Fy_+Fz.gwb,C07
190,-3532.524818359375,2.5275011023595386,2.5274951768048703,182,models\SP model_03_+Fy_+Fz.gwb,C08
191,-3558.263474609375,6.8724564612475405e-06,2.5274951768048703,182,models\SP model_03_+Fy_+Fz.gwb,C08
245,-3496.232244140625,8.076781833881867,8.134059729310376,214,models\SP model_03_+Fy_+Fz.gwb,C07
247,-3486.01603515625,8.443660120846829,8.31641641259124,214,models\SP model_03_+Fy_+Fz.gwb,C08
248,-3496.242728515625,8.076779975466037,5.407320193649665,215,models\SP model_03_+Fy_+Fz.gwb,C07
249,-3521.981384765625,2.678038813889099,5.407320193649665,215,models\SP model_03_+Fy_+Fz.gwb,C07
250,-3486.02595703125,8.443655227411803,5.621729492732082,215,models\SP model_03_+Fy_+Fz.gwb,C08
251,-3511.76461328125,2.830925266601253,5.621729492732082,215,models\SP model_03_+Fy_+Fz.gwb,C08
252,-3521.976009765625,2.678030890223632,2.678029622643335,216,models\SP model_03_+Fy_+Fz.gwb,C07
253,-3547.714666015625,1.1542217988536362e-06,2.678029622643335,216,models\SP model_03_+Fy_+Fz.gwb,C07
254,-3511.75769140625,2.8309135911363468,2.8309128538875163,216,models\SP model_03_+Fy_+Fz.gwb,C08
255,-3537.4963476562502,6.344180489772408e-07,2.8309128538875163,216,models\SP model_03_+Fy_+Fz.gwb,C08
309,-3254.469837890625,8.461171309206556,8.797073395970779,248,models\SP model_03_+Fy_+Fz.gwb,C07
311,-3223.116064453125,8.671351104810677,8.8345521534416,248,models\SP model_03_+Fy_+Fz.gwb,C08
312,-3254.464583984375,8.46117273287594,5.709616544555817,249,models\SP model_03_+Fy_+Fz.gwb,C07
313,-3280.2032402343752,2.7615861320422423,5.709616544555817,249,models\SP model_03_+Fy_+Fz.gwb,C07
314,-3223.110271484375,8.671354222021575,5.82015797384806,249,models\SP model_03_+Fy_+Fz.gwb,C08
315,-3248.848927734375,2.862585197228154,5.82015797384806,249,models\SP model_03_+Fy_+Fz.gwb,C08
316,-3280.206283203125,2.7615907759071834,2.76158689226985,250,models\SP model_03_+Fy_+Fz.gwb,C07
317,-3305.9449394531252,3.89760990773731e-06,2.76158689226985,250,models\SP model_03_+Fy_+Fz.gwb,C07
318,-3248.852107421875,2.8625903564238744,2.8625898693289056,250,models\SP model_03_+Fy_+Fz.gwb,C08
319,-3274.5907636718753,7.101482052868977e-07,2.8625898693289056,250,models\SP model_03_+Fy_+Fz.gwb,C08
320,-2396.305943359375,332.32613650079537,32.847904120155945,314,models\SP model_03_+Fy_+Fz.gwb,C07
321,-2422.04459765625,299.5857971926126,32.84790412015617,314,models\SP model_03_+Fy_+Fz.gwb,C07
322,-2393.33155078125,351.0466125707877,32.11439941293336,314,models\SP model_03_+Fy_+Fz.gwb,C08
323,-2419.070205078125,318.9528659853778,32.11439941293358,314,models\SP model_03_+Fy_+Fz.gwb,C08
393,-4411.779830078125,11.871919199464772,7.65860606389761,112,models\SP model_03_+Fy_-Fz.gwb,C07
395,-4286.618134765625,11.329296811808884,7.5018219335559895,112,models\SP model_03_+Fy_-Fz.gwb,C08
396,-4411.78497265625,11.871918634144013,6.5514020955343755,113,models\SP model_03_+Fy_-Fz.gwb,C07
397,-4437.52362890625,5.555291574886952,6.5514020955343755,113,models\SP model_03_+Fy_-Fz.gwb,C07
398,-4286.6234160156255,11.329297209334525,6.252703530079756,113,models\SP model_03_+Fy_-Fz.gwb,C08
399,-4312.362072265625,5.314797902152593,6.252703530079756,113,models\SP model_03_+Fy_-Fz.gwb,C08
400,-4437.52669140625,5.5552912806444645,5.555293101294882,114,models\SP model_03_+Fy_-Fz.gwb,C07
401,-4463.26534765625,1.930074598496562e-06,5.555293101294882,114,models\SP model_03_+Fy_-Fz.gwb,C07
402,-4312.362744140625,5.314797349851482,5.314799500130087,114,models\SP model_03_+Fy_-Fz.gwb,C08
403,-4338.101400390625,2.320908032053509e-06,5.314799500130087,114,models\SP model_03_+Fy_-Fz.gwb,C08
461,-5176.118384613037,6.809198189805891,9.08056072995281,147,models\SP model_03_+Fy_-Fz.gwb,C07
463,-5029.387818145752,6.518547467881792,8.648375946493594,147,models\SP model_03_+Fy_-Fz.gwb,C08
464,-5176.117411956787,6.8091977088892275,6.8091977200276865,148,models\SP model_03_+Fy_-Fz.gwb,C07
465,-5201.856068206787,6.194523122115977e-07,6.8091977200276865,148,models\SP model_03_+Fy_-Fz.gwb,C07
466,-5029.3888203125,6.518546515247056,6.518546007717403,148,models\SP model_03_+Fy_-Fz.gwb,C08
467,-5055.1274765625,8.821504208956595e-07,6.518546007717403,148,models\SP model_03_+Fy_-Fz.gwb,C08
468,-5325.474193359375,1349.1193783479232,51.78325400859952,167,models\SP model_03_+Fy_-Fz.gwb,C07
509,-5608.604271484375,12.001530700590532,46.75830721658691,177,models\SP model_03_+Fy_-Fz.gwb,C07
511,-5447.437576171875,12.081863126587896,45.833113637341626,177,models\SP model_03_+Fy_-Fz.gwb,C08
512,-5608.59031640625,12.001532053223917,19.617612656809538,178,models\SP model_03_+Fy_-Fz.gwb,C07
514,-5447.427701171875,12.081864634983317,19.63426548950286,178,models\SP model_03_+Fy_-Fz.gwb,C08
517,-5660.084060546875,23.469005166717608,3.753498664769271,179,models\SP model_03_+Fy_-Fz.gwb,C07
520,-5660.07709375,23.469003412773976,7.204204979183493,180,models\SP model_03_+Fy_-Fz.gwb,C07
521,-5685.81575,16.350504364968764,7.204204979183493,180,models\SP model_03_+Fy_-Fz.gwb,C07
524,-5685.807568359375,16.350510207397964,9.44985307956845,181,models\SP model_03_+Fy_-Fz.gwb,C07
525,-5711.546224609375,6.905797007072189,9.44985307956845,181,models\SP model_03_+Fy_-Fz.gwb,C07
527,-5550.381919921875,6.599303571693062,8.949293874459828,181,models\SP model_03_+Fy_-Fz.gwb,C08
528,-5711.55712890625,6.905795906786578,6.905795588652176,182,models\SP model_03_+Fy_-Fz.gwb,C07
529,-5737.2957851562505,6.280101132677221e-07,6.905795588652176,182,models\SP model_03_+Fy_-Fz.gwb,C07
530,-5550.392544921875,6.599301261148512,6.599301092002361,182,models\SP model_03_+Fy_-Fz.gwb,C08
531,-5576.131201171876,1.3594178134558022e-06,6.599301092002361,182,models\SP model_03_+Fy_-Fz.gwb,C08
577,-5000.005724609375,11.578631068443183,25.68181422016907,212,models\SP model_03_+Fy_-Fz.gwb,C07
579,-4872.312005859375,10.17598501664691,25.339036814003617,212,models\SP model_03_+Fy_-Fz.gwb,C08
580,-5000.0112167968755,11.578632429482434,7.1831711585643045,213,models\SP model_03_+Fy_-Fz.gwb,C07
582,-4872.315107421875,10.175988245492675,7.320470152397397,213,models\SP model_03_+Fy_-Fz.gwb,C08
587,-4923.789654296875,13.160001371978979,3.4960241851135194,214,models\SP model_03_+Fy_-Fz.gwb,C08
589,-5077.218404296875,6.219983272422567,7.650188567718592,215,models\SP model_03_+Fy_-Fz.gwb,C07
590,-4923.783638671875,13.160000579775028,7.221516345428378,215,models\SP model_03_+Fy_-Fz.gwb,C08
591,-4949.522294921875,5.943787362599039,7.221516345428378,215,models\SP model_03_+Fy_-Fz.gwb,C08
592,-5077.226568359375,6.2199852255005235,6.219986312767838,216,models\SP model_03_+Fy_-Fz.gwb,C07
593,-5102.965224609375,1.328166802881235e-06,6.219986312767838,216,models\SP model_03_+Fy_-Fz.gwb,C07
594,-4949.530740234375,5.943789593641899,5.943791076193446,216,models\SP model_03_+Fy_-Fz.gwb,C08
595,-4975.269396484375,1.7947342773426783e-06,5.943791076193446,216,models\SP model_03_+Fy_-Fz.gwb,C08
645,-3797.1948154296874,12.684554377406945,17.000054265388876,247,models\SP model_03_+Fy_-Fz.gwb,C07
647,-3724.2461279296876,11.877596287334901,16.6860185102172,247,models\SP model_03_+Fy_-Fz.gwb,C08
648,-3797.2031279296875,12.684547509062043,5.465226481923392,248,models\SP model_03_+Fy_-Fz.gwb,C07
649,-3822.9417841796876,10.967597025180694,5.465226481923392,248,models\SP model_03_+Fy_-Fz.gwb,C07
