,Fx,Mres,Fres,elementIndex,modelName,combCase
414,-2982.6960926916504,247.41949250159303,9.921120174884814,186,models\SP model_03_+Fy_+Fz.gwb,C12
415,-3007.1478161291498,257.1978190312429,9.921120174884814,186,models\SP model_03_+Fy_+Fz.gwb,C12
418,-3316.203641131592,463.2483731459427,5.400566956194816,186,models\SP model_03_+Fy_+Fz.gwb,C14
419,-3340.6553645690924,464.62846768955507,5.400566956194816,186,models\SP model_03_+Fy_+Fz.gwb,C14
426,-3007.1508057763676,257.19782286357884,3.988428092175404,187,models\SP model_03_+Fy_+Fz.gwb,C12
427,-3031.6025217919923,253.48990572763813,3.988428092175404,187,models\SP model_03_+Fy_+Fz.gwb,C12
440,-4650.962213288574,270.8810432841182,3.5720503931847083,188,models\SP model_03_+Fy_+Fz.gwb,C13
441,-4685.709399226075,272.8369871238718,3.5720503931847083,188,models\SP model_03_+Fy_+Fz.gwb,C13
452,-4685.7112750720225,272.8369356871358,7.662285965373053,189,models\SP model_03_+Fy_+Fz.gwb,C13
453,-4720.458461009522,265.7272387727861,7.662285965373053,189,models\SP model_03_+Fy_+Fz.gwb,C13
2494,-3022.570852003632,226.28720183005518,10.947536290006568,189,models\SP model_03_-Fy_+Fz.gwb,C14
2495,-3047.0225754411313,232.46308296709654,10.947536290006568,189,models\SP model_03_-Fy_+Fz.gwb,C14
2506,-3047.0210221781927,232.46310454783207,8.457082652242303,190,models\SP model_03_-Fy_+Fz.gwb,C14
2507,-3071.472745615693,233.02268954608638,8.457082652242303,190,models\SP model_03_-Fy_+Fz.gwb,C14
2518,-3071.4761437614443,233.02266633257312,8.671284934428677,191,models\SP model_03_-Fy_+Fz.gwb,C14
2519,-3095.927867198944,230.48331273032994,8.671284934428677,191,models\SP model_03_-Fy_+Fz.gwb,C14
3582,-360.743165807581,1507.9260659444722,8.584243712422838,218,models\SP model_03_-Fy_-Fz.gwb,C12
3583,-385.1948818232059,1506.1168044258511,8.584243712422838,218,models\SP model_03_-Fy_-Fz.gwb,C12
3988,-1343.0881567886356,2769.589029666402,8.88448766409433,324,models\SP model_03_-Fy_-Fz.gwb,C11
3989,-1377.8353400894166,2772.6251513629118,8.884487664087699,324,models\SP model_03_-Fy_-Fz.gwb,C11
4560,2679.1674540869144,3667.9457015192243,137.82686494330534,124,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4561,2644.420268149415,3598.6004242553663,137.82686494330534,124,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4564,1748.3228965283204,3422.851901572849,120.16624139433773,124,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
4565,1713.5757105908203,3369.3889647899396,120.16624139433773,124,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
4568,1742.0768499267576,3602.0825923136026,116.59570623880643,124,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4569,1707.3296639892578,3541.159904758411,116.59570623880643,124,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4572,2644.424210297852,3598.601265695813,630.9558760566949,125,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4576,1713.5801332080077,3369.3899946144675,585.0498836798099,125,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
4580,1707.3358119970706,3541.16111876646,616.8139911225065,125,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4656,1041.415574492187,3347.0739491139243,149.92119958557225,158,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4664,691.826587070312,3345.487692184528,134.15263461942007,158,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4952,1978.895488696289,3311.155432172817,149.2802204598754,260,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
5041,2679.1679150781256,3667.9445664030663,1090.7104600465848,334,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
5045,1748.3245098046875,3422.850824883655,1038.7223970234832,334,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
5049,1742.077517685547,3602.081352470472,1079.332665984045,334,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
5053,1041.4172292285155,3347.074072188689,930.0074821913383,336,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
5061,691.8336553222655,3345.4877479543898,935.8475916827636,336,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
5097,1978.8940183569337,3311.1556845700743,1001.0981196635574,342,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
