,Fx,Mres,Fres,elementIndex,modelName,combCase
414,-1976.2235493748476,289.20883368074965,2.9216818371599538,169,models\SP model_03_+Fy_+Fz.gwb,C12
415,-2000.6752728123483,286.3151843041968,2.9216818371599538,169,models\SP model_03_+Fy_+Fz.gwb,C12
428,-3586.3681663294974,295.72913812694816,2.25311087219055,170,models\SP model_03_+Fy_+Fz.gwb,C13
429,-3621.115341720123,293.6800448848671,2.25311087219055,170,models\SP model_03_+Fy_+Fz.gwb,C13
456,-4275.045727182464,243.45724918762693,9.245015697877086,173,models\SP model_03_+Fy_+Fz.gwb,C09
457,-4309.792913119964,240.37062688542255,9.245015697877086,173,models\SP model_03_+Fy_+Fz.gwb,C09
614,-1128.9493970895387,371.2611413977064,8.897550579785161,204,models\SP model_03_+Fy_+Fz.gwb,C10
615,-1153.4011131051634,369.25921940014877,8.897550579785161,204,models\SP model_03_+Fy_+Fz.gwb,C10
806,-588.8318888165273,330.842680562608,6.421107568847761,238,models\SP model_03_+Fy_+Fz.gwb,C10
807,-613.2836048321526,336.7223334993701,6.421107568847761,238,models\SP model_03_+Fy_+Fz.gwb,C10
818,-613.2807256988523,336.7224352224253,9.322545461613492,239,models\SP model_03_+Fy_+Fz.gwb,C10
819,-637.7324491363524,327.64496887386366,9.322545461613492,239,models\SP model_03_+Fy_+Fz.gwb,C10
2052,-2441.4156549331674,776.0882022152939,7.683204770183738,100,models\SP model_03_-Fy_+Fz.gwb,C09
2053,-2476.1628408706674,768.4484260728111,7.683204770183738,100,models\SP model_03_-Fy_+Fz.gwb,C09
2482,-2580.7030484150687,234.88944502100117,7.535543814244936,171,models\SP model_03_-Fy_+Fz.gwb,C14
2483,-2605.15477185257,238.577763569155,7.535543814244936,171,models\SP model_03_-Fy_+Fz.gwb,C14
2494,-2605.176596892089,238.57781730194571,7.5715369623427256,172,models\SP model_03_-Fy_+Fz.gwb,C14
2495,-2629.6283203295884,233.5879508806141,7.5715369623427256,172,models\SP model_03_-Fy_+Fz.gwb,C14
4560,-5547.304590791017,4040.272181673427,506.3062546288728,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4564,-6623.8462885888675,3801.7979855586746,499.89499181896775,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
4568,-6851.094654619141,4011.7629688895977,521.7341413888854,107,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4572,-5582.046326523439,3534.3026300594597,926.677467033325,108,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4573,-5616.7935124609385,2609.227460333785,926.677467033325,108,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4580,-6885.827330195314,3491.283950487824,934.3721370492545,108,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4581,-6920.574516132814,2556.9151587164315,934.3721370492545,108,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4584,-5616.791956728516,2609.2276473112142,932.0325668240357,109,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4585,-5651.539142666016,1679.2396911277299,932.0325668240357,109,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4592,-6920.578392431641,2556.9154128193136,931.2827658972608,109,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4593,-6955.325578369141,1625.7554463650768,931.2827658972608,109,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
4656,-8522.834860624998,3657.692448952467,508.0416411957616,141,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
4664,-9306.577083682861,3697.5555468443386,530.3133543672561,141,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
5041,-5547.299557236329,4040.2718724202177,635.7360545297363,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
5045,-6623.838904916994,3801.7977324480244,589.8987666197517,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C11
5049,-6851.084997314453,4011.7627541364527,636.0274193939952,333,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
5053,-8522.84129715027,3657.6923880721642,460.69627959282326,335,models\SP model_03_no-wall_-Fy_-Fz.gwb,C09
5061,-9306.581599916384,3697.5557695204125,478.05290448818675,335,models\SP model_03_no-wall_-Fy_-Fz.gwb,C13
